model,language,avg_mean,std_across_layers,avg_mean_pm_layer_std,n_layers
base-sft-dpo,de,0.27271255928816396,0.12953643244776425,0.272713 +- 0.129536,32
icr_dpo_ckpt36,de,0.2731070560841436,0.1295056149137572,0.273107 +- 0.129506,32
icr_npo_ckpt10,de,0.25830329419346787,0.12667482015518014,0.258303 +- 0.126675,32
icr_ppo_ckpt36,de,0.2577833937591148,0.1266425539079614,0.257783 +- 0.126643,32
icr_reinforce,de,0.25843805010979276,0.12702392903632967,0.258438 +- 0.127024,32
base-sft-dpo,es,0.21987612912714305,0.1374654794371808,0.219876 +- 0.137465,32
icr_dpo_ckpt36,es,0.22089870209328627,0.13754683146148947,0.220899 +- 0.137547,32
icr_npo_ckpt10,es,0.21144367855549848,0.13553826317606876,0.211444 +- 0.135538,32
icr_ppo_ckpt36,es,0.2108945072070722,0.1354140390060439,0.210895 +- 0.135414,32
icr_reinforce,es,0.2115164740680108,0.13598058253132084,0.211516 +- 0.135981,32
base-sft-dpo,fr,0.2503104181850824,0.14263337575064827,0.250310 +- 0.142633,32
icr_dpo_ckpt36,fr,0.2510738587745634,0.14255948412364836,0.251074 +- 0.142559,32
icr_npo_ckpt10,fr,0.24166153743296742,0.1409241627324468,0.241662 +- 0.140924,32
icr_ppo_ckpt36,fr,0.24123679327009573,0.1409379155208811,0.241237 +- 0.140938,32
icr_reinforce,fr,0.241607313984465,0.14119602047206595,0.241607 +- 0.141196,32
base-sft-dpo,ru,0.21855433620941203,0.10575813261756156,0.218554 +- 0.105758,32
icr_dpo_ckpt36,ru,0.21903180317400164,0.10591394046756952,0.219032 +- 0.105914,32
icr_npo_ckpt10,ru,0.18816971086746836,0.09510458664119555,0.188170 +- 0.095105,32
icr_ppo_ckpt36,ru,0.1880714194146872,0.09502090878764517,0.188071 +- 0.095021,32
icr_reinforce,ru,0.18886494992605654,0.09557525044744018,0.188865 +- 0.095575,32
