model         , language, avg_mean           , std_across_layers  , avg_mean_pm_layer_std, n_layers
base-sft-dpo  , de      , 0.1834064823673401 , 0.11729336402775373, 0.183406 +- 0.117293 ,       32
icr_dpo_ckpt36, de      , 0.1834225867505023 , 0.11770761124318585, 0.183423 +- 0.117708 ,       32
icr_npo_ckpt10, de      , 0.16484280136263663, 0.12147666331241554, 0.164843 +- 0.121477 ,       32
icr_ppo_ckpt36, de      , 0.1647486425249624 , 0.12217443877023865, 0.164749 +- 0.122174 ,       32
icr_reinforce , de      , 0.16496632027861866, 0.12134717565861328, 0.164966 +- 0.121347 ,       32
base-sft-dpo  , es      , 0.21547991209267323, 0.12689929646261197, 0.215480 +- 0.126899 ,       32
icr_dpo_ckpt36, es      , 0.21497255667920104, 0.1272462989815777 , 0.214973 +- 0.127246 ,       32
icr_npo_ckpt10, es      , 0.19305228673766045, 0.1329983915035659 , 0.193052 +- 0.132998 ,       32
icr_ppo_ckpt36, es      , 0.19286917981646887, 0.1335463192453416 , 0.192869 +- 0.133546 ,       32
icr_reinforce , es      , 0.19320390909288743, 0.13304002756839142, 0.193204 +- 0.133040 ,       32
base-sft-dpo  , fr      , 0.20263121027692096, 0.1208759185663069 , 0.202631 +- 0.120876 ,       32
icr_dpo_ckpt36, fr      , 0.20241634580246692, 0.12105263811580202, 0.202416 +- 0.121053 ,       32
icr_npo_ckpt10, fr      , 0.1803454078900751 , 0.1251963020138153 , 0.180345 +- 0.125196 ,       32
icr_ppo_ckpt36, fr      , 0.18008846348388538, 0.12570467848522066, 0.180088 +- 0.125705 ,       32
icr_reinforce , fr      , 0.18063782253466545, 0.12508830715270022, 0.180638 +- 0.125088 ,       32
base-sft-dpo  , ru      , 0.18465416564750925, 0.11304787449381927, 0.184654 +- 0.113048 ,       32
icr_dpo_ckpt36, ru      , 0.18460541700304778, 0.11362545645918522, 0.184605 +- 0.113625 ,       32
icr_npo_ckpt10, ru      , 0.17039470961468467, 0.12019429322524205, 0.170395 +- 0.120194 ,       32
icr_ppo_ckpt36, ru      , 0.16968451939051388, 0.12054625792500623, 0.169685 +- 0.120546 ,       32
icr_reinforce , ru      , 0.17041058773248957, 0.1201163942215913 , 0.170411 +- 0.120116 ,       32
