model,language,layer,mean,std,mean_pm_std,n
base-sft-dpo,de,0,-0.4485619515774039,0.013984871317424413,-0.448562 +- 0.013985,3
base-sft-dpo,de,1,-0.44249755661487233,0.01188820039670253,-0.442498 +- 0.011888,3
base-sft-dpo,de,2,-0.3102617439850055,0.014074807002925368,-0.310262 +- 0.014075,3
base-sft-dpo,de,3,-0.12569729292683102,0.01397979812751419,-0.125697 +- 0.013980,3
base-sft-dpo,de,4,-0.03287864279294608,0.01582931600354906,-0.032879 +- 0.015829,3
base-sft-dpo,de,5,-0.014614151459048893,0.016171228531436058,-0.014614 +- 0.016171,3
base-sft-dpo,de,6,0.012069552621906213,0.01455748943651059,0.012070 +- 0.014557,3
base-sft-dpo,de,7,0.052029881717768574,0.014856989485160807,0.052030 +- 0.014857,3
base-sft-dpo,de,8,0.09687263733223647,0.015535909012014956,0.096873 +- 0.015536,3
base-sft-dpo,de,9,0.08901374560457598,0.014452612679592691,0.089014 +- 0.014453,3
base-sft-dpo,de,10,0.07402574492645636,0.012641254812475576,0.074026 +- 0.012641,3
base-sft-dpo,de,11,0.05999968439278977,0.013201268702331667,0.060000 +- 0.013201,3
base-sft-dpo,de,12,0.07005427918102702,0.013217438290590848,0.070054 +- 0.013217,3
base-sft-dpo,de,13,0.11971143609817153,0.014950615942472633,0.119711 +- 0.014951,3
base-sft-dpo,de,14,0.09201178815974058,0.014520322452545921,0.092012 +- 0.014520,3
base-sft-dpo,de,15,0.16908598256632643,0.014184544181108477,0.169086 +- 0.014185,3
base-sft-dpo,de,16,0.14533717351321004,0.013472350100700657,0.145337 +- 0.013472,3
base-sft-dpo,de,17,0.1304868032410117,0.013166984248287114,0.130487 +- 0.013167,3
base-sft-dpo,de,18,0.06449080414035514,0.012248933400626858,0.064491 +- 0.012249,3
base-sft-dpo,de,19,0.05509286954436828,0.012292549149486782,0.055093 +- 0.012293,3
base-sft-dpo,de,20,0.014156983329525216,0.0117804803279054,0.014157 +- 0.011780,3
base-sft-dpo,de,21,0.012745241133899632,0.011128913754612352,0.012745 +- 0.011129,3
