model,language,layer,mean,std,mean_pm_std,n
base-sft-dpo,de,0,0.41756849141360824,0.005766704072427927,0.417568 +- 0.005767,3
base-sft-dpo,de,1,0.27237606943206405,0.009149462258819215,0.272376 +- 0.009149,3
base-sft-dpo,de,2,0.221339512636706,0.00815989404564528,0.221340 +- 0.008160,3
base-sft-dpo,de,3,0.19397517183352703,0.006470929585166387,0.193975 +- 0.006471,3
base-sft-dpo,de,4,0.1790182844705945,0.005134460167965975,0.179018 +- 0.005134,3
base-sft-dpo,de,5,0.18943610917731504,0.004606192503129347,0.189436 +- 0.004606,3
base-sft-dpo,de,6,0.18432174045686847,0.0041543310843761274,0.184322 +- 0.004154,3
base-sft-dpo,de,7,0.16637891155692489,0.0020807293719431567,0.166379 +- 0.002081,3
base-sft-dpo,de,8,0.14504287782212172,0.001470310575826387,0.145043 +- 0.001470,3
base-sft-dpo,de,9,0.14951333731883984,0.001870005441546689,0.149513 +- 0.001870,3
base-sft-dpo,de,10,0.15742294001039644,0.002331599623142198,0.157423 +- 0.002332,3
base-sft-dpo,de,11,0.15430602450461603,0.002401126746879328,0.154306 +- 0.002401,3
base-sft-dpo,de,12,0.1419595458513559,0.0013710868394179693,0.141960 +- 0.001371,3
base-sft-dpo,de,13,0.13636461069863579,0.001708455642420349,0.136365 +- 0.001708,3
base-sft-dpo,de,14,0.16441139082990638,0.0022366421639590356,0.164411 +- 0.002237,3
base-sft-dpo,de,15,0.1446916948553656,0.0019151252352290538,0.144692 +- 0.001915,3
base-sft-dpo,de,16,0.16564512991100117,0.0013698764025087086,0.165645 +- 0.001370,3
base-sft-dpo,de,17,0.18823101546331752,0.0015746564887285225,0.188231 +- 0.001575,3
base-sft-dpo,de,18,0.23450351320655075,0.0021155596121960837,0.234504 +- 0.002116,3
base-sft-dpo,de,19,0.24009122256177978,0.001986266535018619,0.240091 +- 0.001986,3
base-sft-dpo,de,20,0.26481634577033925,0.0022693171856007256,0.264816 +- 0.002269,3
base-sft-dpo,de,21,0.2710427955991924,0.0033066224569155414,0.271043 +- 0.003307,3
base-sft-dpo,de,22,0.28726656386845606,0.003287085933796253,0.287267 +- 0.003287,3
base-sft-dpo,de,23,0.3384273347215478,0.0033742483171958593,0.338427 +- 0.003374,3
base-sft-dpo,de,24,0.39097133450079447,0.005558342425612705,0.390971 +- 0.005558,3
base-sft-dpo,de,25,0.41809311010659955,0.0059973190453543055,0.418093 +- 0.005997,3
base-sft-dpo,de,26,0.47116504804309384,0.007684360540017986,0.471165 +- 0.007684,3
base-sft-dpo,de,27,0.493003167277501,0.008189450289876528,0.493003 +- 0.008189,3
base-sft-dpo,de,28,0.505065335998273,0.008417225504851375,0.505065 +- 0.008417,3
base-sft-dpo,de,29,0.49481589638574824,0.0074662801603390195,0.494816 +- 0.007466,3
base-sft-dpo,de,30,0.4928334343443291,0.005948014135074425,0.492833 +- 0.005948,3
base-sft-dpo,de,31,0.45270393659387775,0.0010256989011168012,0.452704 +- 0.001026,3
base-sft-dpo,es,0,0.3561470664006215,0.00439852737018761,0.356147 +- 0.004399,3
base-sft-dpo,es,1,0.1868503271648796,0.00542484589579701,0.186850 +- 0.005425,3
base-sft-dpo,es,2,0.15186496791634263,0.004770020452162903,0.151865 +- 0.004770,3
base-sft-dpo,es,3,0.12824509367193676,0.003992661480073949,0.128245 +- 0.003993,3
base-sft-dpo,es,4,0.12408989902699276,0.0028413975287004626,0.124090 +- 0.002841,3
base-sft-dpo,es,5,0.12454300624104941,0.002079677421618834,0.124543 +- 0.002080,3
base-sft-dpo,es,6,0.12613084660975601,0.0021370211526942555,0.126131 +- 0.002137,3
base-sft-dpo,es,7,0.10913829768458398,0.0011845326823834077,0.109138 +- 0.001185,3
base-sft-dpo,es,8,0.09570350166741527,0.0006619775325324836,0.095704 +- 0.000662,3
base-sft-dpo,es,9,0.09813338745725195,0.0006393303871903293,0.098133 +- 0.000639,3
base-sft-dpo,es,10,0.10485703003447387,0.0009157646942485663,0.104857 +- 0.000916,3
base-sft-dpo,es,11,0.10589094787940818,0.0006834197471063237,0.105891 +- 0.000683,3
base-sft-dpo,es,12,0.08936557276722899,0.00044432996790079703,0.089366 +- 0.000444,3
base-sft-dpo,es,13,0.09294934780500261,0.00023394341814519273,0.092949 +- 0.000234,3
base-sft-dpo,es,14,0.10959366282276453,0.00023010166877774566,0.109594 +- 0.000230,3
base-sft-dpo,es,15,0.09959679879333712,0.0003732945541931521,0.099597 +- 0.000373,3
base-sft-dpo,es,16,0.11755344321313425,0.0001847842901957446,0.117553 +- 0.000185,3
base-sft-dpo,es,17,0.14054227861814272,0.0004884905978649489,0.140542 +- 0.000488,3
base-sft-dpo,es,18,0.17176700822358007,0.0008623096020008693,0.171767 +- 0.000862,3
base-sft-dpo,es,19,0.18714737209429316,0.0016595023869183684,0.187147 +- 0.001660,3
base-sft-dpo,es,20,0.21227874675214087,0.0015149890875553146,0.212279 +- 0.001515,3
base-sft-dpo,es,21,0.20756118742156215,0.001265123864955092,0.207561 +- 0.001265,3
base-sft-dpo,es,22,0.22028728454994828,0.0014617278973237484,0.220287 +- 0.001462,3
base-sft-dpo,es,23,0.24321310426440756,0.0018920662209081784,0.243213 +- 0.001892,3
base-sft-dpo,es,24,0.3235513692797503,0.0016197629837504236,0.323551 +- 0.001620,3
base-sft-dpo,es,25,0.3471495915509299,0.0016601827262058815,0.347150 +- 0.001660,3
base-sft-dpo,es,26,0.42892260296815166,0.0016032058263123886,0.428923 +- 0.001603,3
base-sft-dpo,es,27,0.4620618250796234,0.0021542932861243385,0.462062 +- 0.002154,3
base-sft-dpo,es,28,0.4736697399576686,0.0024512632737131268,0.473670 +- 0.002451,3
base-sft-dpo,es,29,0.4763606827069232,0.002156736933818928,0.476361 +- 0.002157,3
base-sft-dpo,es,30,0.48717580196797955,0.002768503397831414,0.487176 +- 0.002769,3
base-sft-dpo,es,31,0.43369433947729674,0.0046016816083219655,0.433694 +- 0.004602,3
base-sft-dpo,fr,0,0.3964194269420035,0.012717212250023585,0.396419 +- 0.012717,3
base-sft-dpo,fr,1,0.24128161856963437,0.010309678246566692,0.241282 +- 0.010310,3
base-sft-dpo,fr,2,0.20051594546811657,0.009521231347097758,0.200516 +- 0.009521,3
base-sft-dpo,fr,3,0.16674730275170918,0.008080568537467562,0.166747 +- 0.008081,3
base-sft-dpo,fr,4,0.15419047964841265,0.006791594678440365,0.154190 +- 0.006792,3
base-sft-dpo,fr,5,0.1503121854106383,0.005973124005674183,0.150312 +- 0.005973,3
base-sft-dpo,fr,6,0.15282316142673064,0.0054538080393568035,0.152823 +- 0.005454,3
base-sft-dpo,fr,7,0.1311936864315505,0.0039579590135263975,0.131194 +- 0.003958,3
base-sft-dpo,fr,8,0.11476684550965846,0.0029211775691803396,0.114767 +- 0.002921,3
base-sft-dpo,fr,9,0.11807388430649558,0.0029634097524821653,0.118074 +- 0.002963,3
base-sft-dpo,fr,10,0.12314913515816743,0.0031902818060710277,0.123149 +- 0.003190,3
base-sft-dpo,fr,11,0.12454416341363618,0.00344919642870122,0.124544 +- 0.003449,3
base-sft-dpo,fr,12,0.10560524409081076,0.0028351912031745873,0.105605 +- 0.002835,3
base-sft-dpo,fr,13,0.10785270526375997,0.002472501613438491,0.107853 +- 0.002473,3
base-sft-dpo,fr,14,0.12575970953362187,0.002868955393803659,0.125760 +- 0.002869,3
base-sft-dpo,fr,15,0.11435174043531748,0.0024459718393139394,0.114352 +- 0.002446,3
base-sft-dpo,fr,16,0.13517844167949172,0.002393165660922138,0.135178 +- 0.002393,3
base-sft-dpo,fr,17,0.1677001915880061,0.002413393810485958,0.167700 +- 0.002413,3
base-sft-dpo,fr,18,0.19668522305476394,0.002551115505974395,0.196685 +- 0.002551,3
base-sft-dpo,fr,19,0.22188060052130018,0.002540067455094417,0.221881 +- 0.002540,3
base-sft-dpo,fr,20,0.24009921972277795,0.0029422337604869757,0.240099 +- 0.002942,3
base-sft-dpo,fr,21,0.2545332601362213,0.003502611476507214,0.254533 +- 0.003503,3
base-sft-dpo,fr,22,0.2647429140638642,0.0033736287639451125,0.264743 +- 0.003374,3
base-sft-dpo,fr,23,0.2952954525552435,0.004213266528722741,0.295295 +- 0.004213,3
base-sft-dpo,fr,24,0.3647554720969123,0.005323134936473946,0.364755 +- 0.005323,3
base-sft-dpo,fr,25,0.3782291129617674,0.005108018705941964,0.378229 +- 0.005108,3
base-sft-dpo,fr,26,0.4902249062097566,0.006606021231354522,0.490225 +- 0.006606,3
base-sft-dpo,fr,27,0.5063442343086467,0.006216921719913321,0.506344 +- 0.006217,3
base-sft-dpo,fr,28,0.5084509840695242,0.006174102133056499,0.508451 +- 0.006174,3
base-sft-dpo,fr,29,0.5053436235748183,0.005428340955437754,0.505344 +- 0.005428,3
base-sft-dpo,fr,30,0.5002416902970025,0.0038901771514283927,0.500242 +- 0.003890,3
base-sft-dpo,fr,31,0.45264082072227574,0.003096821601684073,0.452641 +- 0.003097,3
base-sft-dpo,ru,0,0.37706071052839546,0.003289931716973261,0.377061 +- 0.003290,3
base-sft-dpo,ru,1,0.20438343021562788,0.0028007466330088803,0.204383 +- 0.002801,3
base-sft-dpo,ru,2,0.1747786916613605,0.001341225798602547,0.174779 +- 0.001341,3
base-sft-dpo,ru,3,0.15248440916664818,0.0006939818447248145,0.152484 +- 0.000694,3
base-sft-dpo,ru,4,0.14207162436683002,0.000801183345884135,0.142072 +- 0.000801,3
base-sft-dpo,ru,5,0.15062834950159923,0.0011138552950157568,0.150628 +- 0.001114,3
base-sft-dpo,ru,6,0.14072935375967197,0.0007651216935066648,0.140729 +- 0.000765,3
base-sft-dpo,ru,7,0.12933990700834058,0.001073503082984405,0.129340 +- 0.001074,3
base-sft-dpo,ru,8,0.11784854871788933,0.0011560206317784876,0.117849 +- 0.001156,3
base-sft-dpo,ru,9,0.12524198944514947,0.0008360744602924919,0.125242 +- 0.000836,3
base-sft-dpo,ru,10,0.1302294887581572,0.0007565699223455398,0.130229 +- 0.000757,3
base-sft-dpo,ru,11,0.12981099683983524,0.0005624175742386314,0.129811 +- 0.000562,3
base-sft-dpo,ru,12,0.11695051483077194,0.0005198387228463875,0.116951 +- 0.000520,3
base-sft-dpo,ru,13,0.1107195011141612,0.0009480765985970546,0.110720 +- 0.000948,3
base-sft-dpo,ru,14,0.13710944141309067,0.0010575853404039108,0.137109 +- 0.001058,3
base-sft-dpo,ru,15,0.11827115610287313,0.0011699156615026455,0.118271 +- 0.001170,3
base-sft-dpo,ru,16,0.14110724815982764,0.0016510309538344677,0.141107 +- 0.001651,3
base-sft-dpo,ru,17,0.16335485607493264,0.0011209573593462653,0.163355 +- 0.001121,3
base-sft-dpo,ru,18,0.18281639786492646,0.0016575438031795843,0.182816 +- 0.001658,3
base-sft-dpo,ru,19,0.18944007620467987,0.001620333975911856,0.189440 +- 0.001620,3
base-sft-dpo,ru,20,0.20622955114880842,0.001969743215966554,0.206230 +- 0.001970,3
base-sft-dpo,ru,21,0.2051816114236726,0.0010751384928233874,0.205182 +- 0.001075,3
base-sft-dpo,ru,22,0.23868036443037927,0.0013844035288012066,0.238680 +- 0.001384,3
base-sft-dpo,ru,23,0.24359317747761605,0.0016422969484281584,0.243593 +- 0.001642,3
base-sft-dpo,ru,24,0.2959505068682173,0.0022260563911734,0.295951 +- 0.002226,3
base-sft-dpo,ru,25,0.29399418660732257,0.0021846998358434357,0.293994 +- 0.002185,3
base-sft-dpo,ru,26,0.34000080387028575,0.002612294917546507,0.340001 +- 0.002612,3
base-sft-dpo,ru,27,0.40496887792724795,0.0032595926949239864,0.404969 +- 0.003260,3
base-sft-dpo,ru,28,0.40406040008245686,0.0033546297033523655,0.404060 +- 0.003355,3
base-sft-dpo,ru,29,0.39753765345199904,0.0029012001335480997,0.397538 +- 0.002901,3
base-sft-dpo,ru,30,0.4297450781320964,0.0035671885507565925,0.429745 +- 0.003567,3
base-sft-dpo,ru,31,0.39941985554631426,0.002838904487795563,0.399420 +- 0.002839,3
icr_dpo_ckpt36,de,0,0.41771387677671046,0.005773329492980165,0.417714 +- 0.005773,3
icr_dpo_ckpt36,de,1,0.2725192522980892,0.009139094115841814,0.272519 +- 0.009139,3
icr_dpo_ckpt36,de,2,0.22166175988815826,0.008146643301166948,0.221662 +- 0.008147,3
icr_dpo_ckpt36,de,3,0.19420273467635332,0.006477704972944195,0.194203 +- 0.006478,3
icr_dpo_ckpt36,de,4,0.1796073225143205,0.0051795914668505225,0.179607 +- 0.005180,3
icr_dpo_ckpt36,de,5,0.1904453455356409,0.004633431182438224,0.190445 +- 0.004633,3
icr_dpo_ckpt36,de,6,0.18568877023830355,0.004215030573364266,0.185689 +- 0.004215,3
icr_dpo_ckpt36,de,7,0.16755320752828248,0.0021354612377720255,0.167553 +- 0.002135,3
icr_dpo_ckpt36,de,8,0.14624764101111773,0.0015227601805935182,0.146248 +- 0.001523,3
