language, model         , layer, mean               , std                 , mean_pm_std         , n
de      , base-sft-dpo  ,    16, 0.31098230342421124, 0.014361067193463348, 0.310982 +- 0.014361, 3
de      , icr_dpo_ckpt36,    16, 0.3121568688167595 , 0.014499621922374037, 0.312157 +- 0.014500, 3
de      , icr_npo_ckpt10,    16, 0.291187176081906  , 0.013722727841495167, 0.291187 +- 0.013723, 3
de      , icr_ppo_ckpt36,    16, 0.29328404395144664, 0.01394185010602595 , 0.293284 +- 0.013942, 3
de      , icr_reinforce ,    16, 0.28995408728071675, 0.01369387132358444 , 0.289954 +- 0.013694, 3
es      , base-sft-dpo  ,    16, 0.34875267784974395, 0.0256399666430495  , 0.348753 +- 0.025640, 3
es      , icr_dpo_ckpt36,    16, 0.34915603222188624, 0.025820248090498262, 0.349156 +- 0.025820, 3
es      , icr_npo_ckpt10,    16, 0.3259516421828079 , 0.025449905013696164, 0.325952 +- 0.025450, 3
es      , icr_ppo_ckpt36,    16, 0.32751519186151   , 0.02570040214101172 , 0.327515 +- 0.025700, 3
es      , icr_reinforce ,    16, 0.3246287782245593 , 0.025406205242540753, 0.324629 +- 0.025406, 3
fr      , base-sft-dpo  ,    16, 0.33501670877858286, 0.02259113254366005 , 0.335017 +- 0.022591, 3
fr      , icr_dpo_ckpt36,    16, 0.33548213890740514, 0.02269972249876556 , 0.335482 +- 0.022700, 3
fr      , icr_npo_ckpt10,    16, 0.3111062878801761 , 0.021332457470044714, 0.311106 +- 0.021332, 3
fr      , icr_ppo_ckpt36,    16, 0.31276263509459507, 0.021622599530412602, 0.312763 +- 0.021623, 3
fr      , icr_reinforce ,    16, 0.30985725978100886, 0.021305674680168505, 0.309857 +- 0.021306, 3
ru      , base-sft-dpo  ,    16, 0.2945237094313061 , 0.021530492458615515, 0.294524 +- 0.021530, 3
ru      , icr_dpo_ckpt36,    16, 0.2963186372244637 , 0.021574780960923745, 0.296319 +- 0.021575, 3
ru      , icr_npo_ckpt10,    16, 0.2760532500832025 , 0.017626610203787182, 0.276053 +- 0.017627, 3
ru      , icr_ppo_ckpt36,    16, 0.2777261747321237 , 0.017923597882524275, 0.277726 +- 0.017924, 3
ru      , icr_reinforce ,    16, 0.27528628351972   , 0.01728103533428018 , 0.275286 +- 0.017281, 3
