model,language,layer,mean,std,mean_pm_std,n
base-sft-dpo,de,0,-0.030993460163795637,0.008724216222889944,-0.030993 +- 0.008724,3
base-sft-dpo,de,1,-0.17012148718280828,0.01691365612070823,-0.170121 +- 0.016914,3
base-sft-dpo,de,2,-0.0889222313482995,0.020962109491378587,-0.088922 +- 0.020962,3
base-sft-dpo,de,3,0.06827787890669601,0.020391113271682037,0.068278 +- 0.020391,3
base-sft-dpo,de,4,0.14613964167764842,0.020677896369895307,0.146140 +- 0.020678,3
base-sft-dpo,de,5,0.17482195771826614,0.020001959881985873,0.174822 +- 0.020002,3
base-sft-dpo,de,6,0.19639129307877468,0.017881018897219516,0.196391 +- 0.017881,3
base-sft-dpo,de,7,0.21840879327469345,0.016467137936120507,0.218409 +- 0.016467,3
base-sft-dpo,de,8,0.2419155151543582,0.016663732713205304,0.241916 +- 0.016664,3
base-sft-dpo,de,9,0.23852708292341582,0.0160156440303847,0.238527 +- 0.016016,3
base-sft-dpo,de,10,0.2314486849368528,0.01461893426511725,0.231449 +- 0.014619,3
base-sft-dpo,de,11,0.2143057088974058,0.015122087173665264,0.214306 +- 0.015122,3
base-sft-dpo,de,12,0.21201382503238292,0.014409311390610796,0.212014 +- 0.014409,3
base-sft-dpo,de,13,0.2560760467968073,0.015899050873577233,0.256076 +- 0.015899,3
base-sft-dpo,de,14,0.25642317898964695,0.0155527918616566,0.256423 +- 0.015553,3
base-sft-dpo,de,15,0.31377767742169205,0.01549424421089925,0.313778 +- 0.015494,3
base-sft-dpo,de,16,0.31098230342421124,0.014361067193463348,0.310982 +- 0.014361,3
base-sft-dpo,de,17,0.3187178187043292,0.014412477783868873,0.318718 +- 0.014412,3
base-sft-dpo,de,18,0.2989943173469059,0.013997340610227265,0.298994 +- 0.013997,3
base-sft-dpo,de,19,0.29518409210614804,0.01413124171859674,0.295184 +- 0.014131,3
base-sft-dpo,de,20,0.2789733290998645,0.013570885257199447,0.278973 +- 0.013571,3
base-sft-dpo,de,21,0.28378803673309205,0.013698979881420437,0.283788 +- 0.013699,3
base-sft-dpo,de,22,0.27828587648665537,0.01530035734568057,0.278286 +- 0.015300,3
base-sft-dpo,de,23,0.24543480536821047,0.015783290461174604,0.245435 +- 0.015783,3
base-sft-dpo,de,24,0.2079353722676747,0.014526027587140465,0.207935 +- 0.014526,3
base-sft-dpo,de,25,0.1823218742514623,0.014215985380555053,0.182322 +- 0.014216,3
base-sft-dpo,de,26,0.13628679287381357,0.013472174539230908,0.136287 +- 0.013472,3
base-sft-dpo,de,27,0.11092381909759755,0.011035169099244922,0.110924 +- 0.011035,3
base-sft-dpo,de,28,0.08681317656200914,0.012689080282641542,0.086813 +- 0.012689,3
base-sft-dpo,de,29,0.08747407292401252,0.01199436337021552,0.087474 +- 0.011994,3
base-sft-dpo,de,30,0.09442847059037586,0.00833489404152303,0.094428 +- 0.008335,3
base-sft-dpo,de,31,0.17397317180478397,0.006714973599298727,0.173973 +- 0.006715,3
base-sft-dpo,es,0,-0.017455645342539086,0.011039163513317027,-0.017456 +- 0.011039,3
base-sft-dpo,es,1,-0.15432393243898682,0.019799973571231477,-0.154324 +- 0.019800,3
base-sft-dpo,es,2,-0.07342251216183047,0.02378557020165028,-0.073423 +- 0.023786,3
base-sft-dpo,es,3,0.09887604503760392,0.028193700011798366,0.098876 +- 0.028194,3
base-sft-dpo,es,4,0.1701005571383985,0.03129528696314931,0.170101 +- 0.031295,3
base-sft-dpo,es,5,0.2035114251382287,0.03324883648308381,0.203511 +- 0.033249,3
base-sft-dpo,es,6,0.22194803357421286,0.030825083965465558,0.221948 +- 0.030825,3
base-sft-dpo,es,7,0.246160032244358,0.02946962788533654,0.246160 +- 0.029470,3
base-sft-dpo,es,8,0.2672098264444382,0.028745817347924862,0.267210 +- 0.028746,3
base-sft-dpo,es,9,0.2649937935719022,0.026751922567103965,0.264994 +- 0.026752,3
base-sft-dpo,es,10,0.25836133184017085,0.024995766788404258,0.258361 +- 0.024996,3
base-sft-dpo,es,11,0.239453970691331,0.025371715877537445,0.239454 +- 0.025372,3
base-sft-dpo,es,12,0.23965709632506846,0.02366650987133442,0.239657 +- 0.023667,3
base-sft-dpo,es,13,0.2838895165906908,0.025259527976139787,0.283890 +- 0.025260,3
base-sft-dpo,es,14,0.2910012811076179,0.02565968352981033,0.291001 +- 0.025660,3
base-sft-dpo,es,15,0.35043631318900115,0.02610405858584395,0.350436 +- 0.026104,3
base-sft-dpo,es,16,0.34875267784974395,0.0256399666430495,0.348753 +- 0.025640,3
base-sft-dpo,es,17,0.35843199110520013,0.025625510645192726,0.358432 +- 0.025626,3
base-sft-dpo,es,18,0.34689392542921943,0.024548375589308984,0.346894 +- 0.024548,3
base-sft-dpo,es,19,0.33669453658663456,0.023884098634793557,0.336695 +- 0.023884,3
base-sft-dpo,es,20,0.321371289531371,0.02309400520698174,0.321371 +- 0.023094,3
base-sft-dpo,es,21,0.3343921001715467,0.02288821153534715,0.334392 +- 0.022888,3
base-sft-dpo,es,22,0.3330166115442857,0.023169753334016708,0.333017 +- 0.023170,3
base-sft-dpo,es,23,0.3189665009380884,0.02215093472434088,0.318967 +- 0.022151,3
base-sft-dpo,es,24,0.26302579549900007,0.019091076343593905,0.263026 +- 0.019091,3
base-sft-dpo,es,25,0.24042530896352166,0.018203114885084196,0.240425 +- 0.018203,3
base-sft-dpo,es,26,0.16850584641134786,0.015694748859705163,0.168506 +- 0.015695,3
base-sft-dpo,es,27,0.1300029602678328,0.012865287358063096,0.130003 +- 0.012865,3
base-sft-dpo,es,28,0.10615489152807919,0.011117748186539487,0.106155 +- 0.011118,3
base-sft-dpo,es,29,0.10214975462212098,0.011563149872984903,0.102150 +- 0.011563,3
base-sft-dpo,es,30,0.09853132631285452,0.011065198394275099,0.098531 +- 0.011065,3
base-sft-dpo,es,31,0.1976445372550297,0.011311553192788476,0.197645 +- 0.011312,3
base-sft-dpo,fr,0,-0.019357965339883373,0.00787655601609375,-0.019358 +- 0.007877,3
base-sft-dpo,fr,1,-0.1590388070180856,0.01436056739946828,-0.159039 +- 0.014361,3
base-sft-dpo,fr,2,-0.08259891483612318,0.015841495910156354,-0.082599 +- 0.015841,3
base-sft-dpo,fr,3,0.08047027422907393,0.019369826996867182,0.080470 +- 0.019370,3
base-sft-dpo,fr,4,0.1543064602006421,0.0207436945555475,0.154306 +- 0.020744,3
base-sft-dpo,fr,5,0.18839185145513615,0.02239156393299955,0.188392 +- 0.022392,3
base-sft-dpo,fr,6,0.20762511956837645,0.020980925625046457,0.207625 +- 0.020981,3
base-sft-dpo,fr,7,0.23217083863477264,0.0202706703502209,0.232171 +- 0.020271,3
base-sft-dpo,fr,8,0.2543620361642306,0.020839942687653053,0.254362 +- 0.020840,3
base-sft-dpo,fr,9,0.25206094416361213,0.020413640024201277,0.252061 +- 0.020414,3
base-sft-dpo,fr,10,0.24642701461003283,0.019013645095039132,0.246427 +- 0.019014,3
base-sft-dpo,fr,11,0.2274319211153671,0.019092036139703655,0.227432 +- 0.019092,3
base-sft-dpo,fr,12,0.22694646430821303,0.01848023685230448,0.226946 +- 0.018480,3
base-sft-dpo,fr,13,0.2717506935442765,0.02172672075841232,0.271751 +- 0.021727,3
base-sft-dpo,fr,14,0.27863672550499313,0.02109400830460809,0.278637 +- 0.021094,3
base-sft-dpo,fr,15,0.3391254679246169,0.02290805512977875,0.339125 +- 0.022908,3
base-sft-dpo,fr,16,0.33501670877858286,0.02259113254366005,0.335017 +- 0.022591,3
base-sft-dpo,fr,17,0.3394500448824634,0.022643801305772576,0.339450 +- 0.022644,3
base-sft-dpo,fr,18,0.32894084054317907,0.02216622609535635,0.328941 +- 0.022166,3
base-sft-dpo,fr,19,0.31440988226736094,0.021126515654106424,0.314410 +- 0.021127,3
base-sft-dpo,fr,20,0.30205864822390066,0.020589745654275893,0.302059 +- 0.020590,3
base-sft-dpo,fr,21,0.30371216007755664,0.02052731181446885,0.303712 +- 0.020527,3
base-sft-dpo,fr,22,0.3030619945967267,0.021661915352888885,0.303062 +- 0.021662,3
base-sft-dpo,fr,23,0.285362692502771,0.021058993365252954,0.285363 +- 0.021059,3
base-sft-dpo,fr,24,0.23971499461713625,0.019627064556402993,0.239715 +- 0.019627,3
base-sft-dpo,fr,25,0.2253991222512547,0.019271188887334565,0.225399 +- 0.019271,3
base-sft-dpo,fr,26,0.14728483320139868,0.016788092812723792,0.147285 +- 0.016788,3
base-sft-dpo,fr,27,0.12630083190645874,0.015397911835215581,0.126301 +- 0.015398,3
base-sft-dpo,fr,28,0.11254572714765611,0.015542211030760665,0.112546 +- 0.015542,3
base-sft-dpo,fr,29,0.11330429969341334,0.01488758166430677,0.113304 +- 0.014888,3
base-sft-dpo,fr,30,0.11934711574126337,0.01425267261935681,0.119347 +- 0.014253,3
base-sft-dpo,fr,31,0.1895787082010973,0.009876532551659685,0.189579 +- 0.009877,3
base-sft-dpo,ru,0,-0.0443404188928378,0.012317663872967174,-0.044340 +- 0.012318,3
base-sft-dpo,ru,1,-0.15796950622890274,0.02323940310203027,-0.157970 +- 0.023239,3
base-sft-dpo,ru,2,-0.09011695180295963,0.02504325682126448,-0.090117 +- 0.025043,3
base-sft-dpo,ru,3,0.07481751534534148,0.028278573671306262,0.074818 +- 0.028279,3
base-sft-dpo,ru,4,0.14785374961138684,0.03170297703633253,0.147854 +- 0.031703,3
base-sft-dpo,ru,5,0.17448899729026618,0.032532800279168037,0.174489 +- 0.032533,3
base-sft-dpo,ru,6,0.19706137852682915,0.028160044014641828,0.197061 +- 0.028160,3
base-sft-dpo,ru,7,0.21593572671558878,0.024623124099098368,0.215936 +- 0.024623,3
base-sft-dpo,ru,8,0.2331291323161088,0.024678140562156278,0.233129 +- 0.024678,3
base-sft-dpo,ru,9,0.22455015507347167,0.023842958112335142,0.224550 +- 0.023843,3
base-sft-dpo,ru,10,0.2181414639869458,0.021652007639018256,0.218141 +- 0.021652,3
base-sft-dpo,ru,11,0.19833498956874276,0.021269734810698403,0.198335 +- 0.021270,3
base-sft-dpo,ru,12,0.19533383503574556,0.018716133236313055,0.195334 +- 0.018716,3
base-sft-dpo,ru,13,0.23950722352116308,0.019835121618871864,0.239507 +- 0.019835,3
base-sft-dpo,ru,14,0.24126035995354947,0.01963268335779027,0.241260 +- 0.019633,3
base-sft-dpo,ru,15,0.30083277170181066,0.0213302497939153,0.300833 +- 0.021330,3
base-sft-dpo,ru,16,0.2945237094313061,0.021530492458615515,0.294524 +- 0.021530,3
base-sft-dpo,ru,17,0.30360857533950075,0.021743858623362172,0.303609 +- 0.021744,3
base-sft-dpo,ru,18,0.29622266821438403,0.0215476363224864,0.296223 +- 0.021548,3
base-sft-dpo,ru,19,0.2899263338114201,0.021105949091656556,0.289926 +- 0.021106,3
base-sft-dpo,ru,20,0.27770894914642824,0.02035853594993529,0.277709 +- 0.020359,3
base-sft-dpo,ru,21,0.28782899717062327,0.02156374987611236,0.287829 +- 0.021564,3
base-sft-dpo,ru,22,0.2730888558672636,0.022013776715361314,0.273089 +- 0.022014,3
base-sft-dpo,ru,23,0.2670178303882341,0.021525265396204175,0.267018 +- 0.021525,3
base-sft-dpo,ru,24,0.22997497621277838,0.01917288875925888,0.229975 +- 0.019173,3
base-sft-dpo,ru,25,0.2246964122124217,0.01888780735590204,0.224696 +- 0.018888,3
