model                                  , win_rate          , standard_error    , mode     , avg_length, n_wins, n_wins_base, n_draws, n_total, discrete_win_rate , length_controlled_winrate, lc_standard_error
icr_enesru_llama3_8b_w-reinforce_150426, 20.99378881987578 , 1.4336175812315448, community,       1583,    168,         635,       2,     805, 20.99378881987578 ,       20.52720670663685  , 0.3094204098984788
icr_enesru_llama3_8b_w-reinforce       , 20.93167701863354 , 1.433400008134319 , community,       1631,    168,         636,       1,     805, 20.93167701863354 ,       19.567244674919447 , 0.2997116367350857
icr_enesru_llama3_8b_dpo               , 22.67080745341615 , 1.4753402696684974, community,       1808,    182,         622,       1,     805, 22.67080745341615 ,       18.36602681735726  , 0.2793669330362945
icr_enesru_llama3_8b_ppo_150426        , 15.093167701863356, 1.2609754322964777, community,       1609,    121,         683,       1,     805, 15.093167701863356,       14.480052400425784 , 0.1909945732013352
icr_enesru_llama3_8b_ppo               , 15.217391304347828, 1.2652377425224364, community,       1724,    122,         682,       1,     805, 15.217391304347828,       14.093920962127074 , 0.1965656992148413
icr_enesru_llama3_8b_sft               , 14.720496894409935, 1.2480088970695928, community,       1994,    118,         686,       1,     805, 14.720496894409935,       12.53649152141856  , 0.2572136507205932
icr_enesru_llama3_8b_sft_150426        , 13.354037267080743, 1.198033123423608 , community,       2077,    107,         697,       1,     805, 13.354037267080743,       11.462432389376415 , 0.176654386393427
icr_enesru_llama3_8b_npo               ,  0.0              , 0.0               , community,          0,      0,         805,       0,     805,  0.0              ,        0.0019248421371907, 0.0001412094841196
icr_enesru_llama3_8b_dpo_150426        , 21.93             , 1.46              , community,       1634,    176,         628,       1,     805, 21.93             ,       21.72              , 0.28
icr_enesru_llama3_8b_npo_150426        ,  0.0              , 0.0               , community,       8475,      0,         805,       0,     805,  0.0              ,        0.0               , 0.0
