layer,cosine_sim,cosine_sim_adjusted
0,0.6549290418624878,0.34373044967651367
1,0.5975654125213623,0.36241647601127625
2,0.6506832242012024,0.35695937275886536
3,0.6510850191116333,0.40103206038475037
4,0.6721940636634827,0.43724432587623596
5,0.7019095420837402,0.44875842332839966
6,0.7131069898605347,0.4857821762561798
7,0.7329505681991577,0.5146227478981018
8,0.740291178226471,0.516838788986206
9,0.7531942129135132,0.5143759250640869
10,0.7568389177322388,0.5290486216545105
11,0.7565513849258423,0.5309415459632874
12,0.7730962038040161,0.5350606441497803
13,0.7706681489944458,0.5540271997451782
14,0.7658959627151489,0.5530555844306946
15,0.7684857845306396,0.5511850118637085
16,0.7680265307426453,0.5522640347480774
17,0.7613652348518372,0.5381105542182922
18,0.7629125118255615,0.5103664994239807
19,0.7509059906005859,0.5028344988822937
20,0.7360143661499023,0.4783080816268921
21,0.7263644933700562,0.4560687243938446
22,0.7210993766784668,0.42945805191993713
23,0.7185484170913696,0.40501660108566284
24,0.6995933055877686,0.3746953308582306
25,0.6937443614006042,0.3704994320869446
26,0.6586569547653198,0.33678337931632996
27,0.6429189443588257,0.3264114260673523
28,0.6301501989364624,0.31206512451171875
29,0.5990523099899292,0.3119048476219177
30,0.5941996574401855,0.3065766394138336
31,0.5892851948738098,0.31171849370002747
