layer,cosine_sim,cosine_sim_adjusted
0,0.6755058169364929,0.3433779776096344
1,0.6321192383766174,0.3618192672729492
2,0.6826165914535522,0.3560978174209595
3,0.6651824116706848,0.3934188783168793
4,0.667619526386261,0.4206792116165161
5,0.688520073890686,0.4275299310684204
6,0.6933055520057678,0.4596945643424988
7,0.7119100689888,0.48860397934913635
8,0.7174063324928284,0.48879340291023254
9,0.728902280330658,0.4860835373401642
10,0.729293942451477,0.49863943457603455
11,0.7268953919410706,0.49788448214530945
12,0.7458978295326233,0.5058503746986389
13,0.7435669898986816,0.5236385464668274
14,0.7420885562896729,0.5242749452590942
15,0.7520743012428284,0.5267902612686157
16,0.749548077583313,0.527885377407074
17,0.7439076900482178,0.5125350952148438
18,0.7438793778419495,0.48443010449409485
19,0.7298492789268494,0.4750504791736603
20,0.7166151404380798,0.4515764117240906
21,0.7086905241012573,0.42933788895606995
22,0.7019249200820923,0.4015388786792755
23,0.7005614638328552,0.37781038880348206
24,0.6751031279563904,0.3465861678123474
25,0.6644076704978943,0.3417212963104248
26,0.6512496471405029,0.3156503438949585
27,0.6312674283981323,0.30456021428108215
28,0.6166441440582275,0.29061153531074524
29,0.5848052501678467,0.2926309108734131
30,0.5803658366203308,0.28953656554222107
31,0.5749000906944275,0.28846514225006104
