layer,cosine_sim,cosine_sim_adjusted
0,0.6755228638648987,0.3433230519294739
1,0.6321427226066589,0.361836701631546
2,0.6825613975524902,0.35614195466041565
3,0.6650410890579224,0.39343559741973877
4,0.6674306392669678,0.420651912689209
5,0.6882943511009216,0.42752015590667725
6,0.6930615305900574,0.4597100019454956
7,0.7116078734397888,0.48857080936431885
8,0.717011034488678,0.48881399631500244
9,0.7284731268882751,0.4862310588359833
10,0.7288514375686646,0.4987632632255554
11,0.7264140844345093,0.49796992540359497
12,0.7454192042350769,0.5059588551521301
13,0.7431250810623169,0.5237298607826233
14,0.7416509389877319,0.5243651866912842
15,0.7516489624977112,0.5269430875778198
16,0.7490948438644409,0.5279690027236938
17,0.7434130311012268,0.5126046538352966
18,0.7433892488479614,0.48461583256721497
19,0.7293322086334229,0.4751724898815155
20,0.7161228656768799,0.45169806480407715
21,0.7081774473190308,0.4294608533382416
22,0.7014336585998535,0.40161949396133423
23,0.7000137567520142,0.37789440155029297
24,0.6745930910110474,0.3466172516345978
25,0.6638526320457458,0.34174180030822754
26,0.6506534218788147,0.3156714141368866
27,0.6306161284446716,0.3045765161514282
28,0.6159057021141052,0.2905466556549072
29,0.5839725732803345,0.2925415635108948
30,0.5795490145683289,0.2893960475921631
31,0.5741528272628784,0.2882685661315918
