layer,cosine_sim,cosine_sim_adjusted
0,0.6686704754829407,0.342757910490036
1,0.6369583606719971,0.3674807548522949
2,0.6796488165855408,0.35741618275642395
3,0.6665278077125549,0.3971262276172638
4,0.6789887547492981,0.4284925162792206
5,0.7031943798065186,0.44021371006965637
6,0.7103765606880188,0.4760785698890686
7,0.7284191846847534,0.5029689073562622
8,0.7332946062088013,0.506288468837738
9,0.7420633435249329,0.5024189949035645
10,0.7422603368759155,0.5158757567405701
11,0.7397161722183228,0.5154579877853394
12,0.756985068321228,0.5200521349906921
13,0.752454400062561,0.5375864505767822
14,0.7485125064849854,0.5369460582733154
15,0.7540218830108643,0.5365477800369263
16,0.7459570169448853,0.5328083634376526
17,0.7358202338218689,0.5155638456344604
18,0.7322158217430115,0.48913371562957764
19,0.7118006348609924,0.4775983393192291
20,0.6960892081260681,0.4528248906135559
21,0.6851901412010193,0.43188947439193726
22,0.6770491003990173,0.4038502871990204
23,0.6772868633270264,0.38288643956184387
24,0.6558436155319214,0.350062757730484
25,0.6536890864372253,0.3440036177635193
26,0.6475197076797485,0.3185226321220398
27,0.6227291226387024,0.30631548166275024
28,0.6173282861709595,0.2944464087486267
29,0.6011091470718384,0.29824212193489075
30,0.5561043620109558,0.281574010848999
31,0.5107519030570984,0.26305052638053894
