layer,cosine_sim,cosine_sim_adjusted
0,0.6553803086280823,0.34341302514076233
1,0.597901463508606,0.36215174198150635
2,0.6511155962944031,0.35688987374305725
3,0.6516290903091431,0.4010489583015442
4,0.6729572415351868,0.4372935891151428
5,0.7030260562896729,0.448912113904953
6,0.7145535945892334,0.4856967628002167
7,0.7351602911949158,0.5144948363304138
8,0.7433367371559143,0.515919029712677
9,0.7570359110832214,0.512766420841217
10,0.7612988352775574,0.5271399021148682
11,0.7611987590789795,0.5296435356140137
12,0.7773913741111755,0.5338605642318726
13,0.7750471234321594,0.553411602973938
14,0.7699610590934753,0.5530945062637329
15,0.7727571725845337,0.5513283610343933
16,0.7721377611160278,0.5526155829429626
17,0.7654398083686829,0.5390655994415283
18,0.76662677526474,0.5116098523139954
19,0.7545937299728394,0.5042573809623718
20,0.7393800616264343,0.4800642132759094
21,0.7292020916938782,0.4574505090713501
22,0.7234642505645752,0.43103596568107605
23,0.7202010750770569,0.4066590666770935
24,0.7002491354942322,0.375861793756485
25,0.6942645311355591,0.37090668082237244
26,0.6587145328521729,0.33690565824508667
27,0.6422658562660217,0.3258365988731384
28,0.628727912902832,0.3110470771789551
29,0.5974810123443604,0.31006062030792236
30,0.5920205116271973,0.3048074543476105
31,0.5824335217475891,0.3114907145500183
