layer,cosine_sim,cosine_sim_adjusted
0,0.6696065068244934,0.3428385555744171
1,0.6379064917564392,0.36739975214004517
2,0.6805006861686707,0.35711249709129333
3,0.6674717664718628,0.3966490924358368
4,0.6802099347114563,0.427668035030365
5,0.7051405310630798,0.438938170671463
6,0.7131213545799255,0.4747176468372345
7,0.7323840856552124,0.5024529099464417
8,0.7398239970207214,0.5034098625183105
9,0.750996470451355,0.4974106550216675
10,0.7528950572013855,0.5110278725624084
11,0.751401960849762,0.5112709403038025
12,0.7693358659744263,0.5161013603210449
13,0.7662342190742493,0.5356213450431824
14,0.763637125492096,0.5364511609077454
15,0.7703037858009338,0.5362729430198669
16,0.7629803419113159,0.5344808101654053
17,0.755095362663269,0.5181453227996826
18,0.7526268362998962,0.48879507184028625
19,0.734745979309082,0.4790310859680176
20,0.7180169224739075,0.4546118378639221
21,0.7072771787643433,0.4321550726890564
22,0.6982802748680115,0.404443621635437
23,0.6992472410202026,0.383139044046402
24,0.6746734976768494,0.3510529100894928
25,0.6722862124443054,0.34521204233169556
26,0.6656666398048401,0.3191487491130829
27,0.639927089214325,0.30701953172683716
28,0.6352532505989075,0.29588034749031067
29,0.6196817755699158,0.300107479095459
30,0.5718830823898315,0.2848714292049408
31,0.5245576500892639,0.27169886231422424
