layer,cosine_sim,cosine_sim_adjusted
0,0.6687050461769104,0.34237146377563477
1,0.6371765732765198,0.36750897765159607
2,0.6795032024383545,0.3573867082595825
3,0.6667686700820923,0.39703866839408875
4,0.6793650984764099,0.4280681014060974
5,0.7039856910705566,0.4391646385192871
6,0.7112281918525696,0.47552815079689026
7,0.7294744849205017,0.5036170482635498
8,0.7357041239738464,0.5061766505241394
9,0.745667576789856,0.5017123818397522
10,0.7469976544380188,0.51457679271698
11,0.7451255917549133,0.5147265195846558
12,0.7629826068878174,0.5192751288414001
13,0.7592083811759949,0.5375853776931763
14,0.7560921311378479,0.5379805564880371
15,0.7622298002243042,0.5375977754592896
16,0.7548617720603943,0.5342628359794617
17,0.7458645105361938,0.5171442627906799
18,0.7432036399841309,0.48858514428138733
19,0.7244482636451721,0.47757163643836975
20,0.7082443833351135,0.4528959393501282
21,0.6976924538612366,0.4313632547855377
22,0.6893211603164673,0.4031924307346344
23,0.6902614831924438,0.3819640278816223
24,0.6670128107070923,0.34967949986457825
25,0.6645863056182861,0.344169557094574
26,0.657807469367981,0.31851282715797424
27,0.6317180395126343,0.3066265881061554
28,0.6268541812896729,0.2953411340713501
29,0.6105133295059204,0.3000015616416931
30,0.5630043745040894,0.28355711698532104
31,0.5175126194953918,0.2655141353607178
