layer,cosine_sim,cosine_sim_adjusted
0,0.6838303804397583,0.34555432200431824
1,0.6439926624298096,0.37075650691986084
2,0.6903679370880127,0.36340197920799255
3,0.6730427742004395,0.39972391724586487
4,0.6769463419914246,0.42861035466194153
5,0.6989777684211731,0.43628036975860596
6,0.7055666446685791,0.47112327814102173
7,0.7221253514289856,0.49944743514060974
8,0.7268828749656677,0.5005990862846375
9,0.7372899055480957,0.49701136350631714
10,0.7381026744842529,0.5090343952178955
11,0.7360761761665344,0.5092720985412598
12,0.7521908283233643,0.5148221850395203
13,0.7500974535942078,0.5320377349853516
14,0.7480079531669617,0.5332977175712585
15,0.7565113306045532,0.5358489751815796
16,0.7524772882461548,0.5337735414505005
17,0.745963454246521,0.5196787118911743
18,0.7449285387992859,0.492944598197937
19,0.730452299118042,0.4822476804256439
20,0.717384934425354,0.4596087634563446
21,0.7086361646652222,0.437936395406723
22,0.701973557472229,0.40997570753097534
23,0.6998305916786194,0.3864814341068268
24,0.6748824119567871,0.3537501096725464
25,0.6647802591323853,0.34815454483032227
26,0.6507790088653564,0.3220120370388031
27,0.6314205527305603,0.31080499291419983
28,0.6159176230430603,0.29613152146339417
29,0.5854224562644958,0.29818427562713623
30,0.5818964838981628,0.29454687237739563
31,0.5775496363639832,0.2925271987915039
