seed,language,layer,id,r
45,en,0,23.03660981426014,1.0420572009120692
45,en,1,21.82158509775258,1.05006403826677
45,en,2,19.699835792814582,1.040178904151943
45,en,3,20.410610377825225,1.0671118731705584
45,en,4,20.09137065082621,1.0699472471093356
45,en,5,19.310817652582024,1.06324024119795
45,en,6,18.713857136789777,1.0580370473229135
45,en,7,17.64070051262041,1.0461480695190672
45,en,8,18.44503422347786,1.0442807849456577
45,en,9,17.913828065617313,1.0445244781871668
45,en,10,17.97168737763933,1.0431650611484726
45,en,11,17.66172140732767,1.024511364828219
45,en,12,18.487238510736255,1.0226325260734113
45,en,13,17.857501754865588,1.0356650162960643
45,en,14,17.452197820857453,1.0358634268389684
45,en,15,17.64284186349904,1.0820809892362389
45,en,16,19.053793702521777,1.072589583585456
45,en,17,18.90407765735155,1.0832979618588043
45,en,18,18.49998415147007,1.0845240425448943
45,en,19,18.33895217580018,1.081289435321029
45,en,20,18.84363759886675,1.0825131077423387
45,en,21,19.080956284442387,1.075237638285575
45,en,22,19.292513102921696,1.0807178278696843
45,en,23,19.835361781802135,1.0807722559595614
45,en,24,20.017264562627595,1.085675854608434
45,en,25,19.986247011116113,1.085084799802271
45,en,26,20.143677885203417,1.0809552151710624
45,en,27,21.253100228719422,1.0825828176583387
45,en,28,21.459611112026995,1.0872838452676268
45,en,29,22.162107344150147,1.0893375296174739
45,en,30,24.418573484237726,1.0989412823982585
45,en,31,23.565575767476485,1.083122683534793
