seed,language,layer,id,r
42,en,0,20.414186625139333,0.980998329614468
42,en,1,17.19848538541454,0.9846960339260866
42,en,2,18.441010517422743,0.9795797143445465
42,en,3,18.293866168748398,1.022874445781002
42,en,4,17.52578095331879,1.0316333457471898
42,en,5,16.354975448847295,1.0215971372219363
42,en,6,17.48322258588945,1.0214600620550622
42,en,7,16.704496814612213,1.0132141683354108
42,en,8,17.072744718079853,1.012616661602968
42,en,9,17.347158212335096,1.0149966336124805
42,en,10,17.294650414546098,1.0175832549696602
42,en,11,17.728386757655485,1.0022698600403719
42,en,12,17.760365326918336,1.0042689091346884
42,en,13,17.153158509649767,1.0155656803466375
42,en,14,16.85139772780993,1.0164612575088596
42,en,15,15.730144492015961,1.0577793921794096
42,en,16,16.00111757957538,1.0509766433392445
42,en,17,15.633437920395103,1.0601542402842268
42,en,18,14.487006767175306,1.058820895391198
42,en,19,14.301310686090476,1.056727191080843
42,en,20,14.51402456433319,1.0566804432629218
42,en,21,14.015026251893815,1.0492643495565617
42,en,22,14.06137455656752,1.0544507124495794
42,en,23,14.269408109454963,1.0546958504008062
42,en,24,14.66024574968369,1.0584759459337931
42,en,25,14.404019752264405,1.0579406448224398
42,en,26,15.149605736721387,1.0517798451487421
42,en,27,15.785702335971171,1.0506316700618534
42,en,28,16.14993548644665,1.054294221028996
42,en,29,15.963853942343851,1.0511318098671982
42,en,30,16.53788385157784,1.0621994508650472
42,en,31,15.136508521525982,1.04940510756356
