seed,language,layer,id,r
42,fr,0,22.52418974841971,0.9740196670707909
42,fr,1,20.42366078159882,1.0161385480499285
42,fr,2,20.1515697932777,1.0297853250764306
42,fr,3,17.45888698341071,1.0522615840438612
42,fr,4,17.54781451532151,1.063235873226949
42,fr,5,17.163125459462883,1.0537508999463152
42,fr,6,16.77263955541129,1.050941216918592
42,fr,7,17.733833923715103,1.044357591005158
42,fr,8,18.372412829645775,1.0474301730878384
42,fr,9,19.288713776330006,1.0531048647715362
42,fr,10,19.74302435677259,1.0472232703981978
42,fr,11,20.734476594253774,1.0331639495416012
42,fr,12,22.262094364306755,1.0386709691824016
42,fr,13,20.694761000595925,1.0444441189541263
42,fr,14,20.88797030790127,1.0412439351427385
42,fr,15,18.790618647878027,1.0693051413042176
42,fr,16,18.343985679749647,1.0583171259339206
42,fr,17,17.977877704812215,1.0662599431303577
42,fr,18,16.70861209241525,1.0623635251257662
42,fr,19,16.57161253849659,1.061868874885928
42,fr,20,16.24026008213086,1.0561653137670224
42,fr,21,15.490596128333284,1.0474193283474835
42,fr,22,15.929268438955045,1.0474831947637244
42,fr,23,15.909260183858418,1.0404681218530467
42,fr,24,16.020476872134413,1.0280360866182883
42,fr,25,16.280329218950367,1.0214412562319735
42,fr,26,16.457229410662073,0.9947580064645466
42,fr,27,16.415173928461343,0.9874785067331382
42,fr,28,16.176791920044046,0.9810564729294534
42,fr,29,15.669562017380654,0.9756295761395782
42,fr,30,15.981765039028462,0.9769019913515584
42,fr,31,14.156649908823924,1.0042171834265954
