seed,language,layer,id,r
44,es,0,18.133106454348358,1.0052828750437262
44,es,1,17.76599833644592,1.0307337444227467
44,es,2,16.866456926987475,1.0255646919445536
44,es,3,15.15964388748669,1.039858862036722
44,es,4,15.996706855379033,1.045631988766724
44,es,5,16.61006703028781,1.0407002023485068
44,es,6,16.706135672878084,1.0402445533785263
44,es,7,17.059662586415637,1.0332875385417364
44,es,8,18.097436345086912,1.040034705733307
44,es,9,18.708479508742972,1.0457333818811654
44,es,10,18.865650730668442,1.0403786581349554
44,es,11,18.7449475641609,1.023287751893965
44,es,12,19.482280884620753,1.030250143854635
44,es,13,17.808553591385824,1.0277970542571109
44,es,14,17.56248474004326,1.0218692341394853
44,es,15,17.124098770526835,1.0497402904002737
44,es,16,16.996956674527322,1.0403235058489397
44,es,17,16.88359795348559,1.050038724805942
44,es,18,16.249359996621866,1.0446425899133733
44,es,19,15.491624386157342,1.0401302700362922
44,es,20,15.330177181919433,1.036491148246444
44,es,21,15.143473524383111,1.0260612540228389
44,es,22,15.105609352445324,1.0284502952176484
44,es,23,15.262357958585568,1.0241700254342352
44,es,24,15.06993590744594,1.0159689581255604
44,es,25,15.120892234030272,1.00893502707407
44,es,26,14.97677442222771,0.9961626014683357
44,es,27,14.831434930270962,0.9870722978392037
44,es,28,14.798897849422339,0.9794719033680084
44,es,29,14.571396684842274,0.969404561889411
44,es,30,14.802657950089724,0.9607180735799132
44,es,31,14.668315378399448,0.9954253430607468
