seed,language,layer,id,r
42,fr,0,13.378961928167026,0.42984070533853275
42,fr,1,14.198463029982804,0.6914716016747785
42,fr,2,14.877789408972413,0.7230467346321141
42,fr,3,15.70872236498639,0.8144266694571729
42,fr,4,16.677220934144227,0.8820570865843375
42,fr,5,15.893532165997092,0.895405497464942
42,fr,6,17.732733933149106,0.9200402970539794
42,fr,7,18.601293948683306,0.9470528160371761
42,fr,8,19.038109079604073,0.9670872424740776
42,fr,9,19.639055092049098,0.9733416646655337
42,fr,10,20.295547305146,0.976068219859414
42,fr,11,21.058141562147274,0.9671323062032161
42,fr,12,20.70149313833977,0.9656286709616236
42,fr,13,21.02681523734043,0.9671821298379091
42,fr,14,21.327660628038654,0.9611731494724979
42,fr,15,21.27932297543948,0.9422195377032576
42,fr,16,20.32233657529981,0.9253927726432958
42,fr,17,19.530351007157297,0.9194324329704432
42,fr,18,19.12200088837362,0.9077013607898942
42,fr,19,18.795753177134184,0.9064480994934306
42,fr,20,18.208616475844416,0.899066397536333
42,fr,21,18.013407796200532,0.8954826797984727
42,fr,22,17.93471186048287,0.8927285866860866
42,fr,23,17.96742999647319,0.8888918011535906
42,fr,24,17.568759828915546,0.8786464826247653
42,fr,25,17.391866285784015,0.872968146807304
42,fr,26,17.343913925850266,0.8588318478507528
42,fr,27,16.828513680640885,0.851173739108175
42,fr,28,16.861788869829393,0.8413167825412549
42,fr,29,16.938479562557998,0.8285202170919334
42,fr,30,17.046418625099413,0.8140078771198547
42,fr,31,16.812507920928564,0.8015868246788646
