seed,language,layer,id,r
43,en,0,10.728845106714767,0.4754370383215648
43,en,1,14.412055372874278,0.7073277240655582
43,en,2,14.04929890227454,0.7350020788523529
43,en,3,14.763522852469617,0.8065330787745612
43,en,4,15.553270810559383,0.8646132733081756
43,en,5,14.349929026743903,0.8762204418865085
43,en,6,14.367805042387445,0.8981280057892707
43,en,7,14.928201805067863,0.9170793506572189
43,en,8,15.836845330372734,0.9333790040812342
43,en,9,15.53939456989931,0.9484075616135896
43,en,10,15.807994331455868,0.9527229283446579
43,en,11,16.116444262496284,0.9430485577799433
43,en,12,16.25098694569382,0.9437564585353128
43,en,13,16.943190936640214,0.9472982667390267
43,en,14,17.300638774302072,0.9443701055647834
43,en,15,16.975606714845984,0.9318608709034691
43,en,16,16.49370159885886,0.9155143718147465
43,en,17,16.12269414712547,0.909371851175951
43,en,18,15.428061512017461,0.9014741717741536
43,en,19,15.693663696586592,0.9030470926274613
43,en,20,15.922065899638257,0.9069707618792693
43,en,21,15.723319302656785,0.9067859918177474
43,en,22,15.709875523110478,0.9090657491774291
43,en,23,15.681097503000213,0.9075633368499589
43,en,24,15.997329655278188,0.9081925732640598
43,en,25,16.126639582924565,0.9009507299594218
43,en,26,16.223480590140994,0.8931863734573051
43,en,27,16.124190320693323,0.8894197571630137
43,en,28,16.338373912187578,0.8849044254218633
43,en,29,16.134190170350333,0.8771136439997315
43,en,30,16.474392013906893,0.8608261131985181
43,en,31,16.43673454702067,0.8484151066407085
