seed,language,layer,id,r
44,de,0,12.435557788203642,0.32239038290603195
44,de,1,14.808972095173567,0.687863853225236
44,de,2,16.471241292844848,0.7186384508631782
44,de,3,16.300360448920298,0.8113745158756018
44,de,4,17.854089743111818,0.8796006185872657
44,de,5,17.675278324809167,0.8953545749156159
44,de,6,17.808576196700077,0.9211886252514087
44,de,7,18.205103554495945,0.9452598949271068
44,de,8,17.988517192555506,0.9636455489021802
44,de,9,18.597146620288783,0.9672888464031806
44,de,10,19.46863991180619,0.9663918103496986
44,de,11,19.762610342256693,0.9600358842636826
44,de,12,19.815575878009707,0.9579788941120014
44,de,13,20.44065567862369,0.96341017411828
44,de,14,19.633120621308873,0.956382648056543
44,de,15,19.040220904020718,0.941460144020965
44,de,16,18.34118596910922,0.9204113551486063
44,de,17,17.607871906549747,0.9153054268805587
44,de,18,16.71418838591011,0.9032979347627037
44,de,19,16.463738929869923,0.9001397181069861
44,de,20,16.697658959312847,0.8926738100614298
44,de,21,17.214315038429493,0.8873485681388457
44,de,22,17.585490953209938,0.881712237537668
44,de,23,17.406022128836906,0.8768643766217881
44,de,24,17.180526279969953,0.8649423789615246
44,de,25,17.162517940790888,0.8567434826747449
44,de,26,16.77500577248773,0.8420972359401859
44,de,27,16.75781546419247,0.8330291627340018
44,de,28,16.763406522529447,0.8216315106523022
44,de,29,16.574059118447348,0.8066129720276031
44,de,30,16.36632598007473,0.794209631569675
44,de,31,15.93348199587414,0.7989957750722703
