seed,language,layer,id,r
43,ru,0,11.123870809924485,0.3396371906978651
43,ru,1,13.588930607302844,0.6816618347998956
43,ru,2,15.273595463117374,0.7099802685333602
43,ru,3,15.719827436907822,0.7950275889115562
43,ru,4,16.648930491097207,0.8631303451113566
43,ru,5,16.199271746656343,0.8788413322472506
43,ru,6,16.05874238295552,0.9049682777294175
43,ru,7,15.288109932710515,0.9303562101323016
43,ru,8,15.73640873811179,0.9500067648589393
43,ru,9,16.660841096541517,0.9586083078063107
43,ru,10,17.0150042105161,0.9612611951113251
43,ru,11,17.536705080059658,0.9544573379518071
43,ru,12,17.847053203684613,0.9548291015441649
43,ru,13,17.89618442036187,0.9590774330588426
43,ru,14,17.956091793370643,0.9517881868599529
43,ru,15,17.126355041268884,0.9374125194140939
43,ru,16,16.46695565922711,0.919499448837614
43,ru,17,16.197002636436036,0.913370888232527
43,ru,18,16.045105170056758,0.9022165605805461
43,ru,19,16.219788213533732,0.900830319141945
43,ru,20,16.140977621755898,0.8968918749863706
43,ru,21,16.263634996444495,0.8915896855325888
43,ru,22,16.192685548083332,0.8900221098264471
43,ru,23,15.933631754937895,0.8880573976475593
43,ru,24,16.273005286925,0.8803482424263918
43,ru,25,16.20954264293129,0.8758279431744762
43,ru,26,15.996102516390685,0.866705006865372
43,ru,27,15.849219606336819,0.8577520666395246
43,ru,28,15.686217508987848,0.8497293405384505
43,ru,29,15.615645148708767,0.8432768205985887
43,ru,30,16.117373301757596,0.8152924028546984
43,ru,31,16.52520462306278,0.8101068345021372
