seed,language,layer,id,r
42,es,0,13.88606642562594,0.19651465970669907
42,es,1,15.557645198070915,0.672093971197686
42,es,2,15.675644321713886,0.7130993816150291
42,es,3,16.546462023333493,0.8037071613168139
42,es,4,17.578649045651286,0.8731373941976729
42,es,5,16.680093693334967,0.8837251736418712
42,es,6,17.505485931820203,0.9104906221994581
42,es,7,16.839271044166818,0.9341245397044662
42,es,8,18.06194131925366,0.9531435782750446
42,es,9,18.60337954527969,0.9640915434970279
42,es,10,18.771513913178318,0.969120458352615
42,es,11,18.705879570170957,0.9627738850807719
42,es,12,19.203708667347488,0.958586001684473
42,es,13,20.128633305034988,0.961517920833946
42,es,14,20.396346026175745,0.9555912708157741
42,es,15,19.978194280032014,0.940693347998153
42,es,16,18.888477562742253,0.9185830404360618
42,es,17,18.32301877909489,0.9075780866567734
42,es,18,17.626537299315977,0.8934423246888051
42,es,19,17.43912879701159,0.8946761159817489
42,es,20,17.334049682365194,0.8895694032579066
42,es,21,17.23815069541525,0.883956548123055
42,es,22,16.99326899781076,0.8837818690383555
42,es,23,17.004928911408555,0.8818627259948043
42,es,24,16.835187723083774,0.874647724367993
42,es,25,16.816559658335233,0.8679912756455553
42,es,26,17.044145028570313,0.8548794676700492
42,es,27,16.77931053489122,0.8461365762239919
42,es,28,16.71994115014464,0.8396610485941508
42,es,29,16.71943658957626,0.8306580546297891
42,es,30,16.65026485660368,0.8157079745547284
42,es,31,16.484828858858222,0.8251878939527771
