seed,language,layer,id,r
44,fr,0,12.602439141414857,0.44327162048712876
44,fr,1,14.414038006431781,0.6990323889240658
44,fr,2,14.784794047748047,0.7334602982467725
44,fr,3,15.04156911884419,0.8278706153545122
44,fr,4,15.8838623284367,0.8931727163544764
44,fr,5,15.734396586558363,0.9055904786281179
44,fr,6,17.140870693858904,0.9289158079747676
44,fr,7,17.821144512038448,0.9529447514015662
44,fr,8,19.21245780191175,0.969675805502808
44,fr,9,19.73756928031125,0.977529316378771
44,fr,10,20.587736600722053,0.9795020723719616
44,fr,11,21.072091219272465,0.9726652009901395
44,fr,12,21.26398748379314,0.9711547338513178
44,fr,13,20.312180575016853,0.9714181596682931
44,fr,14,19.76932898995418,0.9672629472080686
44,fr,15,19.31812235724262,0.948496829634278
44,fr,16,18.57300034568457,0.9320324197244159
44,fr,17,18.291552555764973,0.9275106512268445
44,fr,18,17.841670331558795,0.9157438508393848
44,fr,19,17.5962998347005,0.9152793270023322
44,fr,20,17.05817324440753,0.9089482448529326
44,fr,21,16.994095857525256,0.9067267152273077
44,fr,22,16.40178454649027,0.904023893146949
44,fr,23,16.219290883960312,0.9009452822668698
44,fr,24,15.967813481843045,0.891792481774377
44,fr,25,15.885229944635299,0.8867442567804067
44,fr,26,16.420104847778024,0.8725667183436503
44,fr,27,16.235420747442333,0.8650579465954659
44,fr,28,16.4290275083111,0.8558622464610806
44,fr,29,16.62177637283895,0.8440005321163464
44,fr,30,16.785579723849374,0.8301814622755992
44,fr,31,16.786391764206154,0.8270943410405789
