seed,language,layer,id,r
42,en,0,12.359637375820865,0.4589020681774372
42,en,1,15.740327616697664,0.7232265444303732
42,en,2,14.638642213162877,0.7547942547938696
42,en,3,16.648907366861184,0.8272471677647216
42,en,4,17.019678912970434,0.8832334106248789
42,en,5,16.894787117171266,0.8916566463585505
42,en,6,17.1640966178181,0.911935268831272
42,en,7,17.161325124189336,0.9308491651322414
42,en,8,17.92564033718269,0.9479424268988178
42,en,9,18.524132798863636,0.9613630678484424
42,en,10,18.444125576475166,0.9666008902984413
42,en,11,18.32435207732471,0.9558973605523094
42,en,12,19.047557661810007,0.9551424880946914
42,en,13,19.763783238687033,0.9589499530860097
42,en,14,19.8461997816116,0.9544607587759616
42,en,15,18.736642467588,0.9412537815599972
42,en,16,18.62485746835615,0.9253333233309659
42,en,17,17.91427847207343,0.9194766025661341
42,en,18,17.954307127710305,0.9109042161692928
42,en,19,17.433524894336756,0.9113183584619966
42,en,20,17.78659102753254,0.9148369349877419
42,en,21,17.38554483569185,0.9140996168002254
42,en,22,17.449810106838356,0.9168479231606924
42,en,23,17.336690022941152,0.9162288298306539
42,en,24,17.01563980097959,0.9158496028775851
42,en,25,16.990943596112523,0.9096837584041878
42,en,26,17.169424439490232,0.9025536433697254
42,en,27,17.055522246183035,0.899164791956511
42,en,28,17.059102512051034,0.8944187032928077
42,en,29,17.148835737777052,0.886885878529722
42,en,30,17.386566546723312,0.8699999354078903
42,en,31,17.290858291876315,0.8594682623917338
