instruction_id,en,de,es,fr,ru
012188030fd7842541d58762523ef67a57740c8d5950e0a31dfaadc9af38613a,4,10,10,10,10
01a80444b80d78275cb87e5f9e7d7cb413ab552873181c1d11816c671402c935,0,10,9,10,10
029924a392723cdeaad08d6e3a82444e5c30a5493fab2d35594f986f0848538c,10,10,10,10,10
02d97fc3e3b461849882e0f4fb35a4d19343a677705c3b6743369736e66cae76,10,6,10,9,10
04b0e73a26cd85a0873c85237bc8b3cd27c7f1b8755463fde048d3120746a94c,7,6,2,3,1
04e5dcf8f1609c638d1d7eb96e936c07a74bb5739da77b3a528b7b3af940852d,10,10,10,10,9
0626253266a2fdf990bc97222a6ba132e1ee7f44074f00d6a5b8721320c6b8bf,8,10,10,10,10
065120684a03fd3d84e05bcbb47b6dbbdec7d3e68931267db58469ff92047300,10,10,10,10,10
06aa97a0052a2384d7831d3a6b5f1cb9704a0c243f85ab49b7058158725ef45f,10,10,10,10,10
0849daadd4f1f0c4ab3f515cd3ca9594e0c7b6621cf24061c9f964e751a37711,10,10,10,10,10
0ba5e20fdd7186b434d163cb7fc4bc4ac3914585d51d4fe930905ab51f115f01,10,10,10,10,10
0bc758add394371075ba82c7b07119c3572087deca16ac9d058897aa1f89faa4,10,10,9,9,10
0ca76ef83dc9bc8cf5aa511aa522530abbb578117f25c2a4c87494b2712ff63b,10,10,10,10,10
0e28de5b70d2f3fd5f83270c78565f4b37edaa4008ebc7225781215215ef2285,10,9,10,10,10
103d60b24151a5539436e8e90f91f61dff5b97271f5efde4b6ba74f2a8c7cae7,10,9,7,10,0
130e5ca6c831bd846ad253b39f656a37361677a996b7a988ebf01a1d2e15deb8,10,10,10,10,10
13cb885a5a950db2e96a3601465b22a50fe31ef68bbd7c1d5e6d2dc36f2bae89,10,10,10,10,10
142072f376de946c8e460891a37762c34e978f0f7b998ad5a272a6804e7b1e1b,10,10,10,10,10
1454db482cc785bd6bbe46df52934cc2ed0c4c8f3ddbeca2e751f09c771aaf99,10,9,9,9,10
146e3b91427cdd2dc17eec6c1a44517b3734b8e5830692b9d0cbb17dcd48894d,10,10,10,10,10
14b640e399d13490eb9e0abe8ee4134d6c9823669b631f8a90031de94c8862da,10,10,10,10,10
14d6ee864db1afecfe76d37d5f544055db9464efedce3a7596475537b6c9fa1b,10,10,10,10,10
1567a58c2cc45b10654b5602a61d26e8336d766744a8f48c2543b243cdf0f7b0,10,10,10,10,10
1ba280b0dc26d0a6a9aeacc0f899c4258c7df82308d71f523b3ca61deec28c87,10,10,10,10,10
1e19efa146c6a337bc5e94f0e49eac0ba1245e6a58b02533ff05158f7c1bc3d9,10,10,10,10,10
1e4d07c7476078a07feab95c2186bcf39a1acb1234d19112f4d4a05c455cdef6,10,10,9,9,10
1ea6ca4ad9775e38a5c7d4e03f0d61d4a7e03d2b87ec3a283ef728be43fa3f82,10,10,10,10,10
