script_path,category,primary_inputs,primary_outputs,core_metric,notes
/home/gangstat/NeMA_result/scripts/analysis/mislang.py,analysis,"/home/gangstat/NeMA_result/_pairs/*.jsonl","/home/gangstat/NeMA_result/analysis/mislang_data.csv","mislang_pct, avg_response_length","Line-level JSONL analysis on rejected output text"
/home/gangstat/NeMA_result/scripts/analysis/mislang_base.py,analysis,"/home/gangstat/NeMA_result/responses/baseline/*.jsonl","/home/gangstat/NeMA_result/analysis/mislang_model_baseline.csv","mislang_pct, avg_length","Baseline output analysis parsed from filename metadata"
/home/gangstat/NeMA_result/scripts/analysis/mislang_model.py,analysis,"/home/gangstat/NeMA_result/responses/<method>/*/model_outputs.json","/home/gangstat/NeMA_result/analysis/mislang_model_<method>.csv","mislang_pct, avg_length","Folder-based model analysis; DPO filtered to dpo_250426 only"
/home/gangstat/NeMA_result/scripts/analysis/export_confusion_matrix.py,analysis,"/home/gangstat/NeMA_result/_pairs/*.jsonl","/home/gangstat/NeMA_result/analysis/cm_<dataset>.csv","expected_vs_detected_lang_pct","Confusion matrix export for expected langs (default es, ru)"
/home/gangstat/NeMA_result/scripts/visualization/plot_mislang_models.py,visualization,"/home/gangstat/NeMA_result/analysis/mislang_model_*.csv","/home/gangstat/NeMA_result/analysis/figures/mislang_models_overview.png","mislang_pct, avg_length, composition(top1-top3-others)","Heatmaps + stacked composition chart"
/home/gangstat/NeMA_result/scripts/visualization/plot_confusion_heatmaps.py,visualization,"/home/gangstat/NeMA_result/analysis/cm_*.csv","/home/gangstat/NeMA_result/analysis/figures/*heatmap*.png","confusion_pct","Single and combined confusion heatmaps"
/home/gangstat/NeMA_result/scripts/visualization/plot_confusion_with_summary.py,visualization,"/home/gangstat/NeMA_result/analysis/cm_*.csv; /home/gangstat/NeMA_result/analysis/mislang_data.csv","/home/gangstat/NeMA_result/analysis/figures/confusion_with_summary.png","confusion_pct + mislang_pct + avg_response_length","Top panel: heatmaps, lower panels: summary bars"
/home/gangstat/NeMA_result/scripts/visualization/plot_length_controlled_winrate.py,visualization,"/home/gangstat/NeMA_result/results/**/*.csv","/home/gangstat/NeMA_result/analysis/figures/winrate_icr_lacomsa_mapo_best_filtered.png","length_controlled_winrate (fallback win_rate)","w-reinforce best(general/clone), npo + best checkpoint"
/home/gangstat/NeMA_result/scripts/visualization/plot_lc_winrate_npo.py,visualization,"/home/gangstat/NeMA_result/results/**/*.csv","/home/gangstat/NeMA_result/analysis/figures/lc_winrate_npo_checkpoints.png","length_controlled_winrate (fallback win_rate)","NPO-only: all checkpoints + NPO general at end"
/home/gangstat/NeMA_result/scripts/visualization/stack_overview_images.py,visualization,"/home/gangstat/NeMA_result/analysis/figures/overview_*.png","/home/gangstat/NeMA_result/analysis/figures/overview_stacked_vertical.png","N/A","Utility to stack multiple overview figures vertically"
