,length_controlled_winrate,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,lc_standard_error
icr_w-reinforce_random,28.09,28.76,1.59,community,2408,230,572,3,805,28.76,0.30
llama3_8b_lacomsa_high_lang_easy_lc_seed42,23.97,23.48,1.49,community,1635,187,614,4,805,23.48,0.36
icr_enesru_llama3_8b_w-reinforce,23.62,27.64,1.57,community,1924,221,581,3,805,27.64,0.21
llama3_8b_ma_lacomsa_es5_ru5_de1_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed43,23.10,23.98,1.50,community,1699,192,611,2,805,23.98,0.30
llama3_8b_ma_lacomsa_es1_ru1_de1_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed43,23.09,22.42,1.47,community,1657,179,623,3,805,22.42,0.26
llama3_8b_ma_lacomsa_es3_ru5_de5_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,22.87,25.34,1.53,community,1878,203,600,2,805,25.34,0.22
llama3_8b_ms01_ma_lacomsa_-1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,22.79,26.15,1.55,community,1896,210,594,1,805,26.15,0.25
llama3_8b_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,22.68,24.97,1.52,community,1827,200,603,2,805,24.97,0.25
llama3_8b_icr_seed43,22.65,22.11,1.46,community,1642,177,626,2,805,22.11,0.30
llama3_8b_ma_lacomsa_es1_ru1_de1_fr10_v2_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed43,22.59,21.99,1.46,community,1651,176,627,2,805,21.99,0.28
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,22.48,24.35,1.51,community,1817,195,608,2,805,24.35,0.27
mapo_w-reinforce_random_170526,22.48,24.10,1.51,community,1795,193,610,2,805,24.10,0.31
llama3_8b_ma_lacomsa_all_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,22.46,22.61,1.47,community,2200,181,622,2,805,22.61,0.31
mapo_w-reinforce_random,22.44,26.65,1.56,community,1980,214,590,1,805,26.65,0.32
llama3_8b_minv2_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,22.42,23.73,1.50,community,1763,190,613,2,805,23.73,0.24
llama3_8b_ms01_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,22.36,24.47,1.51,community,1842,196,607,2,805,24.47,0.26
llama3_8b_ms01_ma_lacomsa_top10_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,22.30,25.22,1.53,community,1821,202,601,2,805,25.22,0.27
llama3_8b_ma_lacomsa_top30_corr0.9_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,22.29,24.53,1.51,community,1817,196,606,3,805,24.53,0.27
llama3_8b_ms01_ma_lacomsa_15_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,22.28,25.71,1.54,community,1861,206,597,2,805,25.71,0.25
llama3_8b_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,22.26,24.60,1.52,community,1832,197,606,2,805,24.60,0.27
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,22.22,24.72,1.52,community,1770,198,605,2,805,24.72,0.26
llama3_8b_min_ms01_ma_lacomsa_top10_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,22.19,23.48,1.49,community,1755,188,615,2,805,23.48,0.30
