,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error
qwen2.5_7b_ma_lacomsa_top10_top30_high_lang_g0p0_all_pairs_medium_seed42,32.36024844720497,1.6464655325763289,community,1508,259,543,3,805,32.36024844720497,37.41523875731368,0.2422884704980085
qwen2.5_7b_ms01_ma_lacomsa_top30_high_lang_g0p0_all_pairs_easy_lc_seed42,43.54037267080745,1.7452695284945414,community,1955,349,453,3,805,43.54037267080745,36.83938229338271,0.2203426499749066
qwen2.5_7b_ma_lacomsa_top7_top30_high_lang_g0p0_all_pairs_medium_seed43,31.863354037267083,1.6397371554916014,community,1502,255,547,3,805,31.863354037267083,36.65783469732508,0.1927623940223582
qwen2.5_7b_ma_lacomsa_top10_top30_high_lang_g0p0_all_pairs_medium_seed44,32.48447204968944,1.648114221046697,community,1544,260,542,3,805,32.48447204968944,36.60233936478244,0.1786478276131976
qwen2.5_7b_ma_lacomsa_top7_top30_high_lang_g0p0_all_pairs_medium_seed42,31.67701863354037,1.6359784121953025,community,1531,253,548,4,805,31.67701863354037,35.65230020860767,0.198662382376707
qwen2.5_7b_ma_lacomsa_top10_top30_high_lang_g0p0_all_pairs_medium_seed43,31.24223602484472,1.6310229066364073,community,1516,250,552,3,805,31.24223602484472,35.447508927918726,0.1862749025494505
qwen2.5_7b_ms01_ma_lacomsa_top30_high_lang_g0p0_all_pairs_easy_lc_seed43,41.67701863354038,1.7354266006669732,community,1963,334,468,3,805,41.67701863354038,35.32646095929038,0.1939789543391877
qwen2.5_7b_ma_lacomsa_top7_top30_high_lang_g0p0_all_pairs_medium_seed44,31.490683229813666,1.6345494086434709,community,1539,252,550,3,805,31.490683229813666,35.31349529764179,0.1970877827379376
icr_enesru_llama3_8b_dpo,28.012422360248447,1.5824915958976835,community,1965,225,579,1,805,28.012422360248447,22.72000897029955,0.2606542580370192
llama3_8b_ma_lacomsa_top5_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,23.354037267080745,1.4895078697072963,community,2066,187,616,2,805,23.354037267080745,21.90726513878788,0.3394359338748026
icr_enesru_llama3_8b_w-reinforce,23.60248447204969,1.4949999558342888,community,1741,189,614,2,805,23.60248447204969,20.60413347248593,0.2970703449051714
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed43,20.93167701863354,1.4307027066816689,community,1605,167,635,3,805,20.93167701863354,19.66801882674188,0.2650000719759848
icr_enesru_llama3_8b_w-reinforce_150426,21.5527950310559,1.446147635673778,community,1710,172,630,3,805,21.5527950310559,19.601844332260885,0.2499829497403375
llama3_8b_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,24.16149068322981,1.505815701865977,community,1934,193,609,3,805,24.16149068322981,19.060000572611035,0.2718726573500193
llama3_8b_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,24.782608695652176,1.5188559477682468,community,1910,198,604,3,805,24.782608695652176,18.16000735711335,0.2855740504413667
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,19.68944099378882,1.3982724071360444,community,1633,157,645,3,805,19.68944099378882,18.06067113541847,0.2873481491704353
icr_enesru_llama3_8b_dpo_250426,17.63975155279503,1.338481336735576,community,1538,140,661,4,805,17.63975155279503,17.566235897712936,0.2490741696945889
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed45,21.801242236024844,1.4521871009265324,community,1872,174,628,3,805,21.801242236024844,17.515010985171433,0.2431609832197633
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,21.5527950310559,1.446147635673778,community,1868,172,630,3,805,21.5527950310559,17.47447759899923,0.3038517384582532
lacomsa_enesru_llama3_8b_npo_checkpoint-5,19.44099378881988,1.391530157989909,community,1758,155,647,3,805,19.44099378881988,17.35886084811705,0.2359634692731105
llama3_8b_ma_lacomsa_es3_ru5_de5_fr3_top30_high_lang_filtered_g0p0_a1p0_all_pairs_easy_lc_seed43,21.801242236024844,1.4521871009265324,community,1868,174,628,3,805,21.801242236024844,17.07417337091652,0.2973467852531948
llama3_8b_ma_lacomsa_top5_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed45,21.5527950310559,1.446147635673778,community,1897,172,630,3,805,21.5527950310559,16.89525197597587,0.3087659320303339
llama3_8b_ma_lacomsa_es3_ru5_de5_fr3_top30_high_lang_filtered_g0p0_a1p0_all_pairs_easy_lc_seed42,21.428571428571427,1.443098474797186,community,1831,171,631,3,805,21.428571428571427,16.691695316223427,0.2796646318279948
mapo_enesru_llama3_8b_npo_checkpoint-5,19.44099378881988,1.391530157989909,community,1768,155,647,3,805,19.44099378881988,16.6888231576936,0.2809278989786049
lacomsa_enesru_llama3_8b_w-reinforce,20.248447204968944,1.411758873519214,community,1753,161,640,4,805,20.248447204968944,16.48476665447098,0.3084193795331539
lacomsa_enesru_llama3_8b_dpo,19.751552795031056,1.3985640652386344,community,1743,157,644,4,805,19.751552795031056,16.212845342146938,0.2752277967251296
mapo_enesru_llama3_8b_dpo_250426,18.32298136645963,1.3600783378008872,community,1628,146,656,3,805,18.32298136645963,16.19124358788813,0.2516091635977752
mapo_enesru_llama3_8b_npo_checkpoint-3,18.571428571428573,1.367228434372718,community,1743,148,654,3,805,18.571428571428573,15.936300609347978,0.194207121719237
lacomsa_enesru_llama3_8b_ppo,18.4472049689441,1.36366510983029,community,2049,147,655,3,805,18.4472049689441,15.594199837481312,0.2139699195132894
lacomsa_enesru_llama3_8b_npo_checkpoint-3,18.13664596273292,1.35322735164236,community,1781,144,657,4,805,18.13664596273292,15.48744979629044,0.2429888967437429
lacomsa_enesru_llama3_8b_sft,17.32919254658385,1.3334170139846355,community,2050,139,665,1,805,17.32919254658385,15.480417000560792,0.2304014397083861
mapo_enesru_llama3_8b_npo_checkpoint-4,17.63975155279503,1.338481336735576,community,1757,140,661,4,805,17.63975155279503,15.271839697088568,0.2058367000253386
mapo_enesru_llama3_8b_npo_checkpoint-2,17.577639751552795,1.3380546628457124,community,1763,140,662,3,805,17.577639751552795,15.219694730149424,0.23030722365004
lacomsa_enesru_llama3_8b_npo_checkpoint-2,17.70186335403727,1.3417861411278869,community,1724,141,661,3,805,17.70186335403727,15.02923425826872,0.2476330428226627
icr_enesru_llama3_8b_ppo_150426,16.459627329192546,1.306288755306555,community,1752,132,672,1,805,16.459627329192546,14.926188700245104,0.2754900425109898
icr_enesru_llama3_8b_npo_checkpoint-1,17.763975155279503,1.3422044788842566,community,1709,141,660,4,805,17.763975155279503,14.758869359727495,0.28405394142454227
mapo_enesru_llama3_8b_ppo,11.428571428571429,1.1082010979332944,community,1274,88,709,8,805,11.428571428571429,14.74620060479657,0.2745448778229137
lacomsa_enesru_llama3_8b_npo_checkpoint-4,17.080745341614907,1.3228784303480683,community,1743,136,666,3,805,17.080745341614907,14.717085789071383,0.2452390763776066
lacomsa_enesru_llama3_8b_dpo_250426,17.018633540372672,1.3194899070041133,community,1692,135,666,4,805,17.018633540372672,14.518225732061138,0.2416181060395881
mapo_enesru_llama3_8b_w-reinforce_200426,17.32919254658385,1.3305170366329355,community,1642,138,664,3,805,17.32919254658385,14.391267341618375,0.2734496257745083
mapo_enesru_llama3_8b_dpo,17.32919254658385,1.3305170366329355,community,1642,138,664,3,805,17.32919254658385,14.391267341618375,0.2734496257745083
mapo_enesru_llama3_8b_dpo_200426,17.32919254658385,1.3305170366329355,community,1642,138,664,3,805,17.32919254658385,14.391267341618375,0.2734496257745083
mapo_enesru_llama3_8b_w-reinforce,17.32919254658385,1.3305170366329355,community,1642,138,664,3,805,17.32919254658385,14.391267341618375,0.2734496257745083
mapo_enesru_llama3_8b_npo_checkpoint-1,17.577639751552795,1.3380546628457124,community,1741,140,662,3,805,17.577639751552795,14.369741037020614,0.2367606469672511
lacomsa_enesru_llama3_8b_npo_checkpoint-1,17.577639751552795,1.3380546628457124,community,1741,140,662,3,805,17.577639751552795,14.369741037020614,0.2367606469672511
icr_enesru_llama3_8b_ppo,16.52173913043478,1.3097444061303425,community,1777,133,672,0,805,16.52173913043478,13.947342332008258,0.2409809532416585
mapo_enesru_llama3_8b_sft,9.006211180124224,0.9999883879181946,community,1098,70,730,5,805,9.006211180124224,12.508321831227455,0.2661269291202375
icr_enesru_llama3_8b_sft_150426,14.285714285714285,1.2340977508305149,community,2381,115,690,0,805,14.285714285714285,11.97007664239555,0.2209502190660444
icr_enesru_llama3_8b_sft,14.22360248447205,1.230289266813231,community,2423,114,690,1,805,14.22360248447205,11.803006621751438,0.2506515170152449
mapo_enesru_llama3_8b_npo,1.8633540372670807,0.4769087277979783,community,4702,15,790,0,805,1.8633540372670807,0.5622910155075688,0.0257010629183649
icr_enesru_llama3_8b_npo,0.124223602484472,0.124223602484472,community,1,1,804,0,805,0.124223602484472,0.4159022329670198,0.0215093300638096
lacomsa_enesru_llama3_8b_npo,0.6211180124223602,0.2770805818294847,community,4050,5,800,0,805,0.6211180124223602,0.3505598707255502,0.0144178487485215
