,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error
qwen2.5_7b_ms01_ma_lacomsa_top30_high_lang_g0p0_all_pairs_easy_lc_seed43,36.83229813664596,1.699980259460931,community,1517,296,508,1,805,36.83229813664596,31.71812615293186,0.1658076888591049
qwen2.5_7b_ma_lacomsa_top10_top30_high_lang_g0p0_all_pairs_medium_seed42,27.577639751552795,1.5736585461454164,community,1189,221,582,2,805,27.577639751552795,31.44127134715445,0.1746421248652212
qwen2.5_7b_ma_lacomsa_top7_top30_high_lang_g0p0_all_pairs_medium_seed44,27.080745341614907,1.5647296373606088,community,1167,217,586,2,805,27.080745341614907,31.278864685053776,0.1900999413936378
qwen2.5_7b_ma_lacomsa_top7_top30_high_lang_g0p0_all_pairs_medium_seed42,28.26086956521739,1.5843189277626937,community,1214,226,576,3,805,28.26086956521739,31.22125069223322,0.1744571211643454
qwen2.5_7b_ma_lacomsa_top10_top30_high_lang_g0p0_all_pairs_medium_seed44,27.018633540372672,1.5623604516637195,community,1165,216,586,3,805,27.018633540372672,31.028446567574548,0.1896156396680654
qwen2.5_7b_ma_lacomsa_top7_top30_high_lang_g0p0_all_pairs_medium_seed43,26.33540372670808,1.5508686793437718,community,1173,211,592,2,805,26.33540372670808,30.5188191408556,0.1224884492450804
qwen2.5_7b_ma_lacomsa_top10_top30_high_lang_g0p0_all_pairs_medium_seed43,25.527950310559007,1.5364611702807112,community,1144,205,599,1,805,25.527950310559007,30.42731556177209,0.2444055034110757
qwen2.5_7b_ms01_ma_lacomsa_top30_high_lang_g0p0_all_pairs_easy_lc_seed42,35.962732919254655,1.69130404766379,community,1515,289,515,1,805,35.962732919254655,29.248009567725408,0.2417409798055859
icr_enesru_llama3_8b_w-reinforce_150426,25.279503105590063,1.5315063647639968,community,1683,203,601,1,805,25.279503105590063,22.321760278192624,0.266192049202373
icr_enesru_llama3_8b_w-reinforce,26.211180124223603,1.5509955272404023,community,1572,211,594,0,805,26.211180124223603,21.16367707612841,0.3323527299204392
icr_enesru_llama3_8b_dpo,29.19254658385093,1.603420582720896,community,1742,235,570,0,805,29.19254658385093,20.146424093531447,0.2354020575147347
llama3_8b_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,27.51552795031056,1.5737835571662149,community,1852,221,583,1,805,27.51552795031056,20.0145900381472,0.2984284987369268
llama3_8b_ma_lacomsa_top5_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed45,27.142857142857142,1.5670921793054688,community,1834,218,586,1,805,27.142857142857142,18.908110977630383,0.2928355668752794
llama3_8b_ma_lacomsa_es3_ru5_de5_fr3_top30_high_lang_filtered_g0p0_a1p0_all_pairs_easy_lc_seed42,25.77639751552795,1.541350240195413,community,1777,207,597,1,805,25.77639751552795,18.48866802102189,0.2666557129600076
icr_enesru_llama3_8b_dpo_250426,20.99378881987578,1.4336175812315448,community,1449,168,635,2,805,20.99378881987578,18.06890517550376,0.249428808007964
llama3_8b_ma_lacomsa_es3_ru5_de5_fr3_top30_high_lang_filtered_g0p0_a1p0_all_pairs_easy_lc_seed43,25.403726708074537,1.5339920240857543,community,1744,204,600,1,805,25.403726708074537,18.054517250895657,0.2554758149738766
llama3_8b_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,26.02484472049689,1.546174198084708,community,1836,209,595,1,805,26.02484472049689,17.891068702834104,0.2831494044412305
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed43,21.92546583850932,1.4578296677733906,community,1518,176,628,1,805,21.92546583850932,17.661244141071386,0.2733148612280131
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,25.59006211180124,1.5364330631125591,community,1759,205,598,2,805,25.59006211180124,17.633984282175817,0.2545914781824759
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,21.67701863354037,1.4518401158380192,community,1524,174,630,1,805,21.67701863354037,17.077815952930614,0.2840477007893931
llama3_8b_ma_lacomsa_top5_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,25.77639751552795,1.5413502401954131,community,1831,207,597,1,805,25.77639751552795,16.81061332760223,0.2884767644931547
lacomsa_enesru_llama3_8b_sft,20.248447204968944,1.4172204534886823,community,1776,163,642,0,805,20.248447204968944,16.096582691158854,0.2344271529375394
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed45,23.664596273291927,1.497651943507574,community,1733,190,614,1,805,23.664596273291927,15.684202183939968,0.2042123074505158
mapo_enesru_llama3_8b_dpo_250426,19.68944099378882,1.4010321455881167,community,1529,158,646,1,805,19.68944099378882,15.153444712507854,0.2401842904243691
lacomsa_enesru_llama3_8b_dpo_250426,20.43478260869565,1.420703495129486,community,1619,164,640,1,805,20.43478260869565,15.01216561724626,0.213032069420932
mapo_enesru_llama3_8b_npo_checkpoint-2,19.68944099378882,1.4010321455881167,community,1616,158,646,1,805,19.68944099378882,14.480377819520946,0.2814680459805142
mapo_enesru_llama3_8b_npo_checkpoint-1,18.944099378881987,1.3805802400405636,community,1688,152,652,1,805,18.944099378881987,14.12722604680826,0.2264286747089658
lacomsa_enesru_llama3_8b_npo_checkpoint-1,18.944099378881987,1.3805802400405636,community,1688,152,652,1,805,18.944099378881987,14.12722604680826,0.2264286747089658
icr_enesru_llama3_8b_ppo_150426,18.26086956521739,1.362535133165114,community,1524,147,658,0,805,18.26086956521739,13.994394736858975,0.2479688902188657
lacomsa_enesru_llama3_8b_dpo,19.006211180124225,1.3837116853216571,community,1677,153,652,0,805,19.006211180124225,13.838860390796489,0.2328512757715889
lacomsa_enesru_llama3_8b_ppo,18.19875776397516,1.3593125467422102,community,1907,146,658,1,805,18.19875776397516,13.782077526230532,0.2371811248710797
mapo_enesru_llama3_8b_w-reinforce_200426,18.75776397515528,1.37393627241271,community,1571,150,653,2,805,18.75776397515528,13.721043826061988,0.2211960419822993
mapo_enesru_llama3_8b_dpo_200426,18.75776397515528,1.37393627241271,community,1571,150,653,2,805,18.75776397515528,13.721043826061988,0.2211960419822993
mapo_enesru_llama3_8b_w-reinforce,18.75776397515528,1.37393627241271,community,1571,150,653,2,805,18.75776397515528,13.721043826061988,0.2211960419822993
mapo_enesru_llama3_8b_dpo,18.75776397515528,1.37393627241271,community,1571,150,653,2,805,18.75776397515528,13.721043826061988,0.2211960419822993
lacomsa_enesru_llama3_8b_w-reinforce,18.695652173913043,1.3735834933977955,community,1649,150,654,1,805,18.695652173913043,13.292000364352438,0.1644580894500956
mapo_enesru_llama3_8b_npo_checkpoint-5,18.75776397515528,1.37393627241271,community,1637,150,653,2,805,18.75776397515528,13.098800345133164,0.2231112919108068
mapo_enesru_llama3_8b_npo_checkpoint-4,17.82608695652174,1.3483607743743429,community,1610,143,661,1,805,17.82608695652174,13.026313027207497,0.231474978850958
mapo_enesru_llama3_8b_npo_checkpoint-3,18.07453416149068,1.355685944187936,community,1638,145,659,1,805,18.07453416149068,12.986174845558898,0.2576726339387726
