,length_controlled_winrate,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,lc_standard_error
llama3_8b_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,24.72,26.77,1.56,community,2100,215,589,1,805,26.77,0.31
llama3_8b_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,24.44,25.40,1.53,community,2178,204,600,1,805,25.40,0.29
llama3_8b_ma_lacomsa_top10_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,24.11,26.46,1.56,community,2024,213,592,0,805,26.46,0.31
llama3_8b_minv2_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,22.60,23.66,1.50,community,2178,190,614,1,805,23.66,0.32
icr_enesru_llama3_8b_dpo_150426,21.93,26.40,1.55,community,1648,212,592,1,805,26.40,0.28
llama3_8b_icr_seed43,21.78,26.89,1.56,community,1609,216,588,1,805,26.89,0.20
llama3_8b_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,20.42,28.76,1.60,community,1890,231,573,1,805,28.76,0.30
llama3_8b_ms01_ma_lacomsa_top5_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42_0505,20.38,21.55,1.45,community,2089,173,631,1,805,21.55,0.30
llama3_8b_ma_lacomsa_top30_corr0.9_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,20.29,26.89,1.56,community,1870,216,588,1,805,26.89,0.30
llama3_8b_ms01_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed45,20.28,29.75,1.61,community,1893,239,565,1,805,29.75,0.29
llama3_8b_ms01_ma_lacomsa_15_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,20.00,28.88,1.60,community,1871,232,572,1,805,28.88,0.25
llama3_8b_ma_lacomsa_es3_ru5_de5_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,19.81,28.14,1.58,community,1872,226,578,1,805,28.14,0.25
llama3_8b_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,19.24,27.52,1.57,community,1881,221,583,1,805,27.52,0.28
llama3_8b_ma_lacomsa_es5_ru5_de1_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed43,19.18,25.78,1.54,community,1763,207,597,1,805,25.78,0.25
llama3_8b_ma_lacomsa_top5_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,19.03,28.51,1.59,community,1852,229,575,1,805,28.51,0.26
llama3_8b_ms01_ma_lacomsa_15_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,18.91,27.45,1.57,community,1929,221,584,0,805,27.45,0.24
llama3_8b_ma_lacomsa_top5_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,18.88,26.77,1.56,community,1863,215,589,1,805,26.77,0.25
llama3_8b_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,18.79,25.34,1.53,community,1864,204,601,0,805,25.34,0.32
llama3_8b_ma_lacomsa_top7_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,18.77,25.28,1.53,community,1717,203,601,1,805,25.28,0.23
llama3_8b_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,18.76,27.39,1.57,community,1871,220,584,1,805,27.39,0.27
llama3_8b_ms01_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,18.74,26.27,1.55,community,1798,211,593,1,805,26.27,0.24
llama3_8b_min_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,18.72,26.09,1.55,community,1838,209,594,2,805,26.09,0.28
llama3_8b_ms01_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,18.57,27.39,1.57,community,1903,220,584,1,805,27.39,0.28
llama3_8b_min_ms01_ma_lacomsa_top10_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,18.38,26.02,1.55,community,1782,209,595,1,805,26.02,0.25
llama3_8b_min_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,18.32,26.65,1.56,community,1854,214,590,1,805,26.65,0.28
llama3_8b_ma_lacomsa_top30_corr0.9_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,18.25,24.16,1.51,community,1797,194,610,1,805,24.16,0.30
llama3_8b_ma_lacomsa_es5_ru5_de1_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed44,18.11,24.66,1.52,community,1707,198,606,1,805,24.66,0.29
llama3_8b_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,17.99,25.90,1.54,community,1857,208,596,1,805,25.90,0.23
llama3_8b_ma_lacomsa_all_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,17.94,23.66,1.50,community,1739,190,614,1,805,23.66,0.29
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,17.87,24.78,1.52,community,1811,199,605,1,805,24.78,0.25
llama3_8b_ma_lacomsa_top1_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,17.74,25.65,1.54,community,1807,206,598,1,805,25.65,0.29
llama3_8b_minv2_ms01_ma_lacomsa_top10_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,17.65,25.16,1.53,community,1745,202,602,1,805,25.16,0.23
llama3_8b_ma_lacomsa_top1_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,17.64,25.53,1.54,community,1853,205,599,1,805,25.53,0.30
llama3_8b_ms01_ma_lacomsa_top10_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42_0505,17.59,25.53,1.54,community,1796,205,599,1,805,25.53,0.24
llama3_8b_ma_lacomsa_es1_ru1_de1_fr10_v2_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed44,17.49,22.67,1.48,community,1621,182,622,1,805,22.67,0.34
llama3_8b_ma_lacomsa_es3_ru5_de5_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,17.47,26.27,1.55,community,1821,211,593,1,805,26.27,0.26
llama3_8b_ms01_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42_0505,17.42,27.02,1.56,community,1854,217,587,1,805,27.02,0.30
