,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error
qwen2.5_7b_ma_lacomsa_top7_top30_high_lang_g0p0_all_pairs_medium_seed44,28.81987577639752,1.5924963887836463,community,1444,230,571,4,805,28.81987577639752,33.99443428782958,0.1833592510927337
qwen2.5_7b_ms01_ma_lacomsa_top30_high_lang_g0p0_all_pairs_easy_lc_seed43,38.50931677018634,1.711659547427013,community,1889,308,493,4,805,38.50931677018634,33.63082562604112,0.2392113351056529
qwen2.5_7b_ms01_ma_lacomsa_top30_high_lang_g0p0_all_pairs_easy_lc_seed42,38.19875776397515,1.7101591062040824,community,1870,306,496,3,805,38.19875776397515,33.096769409716494,0.2434511005291529
qwen2.5_7b_ma_lacomsa_top10_top30_high_lang_g0p0_all_pairs_medium_seed42,28.88198757763975,1.5947335517019008,community,1481,231,571,3,805,28.88198757763975,33.04039912625993,0.2707579019692979
qwen2.5_7b_ma_lacomsa_top7_top30_high_lang_g0p0_all_pairs_medium_seed42,28.19875776397516,1.5820367079089197,community,1456,225,576,4,805,28.19875776397516,32.95130577599815,0.2157915901039918
qwen2.5_7b_ma_lacomsa_top10_top30_high_lang_g0p0_all_pairs_medium_seed44,27.701863354037265,1.573399345315016,community,1435,221,580,4,805,27.701863354037265,32.623365072243885,0.1633862425930955
qwen2.5_7b_ma_lacomsa_top7_top30_high_lang_g0p0_all_pairs_medium_seed43,27.51552795031056,1.571327253118691,community,1478,220,582,3,805,27.51552795031056,31.647584319090267,0.2276456635887208
qwen2.5_7b_ma_lacomsa_top10_top30_high_lang_g0p0_all_pairs_medium_seed43,26.70807453416149,1.5553885821873346,community,1507,213,588,4,805,26.70807453416149,29.96734823063821,0.2303231155115196
icr_enesru_llama3_8b_w-reinforce,22.60869565217392,1.4725959690493426,community,1740,181,622,2,805,22.60869565217392,20.49816502552838,0.3298784925211379
icr_enesru_llama3_8b_dpo,24.96894409937888,1.5264851835334794,community,1861,201,604,0,805,24.96894409937888,20.17648750202008,0.190983833143017
llama3_8b_ma_lacomsa_top5_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,22.111801242236027,1.4635914603281843,community,1916,178,627,0,805,22.111801242236027,18.05264051510748,0.2620641077515791
icr_enesru_llama3_8b_dpo_250426,17.63975155279503,1.3442406725046976,community,1530,142,663,0,805,17.63975155279503,17.565912127273258,0.2165750746967603
llama3_8b_ma_lacomsa_es3_ru5_de5_fr3_top30_high_lang_filtered_g0p0_a1p0_all_pairs_easy_lc_seed43,21.614906832298136,1.4516616340686872,community,1859,174,631,0,805,21.614906832298136,17.44054578207991,0.3088468402553628
icr_enesru_llama3_8b_w-reinforce_150426,20.12422360248448,1.4112319538311968,community,1688,161,642,2,805,20.12422360248448,17.43385497214217,0.2762659926013457
llama3_8b_ma_lacomsa_top5_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed45,21.614906832298136,1.4516616340686872,community,1884,174,631,0,805,21.614906832298136,16.982166161061265,0.2899284484457193
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed45,21.67701863354037,1.4518401158380192,community,1832,174,630,1,805,21.67701863354037,16.980836828213356,0.1880725076335631
