                                        , win_rate           , standard_error    , mode     , avg_length, n_wins, n_wins_base, n_draws, n_total, discrete_win_rate  , length_controlled_winrate, lc_standard_error
icr_enesru_llama3_8b_dpo                , 28.012422360248447 , 1.5824915958976835, community,       1965,    225,         579,       1,     805, 28.012422360248447 ,       22.72000897029955  , 0.2606542580370192
icr_enesru_llama3_8b_w-reinforce        , 23.60248447204969  , 1.4949999558342888, community,       1741,    189,         614,       2,     805, 23.60248447204969  ,       20.60413347248593  , 0.2970703449051714
icr_enesru_llama3_8b_w-reinforce_150426 , 21.5527950310559   , 1.446147635673778 , community,       1710,    172,         630,       3,     805, 21.5527950310559   ,       19.601844332260885 , 0.2499829497403375
lacomsa_enesru_llama3_8b_dpo            , 19.751552795031056 , 1.3985640652386344, community,       1743,    157,         644,       4,     805, 19.751552795031056 ,       16.212845342146938 , 0.2752277967251296
icr_enesru_llama3_8b_ppo_150426         , 16.459627329192546 , 1.306288755306555 , community,       1752,    132,         672,       1,     805, 16.459627329192546 ,       14.926188700245104 , 0.2754900425109898
mapo_enesru_llama3_8b_ppo               , 11.428571428571429 , 1.1082010979332944, community,       1274,     88,         709,       8,     805, 11.428571428571429 ,       14.74620060479657  , 0.2745448778229137
mapo_enesru_llama3_8b_w-reinforce_200426, 17.32919254658385  , 1.3305170366329355, community,       1642,    138,         664,       3,     805, 17.32919254658385  ,       14.391267341618375 , 0.2734496257745083
mapo_enesru_llama3_8b_dpo_200426        , 17.32919254658385  , 1.3305170366329355, community,       1642,    138,         664,       3,     805, 17.32919254658385  ,       14.391267341618375 , 0.2734496257745083
mapo_enesru_llama3_8b_w-reinforce       , 17.32919254658385  , 1.3305170366329355, community,       1642,    138,         664,       3,     805, 17.32919254658385  ,       14.391267341618375 , 0.2734496257745083
mapo_enesru_llama3_8b_dpo               , 17.32919254658385  , 1.3305170366329355, community,       1642,    138,         664,       3,     805, 17.32919254658385  ,       14.391267341618375 , 0.2734496257745083
icr_enesru_llama3_8b_ppo                , 16.52173913043478  , 1.3097444061303425, community,       1777,    133,         672,       0,     805, 16.52173913043478  ,       13.947342332008258 , 0.2409809532416585
mapo_enesru_llama3_8b_sft               ,  9.006211180124224 , 0.9999883879181946, community,       1098,     70,         730,       5,     805,  9.006211180124224 ,       12.508321831227455 , 0.2661269291202375
icr_enesru_llama3_8b_sft_150426         , 14.285714285714285 , 1.2340977508305149, community,       2381,    115,         690,       0,     805, 14.285714285714285 ,       11.97007664239555  , 0.2209502190660444
icr_enesru_llama3_8b_sft                , 14.22360248447205  , 1.230289266813231 , community,       2423,    114,         690,       1,     805, 14.22360248447205  ,       11.803006621751438 , 0.2506515170152449
mapo_enesru_llama3_8b_npo               ,  1.8633540372670807, 0.4769087277979783, community,       4702,     15,         790,       0,     805,  1.8633540372670807,        0.5622910155075688, 0.0257010629183649
icr_enesru_llama3_8b_npo                ,  0.124223602484472 , 0.124223602484472 , community,          1,      1,         804,       0,     805,  0.124223602484472 ,        0.4159022329670198, 0.0215093300638096
