,length_controlled_winrate,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,lc_standard_error
llama3_8b_icr_seed43,19.72,21.99,1.46,community,1695,177,628,0,805,21.99,0.25
icr_enesru_llama3_8b_dpo_150426,19.30,21.55,1.45,community,1690,173,631,1,805,21.55,0.29
llama3_8b_ms01_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,18.63,23.66,1.50,community,1904,190,614,1,805,23.66,0.29
llama3_8b_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,18.44,22.86,1.48,community,1976,184,621,0,805,22.86,0.24
llama3_8b_min_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,18.21,22.86,1.48,community,1833,184,621,0,805,22.86,0.22
icr_enesru_llama3_8b_w-reinforce,18.08,26.77,1.56,community,2258,215,589,1,805,26.77,0.24
llama3_8b_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,17.92,23.29,1.49,community,1960,187,617,1,805,23.29,0.26
llama3_8b_ma_lacomsa_top5_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,17.81,22.11,1.46,community,1884,178,627,0,805,22.11,0.26
llama3_8b_ms01_ma_lacomsa_top10_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42_0505,17.60,21.74,1.45,community,1935,175,630,0,805,21.74,0.30
llama3_8b_min_ms01_ma_lacomsa_top10_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,17.55,22.24,1.46,community,1834,178,625,2,805,22.24,0.26
llama3_8b_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,17.52,23.85,1.50,community,1895,192,613,0,805,23.85,0.25
llama3_8b_min_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,17.51,21.93,1.46,community,1841,176,628,1,805,21.93,0.25
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed44,17.47,18.45,1.37,community,1612,148,656,1,805,18.45,0.30
lacomsa_enesru_llama3_8b_w-reinforce_negative,17.40,19.94,1.41,community,1722,160,644,1,805,19.94,0.24
llama3_8b_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,17.31,22.24,1.47,community,1928,179,626,0,805,22.24,0.23
llama3_8b_ma_lacomsa_es3_ru5_de5_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,17.29,22.48,1.47,community,1943,181,624,0,805,22.48,0.19
llama3_8b_ma_lacomsa_all_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,17.27,22.24,1.47,community,1892,179,626,0,805,22.24,0.29
llama3_8b_ma_lacomsa_top5_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,17.25,21.49,1.45,community,1942,173,632,0,805,21.49,0.20
llama3_8b_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,17.24,21.99,1.46,community,1938,177,628,0,805,21.99,0.26
llama3_8b_ma_lacomsa_top10_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,17.23,21.24,1.44,community,1907,170,633,2,805,21.24,0.23
llama3_8b_ms01_ma_lacomsa_1_15_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,17.19,21.74,1.45,community,1857,175,630,0,805,21.74,0.29
llama3_8b_ma_lacomsa_top30_bottom3_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,17.12,21.12,1.44,community,1880,170,635,0,805,21.12,0.23
llama3_8b_ma_lacomsa_top7_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,17.06,18.57,1.37,community,1663,149,655,1,805,18.57,0.29
llama3_8b_ma_lacomsa_es5_ru5_de1_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,17.03,19.94,1.41,community,1737,160,644,1,805,19.94,0.21
llama3_8b_minv2_ms01_ma_lacomsa_top10_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,16.98,20.12,1.41,community,1821,161,642,2,805,20.12,0.20
llama3_8b_ms01_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed45,16.96,22.36,1.47,community,1981,180,625,0,805,22.36,0.24
llama3_8b_ma_lacomsa_top7_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,16.93,21.43,1.45,community,1841,172,632,1,805,21.43,0.22
llama3_8b_ms01_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,16.92,21.37,1.45,community,1831,172,633,0,805,21.37,0.23
