,length_controlled_winrate,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,lc_standard_error
icr_enesru_llama3_8b_dpo_150426,21.72,21.93,1.46,community,1634,176,628,1,805,21.93,0.28
llama3_8b_ms01_ma_lacomsa_1_15_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,20.19,23.73,1.50,community,1793,190,613,2,805,23.73,0.29
llama3_8b_min_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,20.06,23.11,1.48,community,1830,185,618,2,805,23.11,0.34
llama3_8b_minv2_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,20.00,22.98,1.48,community,1772,184,619,2,805,22.98,0.26
llama3_8b_icr_seed43,19.65,20.75,1.43,community,1632,166,637,2,805,20.75,0.33
llama3_8b_ma_lacomsa_es5_ru5_de1_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,19.55,19.63,1.40,community,2157,157,646,2,805,19.63,0.29
llama3_8b_ms01_ma_lacomsa_15_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,19.35,24.22,1.51,community,1841,194,609,2,805,24.22,0.29
icr_enesru_llama3_8b_w-reinforce,19.15,26.52,1.55,community,2142,212,590,3,805,26.52,0.28
llama3_8b_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,19.10,23.79,1.50,community,1850,190,612,3,805,23.79,0.35
llama3_8b_ma_lacomsa_es5_ru5_de1_fr10_v2_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,19.06,19.38,1.39,community,1632,155,648,2,805,19.38,0.25
llama3_8b_ms01_ma_lacomsa_15_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,18.94,23.79,1.50,community,1860,190,612,3,805,23.79,0.27
llama3_8b_ms01_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42_0505,18.92,23.98,1.50,community,1835,192,611,2,805,23.98,0.28
llama3_8b_ma_lacomsa_top7_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,18.75,22.73,1.48,community,1772,182,621,2,805,22.73,0.30
llama3_8b_ma_lacomsa_es3_ru5_de5_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,18.73,23.35,1.49,community,1865,187,616,2,805,23.35,0.31
llama3_8b_ms01_ma_lacomsa_top10_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,18.64,22.42,1.47,community,1849,180,624,1,805,22.42,0.29
llama3_8b_ma_lacomsa_top7_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,18.64,18.88,1.38,community,1594,151,652,2,805,18.88,0.37
lacomsa_enesru_llama3_8b_w-reinforce,18.55,19.88,1.40,community,1663,159,644,2,805,19.88,0.28
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed44,18.42,19.25,1.39,community,1595,154,649,2,805,19.25,0.25
