,length_controlled_winrate,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,lc_standard_error
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,22.40,22.86,1.48,community,2282,183,620,2,805,22.86,0.31
llama3_8b_icr_seed43,21.47,24.16,1.51,community,1714,193,609,3,805,24.16,0.24
icr_enesru_llama3_8b_dpo_150426,20.80,22.86,1.48,community,1720,183,620,2,805,22.86,0.34
llama3_8b_min_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,20.69,25.96,1.54,community,1846,208,595,2,805,25.96,0.31
llama3_8b_ms01_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42_0505,20.66,25.96,1.54,community,1946,208,595,2,805,25.96,0.28
icr_enesru_llama3_8b_w-reinforce,20.64,29.69,1.61,community,2201,239,566,0,805,29.69,0.23
llama3_8b_ma_lacomsa_es3_ru5_de5_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,20.50,26.09,1.55,community,1915,209,594,2,805,26.09,0.35
llama3_8b_ms01_ma_lacomsa_15_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,20.16,25.22,1.53,community,1947,202,601,2,805,25.22,0.25
llama3_8b_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,19.90,26.02,1.54,community,1961,208,594,3,805,26.02,0.28
llama3_8b_ms01_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,19.87,26.34,1.55,community,1974,211,592,2,805,26.34,0.27
llama3_8b_ma_lacomsa_top7_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,19.82,23.73,1.50,community,1872,190,613,2,805,23.73,0.28
llama3_8b_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,19.67,25.59,1.54,community,1952,205,598,2,805,25.59,0.29
llama3_8b_ma_lacomsa_es5_ru5_de1_fr10_v2_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed43,19.53,21.99,1.46,community,1708,176,627,2,805,21.99,0.30
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,19.44,24.35,1.51,community,1892,195,608,2,805,24.35,0.29
llama3_8b_ma_lacomsa_top7_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,19.40,24.41,1.51,community,1848,195,607,3,805,24.41,0.33
llama3_8b_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,19.11,23.85,1.50,community,1921,191,612,2,805,23.85,0.30
llama3_8b_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,19.10,25.47,1.53,community,1963,204,599,2,805,25.47,0.28
llama3_8b_min_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,19.09,23.85,1.50,community,1856,191,612,2,805,23.85,0.24
llama3_8b_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,18.94,24.66,1.52,community,1935,197,605,3,805,24.66,0.28
llama3_8b_min_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,18.91,22.98,1.48,community,1848,184,619,2,805,22.98,0.32
llama3_8b_ms01_ma_lacomsa_top10_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,18.90,23.11,1.48,community,1921,185,618,2,805,23.11,0.29
llama3_8b_ms01_ma_lacomsa_1_15_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,18.73,24.22,1.51,community,1835,194,609,2,805,24.22,0.29
llama3_8b_ms01_ma_lacomsa_15_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,18.69,24.47,1.51,community,1940,196,607,2,805,24.47,0.29
llama3_8b_minv2_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,18.64,22.61,1.47,community,1806,181,622,2,805,22.61,0.30
llama3_8b_ma_lacomsa_es3_ru5_de5_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,18.62,23.98,1.50,community,1920,192,611,2,805,23.98,0.29
llama3_8b_ms01_ma_lacomsa_top5_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42_0505,18.61,23.79,1.50,community,1860,190,612,3,805,23.79,0.26
llama3_8b_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,18.60,24.16,1.51,community,1932,193,609,3,805,24.16,0.24
