                                       , win_rate          , standard_error    , mode     , avg_length, n_wins, n_wins_base, n_draws, n_total, discrete_win_rate , length_controlled_winrate, lc_standard_error
icr_enesru_llama3_8b_w-reinforce       , 22.60869565217392 , 1.4725959690493426, community,       1740,    181,         622,       2,     805, 22.60869565217392 ,       20.49816502552838  , 0.3298784925211379
icr_enesru_llama3_8b_dpo               , 24.96894409937888 , 1.5264851835334794, community,       1861,    201,         604,       0,     805, 24.96894409937888 ,       20.17648750202008  , 0.190983833143017
icr_enesru_llama3_8b_w-reinforce_150426, 20.12422360248448 , 1.4112319538311968, community,       1688,    161,         642,       2,     805, 20.12422360248448 ,       17.43385497214217  , 0.2762659926013457
mapo_enesru_llama3_8b_dpo              , 17.82608695652174 , 1.3483607743743429, community,       1717,    143,         661,       1,     805, 17.82608695652174 ,       16.908856772147747 , 0.2572860083267967
icr_enesru_llama3_8b_ppo_150426        , 15.962732919254655, 1.2902036456615986, community,       1696,    128,         676,       1,     805, 15.962732919254655,       14.32158512694539  , 0.2438663810826748
icr_enesru_llama3_8b_ppo               , 15.527950310559005, 1.2772783712147573, community,       1772,    125,         680,       0,     805, 15.527950310559005,       13.42985494122103  , 0.2030776908369259
icr_enesru_llama3_8b_sft               , 15.403726708074531, 1.2730940658042815, community,       2126,    124,         681,       0,     805, 15.403726708074531,       12.947406651569116 , 0.2238413248378767
icr_enesru_llama3_8b_sft_150426        , 13.91304347826087 , 1.220539176691369 , community,       1992,    112,         693,       0,     805, 13.91304347826087 ,       11.655551184221167 , 0.1912004808975278
mapo_enesru_llama3_8b_sft              ,  7.329192546583851, 0.9149062774155093, community,        992,     58,         745,       2,     805,  7.329192546583851,       10.62279979484825  , 0.23568319961035142
mapo_enesru_llama3_8b_npo              ,  2.484472049689441, 0.5489413189456964, community,       4591,     20,         785,       0,     805,  2.484472049689441,        0.6499020230382654, 0.0352322726090074
icr_enesru_llama3_8b_npo               ,  0.0              , 0.0               , community,          0,      0,         805,       0,     805,  0.0              ,        0.0019797369149455, 0.0001452265485917
