                                       , win_rate           , standard_error    , mode     , avg_length, n_wins, n_wins_base, n_draws, n_total, discrete_win_rate  , length_controlled_winrate, lc_standard_error
icr_enesru_llama3_8b_w-reinforce_150426, 20.99378881987578  , 1.4336175812315448, community,       1583,    168,         635,       2,     805, 20.99378881987578  ,       20.52720670663685  , 0.3094204098984788
icr_enesru_llama3_8b_w-reinforce       , 20.93167701863354  , 1.433400008134319 , community,       1631,    168,         636,       1,     805, 20.93167701863354  ,       19.567244674919447 , 0.2997116367350857
icr_enesru_llama3_8b_dpo               , 22.67080745341615  , 1.4753402696684974, community,       1808,    182,         622,       1,     805, 22.67080745341615  ,       18.36602681735726  , 0.2793669330362945
mapo_enesru_llama3_8b_dpo              , 17.080745341614907 , 1.325795116107079 , community,       1575,    137,         667,       1,     805, 17.080745341614907 ,       16.7485481489329   , 0.1932631921786119
mapo_enesru_llama3_8b_ppo              , 10.434782608695652 , 1.0637332481577493, community,       1176,     80,         717,       8,     805, 10.434782608695652 ,       14.624932120138576 , 0.266472237473695
icr_enesru_llama3_8b_ppo_150426        , 15.093167701863356 , 1.2609754322964777, community,       1609,    121,         683,       1,     805, 15.093167701863356 ,       14.480052400425784 , 0.1909945732013352
icr_enesru_llama3_8b_ppo               , 15.217391304347828 , 1.2652377425224364, community,       1724,    122,         682,       1,     805, 15.217391304347828 ,       14.093920962127074 , 0.1965656992148413
mapo_enesru_llama3_8b_sft              ,  8.944099378881988 , 0.9948746038488202, community,       1031,     69,         730,       6,     805,  8.944099378881988 ,       13.43467135957958  , 0.3040579871334245
icr_enesru_llama3_8b_sft               , 14.720496894409935 , 1.2480088970695928, community,       1994,    118,         686,       1,     805, 14.720496894409935 ,       12.53649152141856  , 0.2572136507205932
icr_enesru_llama3_8b_sft_150426        , 13.354037267080743 , 1.198033123423608 , community,       2077,    107,         697,       1,     805, 13.354037267080743 ,       11.462432389376415 , 0.176654386393427
mapo_enesru_llama3_8b_npo              ,  1.3664596273291925, 0.4094328543408305, community,       4646,     11,         794,       0,     805,  1.3664596273291925,        0.3420504499060994, 0.0191721326623147
icr_enesru_llama3_8b_npo               ,  0.0               , 0.0               , community,          0,      0,         805,       0,     805,  0.0               ,        0.0019248421371907, 0.0001412094841196
