instruction_id                                                  , de, en, es, fr, ru
00bcca1f67c875cca92391c55d2b54e9ff723cbd55d93206bcdf27d1398f857b,  8, 10,  9, 10,  9
012188030fd7842541d58762523ef67a57740c8d5950e0a31dfaadc9af38613a, 10, 10, 10,  8, 10
018a4a0e5c6b355e7f2dc8fd5117ffe66eaeb397007b65880eb3a7631b38d22e,  6, 10,  0, 10,  3
01a80444b80d78275cb87e5f9e7d7cb413ab552873181c1d11816c671402c935,  8,  7,  9,  5,  8
01d4dba8a472bf333b592cf8daafb53dadc71fc7e2d1c8fe1c7bddf235bdc652,  6, 10,  5,  7,  6
0226f793042dc7d59d787947efb3eaf0595401ec8c066f64fae3927a9faf2679, 10, 10, 10, 10,  9
029924a392723cdeaad08d6e3a82444e5c30a5493fab2d35594f986f0848538c, 10, 10,  9,  9,  9
02d97fc3e3b461849882e0f4fb35a4d19343a677705c3b6743369736e66cae76,  0, 10,  0,  1,  0
03d0f6ba2846e6a12c45fdb8cbfe469b98e15f272d4f0e86be8e9f461caa13dd, 10, 10,  3, 10, 10
045d4d4f6612b0cfec932a1341a3a9f53d7d908a4e2a2ea199bba7686cce7946,  7, 10,  7,  9,  9
04626044718b56240af7915b260bf64702cea23ac0c45ac0448a4b2e322fb46e, 10, 10, 10, 10, 10
0474ab94842b974682438d557e4853cafd01db2978a3606b6b1d314246f92e04,  1,  0,  0,  0,  0
04b0e73a26cd85a0873c85237bc8b3cd27c7f1b8755463fde048d3120746a94c,  1,  9,  0,  0,  1
04e5dcf8f1609c638d1d7eb96e936c07a74bb5739da77b3a528b7b3af940852d,  0, 10,  0,  0,  0
0626253266a2fdf990bc97222a6ba132e1ee7f44074f00d6a5b8721320c6b8bf, 10, 10,  9, 10,  3
065120684a03fd3d84e05bcbb47b6dbbdec7d3e68931267db58469ff92047300,  3, 10,  8,  7,  9
06a35a2094361360a5a37d5598b7f467f46a39c23b4ab570b912aff9a5de3e4f, 10, 10, 10,  3,  6
06aa97a0052a2384d7831d3a6b5f1cb9704a0c243f85ab49b7058158725ef45f, 10, 10, 10, 10, 10
06f5f9a022a1ba7beb80f567e3f2fff422a227c57ff382838229521f3abd084d, 10, 10,  9,  9,  4
