language, method , model                     , length_controlled_winrate, win_rate, standard_error, mode     , avg_length, n_wins, n_wins_base, n_draws, n_total, discrete_win_rate, lc_standard_error
de      , icr    , icr_w-reinforce_random    ,                     11.21,    16.65,           1.31, community,       2155,    134,         671,       0,     805,             16.65,              0.18
de      , lacomsa, lacomsa_w-reinforce_random,                     14.79,    17.58,           1.34, community,       1745,    141,         663,       1,     805,             17.58,              0.25
de      , mapo   , mapo_w-reinforce_random   ,                      2.63,     5.22,           0.78, community,       1958,     42,         763,       0,     805,              5.22,              0.10
en      , icr    , icr_w-reinforce_random    ,                     28.09,    28.76,           1.59, community,       2408,    230,         572,       3,     805,             28.76,              0.30
en      , lacomsa, lacomsa_w-reinforce_random,                     21.79,    21.06,           1.43, community,       1614,    168,         634,       3,     805,             21.06,              0.28
en      , mapo   , mapo_w-reinforce_random   ,                     22.44,    26.65,           1.56, community,       1980,    214,         590,       1,     805,             26.65,              0.32
es      , icr    , icr_w-reinforce_random    ,                     11.98,    16.83,           1.32, community,       2102,    134,         668,       3,     805,             16.83,              0.15
es      , lacomsa, lacomsa_w-reinforce_random,                     15.76,    17.02,           1.32, community,       1718,    136,         667,       2,     805,             17.02,              0.26
es      , mapo   , mapo_w-reinforce_random   ,                      2.78,     4.97,           0.77, community,       1932,     40,         765,       0,     805,              4.97,              0.10
fr      , icr    , icr_w-reinforce_random    ,                     16.02,    22.48,           1.47, community,       2202,    181,         624,       0,     805,             22.48,              0.22
fr      , lacomsa, lacomsa_w-reinforce_random,                     17.68,    19.81,           1.40, community,       1777,    158,         644,       3,     805,             19.81,              0.26
fr      , mapo   , mapo_w-reinforce_random   ,                      3.50,     5.47,           0.80, community,       1987,     44,         761,       0,     805,              5.47,              0.13
ru      , icr    , icr_w-reinforce_random    ,                     12.92,    20.12,           1.41, community,       2042,    162,         643,       0,     805,             20.12,              0.23
ru      , lacomsa, lacomsa_w-reinforce_random,                     15.26,    20.31,           1.42, community,       1633,    163,         641,       1,     805,             20.31,              0.26
ru      , mapo   , mapo_w-reinforce_random   ,                      3.41,     5.96,           0.84, community,       1938,     48,         757,       0,     805,              5.96,              0.09
