source,model,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error
de,icr_enesru_llama3_8b_w-reinforce,22.60869565,1.472595969,community,1740,181,622,2,805,22.6087,20.49817,0.329878
de,icr_enesru_llama3_8b_dpo,24.9689441,1.526485184,community,1861,201,604,0,805,24.96894,20.17649,0.190984
de,icr_enesru_llama3_8b_w-reinforce_150426,20.1242236,1.411231954,community,1688,161,642,2,805,20.12422,17.43385,0.276266
de,icr_enesru_llama3_8b_ppo_150426,15.96273292,1.290203646,community,1696,128,676,1,805,15.96273,14.32159,0.243866
de,icr_enesru_llama3_8b_ppo,15.52795031,1.277278371,community,1772,125,680,0,805,15.52795,13.42985,0.203078
de,icr_enesru_llama3_8b_sft,15.40372671,1.273094066,community,2126,124,681,0,805,15.40373,12.94741,0.223841
de,icr_enesru_llama3_8b_sft_150426,13.91304348,1.220539177,community,1992,112,693,0,805,13.91304,11.65555,0.1912
de,icr_enesru_llama3_8b_w-reinforce_0.1_1.0,28.19876,1.584476,community,2091,226,577,2,805,28.19876,21.64921,0.266315
de,icr_enesru_llama3_8b_w-reinforce_10.0_1.0,15.59006,1.277849,community,1686,125,679,1,805,15.59006,14.67093,0.25198
de,icr_enesru_llama3_8b_npo,0,0,community,0,0,805,0,805,0,0.00198,0.000145
de,icr_enesru_llama3_8b_w-reinforce_clone_150426,21.55,1.45,community,1690,173,631,1,805,21.55,19.3,0.29
de,icr_enesru_llama3_8b_dpo_250426,17.63975155,1.344240673,community,1530,142,663,0,805,17.63975155,17.56591213,0.2165750747
de,icr_enesru_llama3_8b_npo_checkpoint-1,15.03106,1.257298,community,1688,120,683,2,805,15.03106,12.46403,0.156989
de,icr_enesru_llama3_8b_npo_checkpoint-2,14.53416,1.239866,community,1709,116,687,2,805,14.53416,12.67829,0.157158
de,icr_enesru_llama3_8b_npo_checkpoint-3,14.78261,1.248643,community,1731,118,685,2,805,14.78261,12.01791,0.159687
de,icr_enesru_llama3_8b_npo_checkpoint-4,15.03106,1.257298,community,1727,120,683,2,805,15.03106,12.221,0.193399
de,icr_enesru_llama3_8b_npo_checkpoint-5,18.38509,1.363292,community,1721,147,656,2,805,18.38509,15.26157,0.176027
de,icr_enesru_llama3_8b_npo_checkpoint-10,16.21118,1.298301,community,1748,130,674,1,805,16.21118,14.03344,0.226105
de,icr_enesru_llama3_8b_npo_checkpoint-20,6.832298,0.885439,community,4166,54,749,2,805,6.832298,4.29036,0.133005
de,icr_enesru_llama3_8b_npo_checkpoint-30,0,0,community,8647,0,805,0,805,0,0.000124,0.00000907
de,icr_enesru_llama3_8b_npo_150426,0,0,community,8166,0,805,0,805,0,0,0
de,icr_enesru_llama3_8b_dpo,27.51552795,1.573783557,community,1861,221,583,1,805,27.51553,24.89327,0.256364
de,icr_enesru_llama3_8b_w-reinforce,24.09937888,1.50577109,community,1712,193,610,2,805,24.09938,23.47128,0.326177
de,icr_enesru_llama3_8b_ppo,20.1863354,1.41423107,community,1726,162,642,1,805,20.18634,20.27976,0.421393
de,icr_enesru_llama3_8b_sft,18.13664596,1.358924193,community,1915,146,659,0,805,18.13665,16.73089,0.275543
