source,model,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error
de,lacomsa_enesru_llama3_8b_w-reinforce,17.26708075,1.33297072,community,1743,139,666,0,805,7.267080745,15.03706815,0.1638715723
de,lacomsa_enesru_llama3_8b_dpo,17.08074534,1.325795116,community,1706,137,667,1,805,17.08074534,14.70096301,0.2069709201
de,lacomsa_enesru_llama3_8b_ppo,15.77639752,1.285561337,community,2047,127,678,0,805,15.77639752,13.57199603,0.2236279986
de,lacomsa_enesru_llama3_8b_sft,17.95031056,1.352035418,community,2103,144,660,1,805,17.95031056,15.55390394,0.2027425946
de,lacomsa_enesru_llama3_8b_npo,0.248447205,0.1755694165,community,5241,2,803,0,805,0.248447205,0.1126136347,0.006777863378
de,lacomsa_enesru_llama3_8b_dpo_250426,16.3354,1.302308,community,1694,131,673,1,805,16.3354,14.16905,0.223674
de,lacomsa_enesru_llama3_8b_npo_checkpoint-4,16.14907,1.294796,community,1799,129,674,2,805,16.14907,14.15404,0.19098
de,lacomsa_enesru_llama3_8b_npo_checkpoint-1,16.02484,1.290743,community,1746,128,675,2,805,16.02484,13.8002,0.19591
de,lacomsa_enesru_llama3_8b_npo_checkpoint-3,15.40373,1.270056,community,1703,123,680,2,805,15.40373,13.25817,0.162808
de,lacomsa_enesru_llama3_8b_npo_checkpoint-2,15.03106,1.257298,community,1731,120,683,2,805,15.03106,12.45431,0.187201
de,lacomsa_enesru_llama3_8b_npo_checkpoint-5,15.15528,1.26158,community,1717,121,682,2,805,15.15528,12.09426,0.182066
en,lacomsa_enesru_llama3_8b_w-reinforce,20.37267081,1.417731609,community,1657,163,640,2,805,20.37267081,20.1103928,0.3644150063
en,lacomsa_enesru_llama3_8b_dpo,20.49689441,1.420950027,community,1655,164,639,2,805,20.49689441,20.14236541,0.3780688506
en,lacomsa_enesru_llama3_8b_ppo,20,1.407950426,community,1907,160,643,2,805,20,19.36581624,0.3675468233
en,lacomsa_enesru_llama3_8b_sft,18.19875776,1.359312547,community,1875,146,658,1,805,18.19875776,18.0594438,0.3794767007
en,lacomsa_enesru_llama3_8b_npo,0.248447205,0.1755694165,community,4796,2,803,0,805,0.248447205,0.1276444537,0.009339116242
en,lacomsa_enesru_llama3_8b_dpo_250426,21.18012,1.436941,community,1630,169,633,3,805,21.18012,21.27557,0.375756
en,lacomsa_enesru_llama3_8b_npo_checkpoint-1,20.80745,1.427553,community,1640,166,636,3,805,20.80745,20.45093,0.302945
en,lacomsa_enesru_llama3_8b_npo_checkpoint-5,19.93789,1.404928,community,1644,159,643,3,805,19.93789,19.94951,0.262239
en,lacomsa_enesru_llama3_8b_npo_checkpoint-3,19.44099,1.39153,community,1678,155,647,3,805,19.44099,19.32918,0.311249
en,lacomsa_enesru_llama3_8b_npo_checkpoint-2,19.75155,1.398564,community,1666,157,644,4,805,19.75155,19.2467,0.302992
