source, model               , win_rate          , length_controlled_winrate, avg_length
de    , w-reinforce_random  , 16.65             ,   11.21                  ,       2155
de    , w-reinforce_negative, 17.39             ,   16.90                  ,       1634
de    , dpo                 , 17.63975155279503 ,   17.565912127273258     ,       1530
de    , ppo                 , 15.962732919254657,   14.32158512694539      ,       1696
de    , sft                 , 13.91304347826087 ,   11.655551184221167     ,       1992
de    , npo_checkpoint-1    , 15.031055900621118,   12.464027078376645     ,       1688
de    , npo_checkpoint-2    , 14.534161490683232,   12.678291175390802     ,       1709
de    , npo_checkpoint-3    , 14.782608695652174,   12.01790748401665      ,       1731
de    , npo_checkpoint-4    , 15.031055900621118,   12.2210046615454       ,       1727
de    , npo_checkpoint-5    , 18.385093167701864,   15.261566904166493     ,       1721
de    , npo_checkpoint-10   , 16.211180124223603,   14.033439532871924     ,       1748
de    , npo_checkpoint-20   ,  6.832298136645963,    4.290360442314072     ,       4166
de    , npo_checkpoint-30   ,  0.0              ,    0.00012357915853857343,       8647
de    , npo                 ,  0.00             ,    0.00                  ,       8166
de    , w-reinforce_0.1_1.0 , 28.19875776397516 ,   21.649208381439163     ,       2091
de    , w-reinforce_10.0_1.0, 15.590062111801242,   14.670932894806063     ,       1686
de    , w-reinforce         , 20.124223602484474,   17.43385497214217      ,       1688
en    , w-reinforce_random  , 28.76             ,   28.09                  ,       2408
en    , w-reinforce_negative, 16.71             ,   17.26                  ,       1861
en    , dpo                 , 17.267080745341616,   18.874161666775063     ,       1541
en    , ppo                 , 19.875776397515526,   20.153516852322998     ,       1907
en    , sft                 , 16.956521739130434,   17.09559653829075      ,       1784
en    , npo_checkpoint-1    , 21.180124223602483,   21.518582673361188     ,       1646
en    , npo_checkpoint-2    , 20.31055900621118 ,   20.208405468997015     ,       1695
en    , npo_checkpoint-3    , 21.490683229813666,   22.289193921867486     ,       1639
en    , npo_checkpoint-4    , 22.981366459627328,   23.605104940496066     ,       1631
en    , npo_checkpoint-5    , 19.751552795031056,   20.214504709893998     ,       1629
en    , npo_checkpoint-10   , 21.925465838509318,   21.43445967706925      ,       1662
en    , npo_checkpoint-20   , 12.422360248447205,    7.8448612940573526    ,       2780
en    , npo_checkpoint-30   ,  0.0              ,    0.00019837565586083603,       3790
en    , npo                 ,  0.00             ,    0.00                  ,       3108
en    , w-reinforce_0.1_1.0 , 26.521739130434785,   22.774265147521806     ,       1912
en    , w-reinforce_10.0_1.0, 17.577639751552795,   18.54701554938352      ,       1577
en    , w-reinforce         , 21.73913043478261 ,   21.964236457471994     ,       1673
es    , w-reinforce_random  , 16.83             ,   11.98                  ,       2102
es    , w-reinforce_negative, 17.33             ,   18.10                  ,       1571
es    , dpo                 , 18.074534161490682,   19.1987182334263       ,       1476
es    , ppo                 , 15.093167701863356,   14.480052400425784     ,       1609
es    , sft                 , 13.354037267080745,   11.462432389376417     ,       2077
es    , npo_checkpoint-1    , 15.093167701863356,   13.734583288201824     ,       1663
es    , npo_checkpoint-2    , 15.962732919254657,   13.885818426131191     ,       1645
