source, model               , win_rate          , length_controlled_winrate, avg_length
de    , w-reinforce_random  , 16.65             ,        11.21             ,       2155
de    , w-reinforce_negative, 17.39             ,        16.90             ,       1634
de    , dpo                 , 17.63975155279503 ,        17.565912127273258,       1530
de    , w-reinforce_0.1_1.0 , 28.19875776397516 ,        21.649208381439163,       2091
de    , w-reinforce_10.0_1.0, 15.590062111801242,        14.670932894806063,       1686
de    , w-reinforce         , 20.124223602484474,        17.43385497214217 ,       1688
en    , w-reinforce_random  , 28.76             ,        28.09             ,       2408
en    , w-reinforce_negative, 16.71             ,        17.26             ,       1861
en    , dpo                 , 17.267080745341616,        18.874161666775063,       1541
en    , w-reinforce_0.1_1.0 , 26.521739130434785,        22.774265147521806,       1912
en    , w-reinforce_10.0_1.0, 17.577639751552795,        18.54701554938352 ,       1577
en    , w-reinforce         , 21.73913043478261 ,        21.964236457471994,       1673
es    , w-reinforce_random  , 16.83             ,        11.98             ,       2102
es    , w-reinforce_negative, 17.33             ,        18.10             ,       1571
es    , dpo                 , 18.074534161490682,        19.1987182334263  ,       1476
es    , w-reinforce_0.1_1.0 , 26.335403726708073,        21.0901785657023  ,       1950
es    , w-reinforce_10.0_1.0, 15.714285714285714,        15.143248494719064,       1569
es    , w-reinforce         , 20.99378881987578 ,   20.52720670663685      ,       1583
fr    , w-reinforce_random  , 22.48             ,        16.02             ,       2202
fr    , w-reinforce_negative, 18.88             ,        18.56             ,       1647
fr    , dpo                 , 17.63975155279503 ,        17.566235897712936,       1538
fr    , w-reinforce_0.1_1.0 , 29.627329192546586,        22.389569211542522,       2063
fr    , w-reinforce_10.0_1.0, 15.15527950310559 ,        14.103282451670331,       1644
fr    , w-reinforce         , 21.5527950310559  ,        19.601844332260885,       1710
ru    , w-reinforce_random  , 20.12             ,        12.92             ,       2042
ru    , w-reinforce_negative, 17.83             ,        15.10             ,       1475
ru    , dpo                 , 20.99378881987578 ,        18.06890517550376 ,       1449
ru    , w-reinforce_0.1_1.0 , 30.248447204968944,        22.165304091703355,       1971
ru    , w-reinforce_10.0_1.0, 19.25465838509317 ,        14.090912205530953,       1552
ru    , w-reinforce         , 25.279503105590063,        22.321760278192624,       1683
