source, model               , win_rate          , length_controlled_winrate, avg_length
de    , w-reinforce         , 17.267080745341616,        15.037068147420213,       1743
de    , w-reinforce_random  , 17.58             ,        14.79             ,       1745
de    , w-reinforce_negative, 19.94             ,        17.40             ,       1722
de    , w-reinforce_positive, 16.65             ,        14.21             ,       1730
de    , dpo                 , 16.335403726708076,        14.169051126755821,       1694
de    , w-reinforce_0.1_1.0 , 17.20496894409938 ,        15.858074368206058,       1606
de    , w-reinforce_10.0_1.0, 16.211180124223603,        12.631681725246628,       1827
en    , w-reinforce         , 20.372670807453417,        20.110392804862272,       1657
en    , w-reinforce_random  , 21.06             ,        21.79             ,       1614
en    , w-reinforce_negative, 18.82             ,        19.63             ,       1635
en    , w-reinforce_positive, 18.82             ,        19.12             ,       1653
en    , dpo                 , 21.180124223602483,        21.275567915673196,       1630
en    , w-reinforce_0.1_1.0 , 19.937888198757765,        22.18858538563991 ,       1557
en    , w-reinforce_10.0_1.0, 22.111801242236027,        21.194656582228635,       1722
es    , w-reinforce         , 16.645962732919255,        14.571800804848923,       1688
es    , w-reinforce_random  , 17.02             ,        15.76             ,       1718
es    , w-reinforce_negative, 18.57             ,        17.91             ,       1670
es    , w-reinforce_positive, 19.88             ,        18.55             ,       1663
es    , dpo                 , 18.198757763975156,        16.57720968919892 ,       1632
es    , w-reinforce_0.1_1.0 , 18.4472049689441  ,        17.996424930658613,       1589
es    , w-reinforce_10.0_1.0, 15.65217391304348 ,        13.22711586298468 ,       1735
fr    , w-reinforce         , 20.248447204968944,        16.48476665447098 ,       1753
fr    , w-reinforce_random  , 19.81             ,        17.68             ,       1777
fr    , w-reinforce_negative, 19.88             ,        17.41             ,       1717
fr    , w-reinforce_positive, 19.69             ,        17.24             ,       1695
fr    , dpo                 , 17.018633540372672,        14.518225732061138,       1692
fr    , w-reinforce_0.1_1.0 , 19.006211180124225,        19.054583456305515,       1840
fr    , w-reinforce_10.0_1.0, 18.074534161490682,        14.557488397553625,       1808
ru    , w-reinforce         , 18.695652173913043,        13.292000364352438,       1649
ru    , w-reinforce_random  , 20.31             ,        15.26             ,       1633
ru    , w-reinforce_negative, 19.81             ,        19.08             ,       2064
ru    , w-reinforce_positive, 19.19             ,        14.27             ,       1645
ru    , dpo                 , 20.434782608695652,        15.012165617246259,       1619
ru    , w-reinforce_0.1_1.0 , 18.074534161490682,        14.547289781110617,       1475
ru    , w-reinforce_10.0_1.0, 18.32298136645963 ,        12.763622778920173,       1815
