source, model               , win_rate          , length_controlled_winrate, avg_length
de    , w-reinforce_random  , 17.58             ,        14.79             ,       1745
de    , w-reinforce_negative, 19.94             ,        17.40             ,       1722
de    , w-reinforce_positive, 16.65             ,        14.21             ,       1730
de    , w-reinforce_0.1_1.0 , 17.20496894409938 ,        15.858074368206058,       1606
en    , w-reinforce_random  , 21.06             ,        21.79             ,       1614
en    , w-reinforce_negative, 18.82             ,        19.63             ,       1635
en    , w-reinforce_positive, 18.82             ,        19.12             ,       1653
en    , w-reinforce_0.1_1.0 , 19.937888198757765,        22.18858538563991 ,       1557
es    , w-reinforce_random  , 17.02             ,        15.76             ,       1718
es    , w-reinforce_negative, 18.57             ,        17.91             ,       1670
es    , w-reinforce_positive, 19.88             ,        18.55             ,       1663
es    , w-reinforce_0.1_1.0 , 18.4472049689441  ,        17.996424930658613,       1589
fr    , w-reinforce_random  , 19.81             ,        17.68             ,       1777
fr    , w-reinforce_negative, 19.88             ,        17.41             ,       1717
fr    , w-reinforce_positive, 19.69             ,        17.24             ,       1695
fr    , w-reinforce_0.1_1.0 , 19.006211180124225,        19.054583456305515,       1840
ru    , w-reinforce_random  , 20.31             ,        15.26             ,       1633
ru    , w-reinforce_negative, 19.81             ,        19.08             ,       2064
ru    , w-reinforce_positive, 19.19             ,        14.27             ,       1645
ru    , w-reinforce_0.1_1.0 , 18.074534161490682,        14.547289781110617,       1475
