source, model                                    , win_rate          , standard_error    , mode     , avg_length, n_wins, n_wins_base, n_draws, n_total, discrete_win_rate , length_controlled_winrate, lc_standard_error
de    , icr_enesru_llama3_8b_w-reinforce_random  , 16.65             , 1.31              , community,       2155,    134,         671,       0,     805, 16.65             ,   11.21                  , 0.18
de    , icr_enesru_llama3_8b_w-reinforce_negative, 17.39             , 1.33              , community,       1634,    137,         662,       6,     805, 17.39             ,   16.90                  , 0.28
de    , icr_enesru_llama3_8b_dpo_250426          , 17.63975155279503 , 1.3442406725046976, community,       1530,    142,         663,       0,     805, 17.63975155279503 ,   17.565912127273258     , 0.21657507469676038
de    , icr_enesru_llama3_8b_ppo_150426          , 15.962732919254657, 1.2902036456615986, community,       1696,    128,         676,       1,     805, 15.962732919254657,   14.32158512694539      , 0.24386638108267483
de    , icr_enesru_llama3_8b_sft_150426          , 13.91304347826087 , 1.220539176691369 , community,       1992,    112,         693,       0,     805, 13.91304347826087 ,   11.655551184221167     , 0.19120048089752784
de    , icr_enesru_llama3_8b_npo_checkpoint-1    , 15.031055900621118, 1.2572979835605944, community,       1688,    120,         683,       2,     805, 15.031055900621118,   12.464027078376645     , 0.15698857312781622
de    , icr_enesru_llama3_8b_npo_checkpoint-2    , 14.534161490683232, 1.2398659446007245, community,       1709,    116,         687,       2,     805, 14.534161490683232,   12.678291175390802     , 0.15715818766194933
de    , icr_enesru_llama3_8b_npo_checkpoint-3    , 14.782608695652174, 1.2486431290292348, community,       1731,    118,         685,       2,     805, 14.782608695652174,   12.01790748401665      , 0.15968698346817703
de    , icr_enesru_llama3_8b_npo_checkpoint-4    , 15.031055900621118, 1.2572979835605944, community,       1727,    120,         683,       2,     805, 15.031055900621118,   12.2210046615454       , 0.19339927907637045
de    , icr_enesru_llama3_8b_npo_checkpoint-5    , 18.385093167701864, 1.3632920746932766, community,       1721,    147,         656,       2,     805, 18.385093167701864,   15.261566904166493     , 0.17602714900245114
