source, model                                  , win_rate           , standard_error     , mode     , avg_length, n_wins, n_wins_base, n_draws, n_total, discrete_win_rate  , length_controlled_winrate, lc_standard_error
de    , mapo_enesru_llama3_8b_w-reinforce      , 17.82608695652174  , 1.3483607743743429 , community,       1717,    143,         661,       1,     805, 17.82608695652174  ,      16.908856772147747  , 0.2572860083267967
de    , mapo_enesru_llama3_8b_dpo              , 17.453416149068325 , 1.337190141525221  , community,       1659,    140,         664,       1,     805, 17.453416149068325 ,      15.458185622335643  , 0.20659196398259647
de    , mapo_enesru_llama3_8b_ppo              , 11.614906832298137 , 1.1248371094459442 , community,       1257,     92,         710,       3,     805, 11.614906832298137 ,      14.667941206713708  , 0.2497386847897049
de    , mapo_enesru_llama3_8b_sft              ,  7.329192546583851 , 0.9149062774155093 , community,        992,     58,         745,       2,     805,  7.329192546583851 ,      10.62279979484825   , 0.23568319961035142
de    , mapo_enesru_llama3_8b_npo_checkpoint-1 , 16.024844720496894 , 1.2907427976415242 , community,       1746,    128,         675,       2,     805, 16.024844720496894 ,      13.800195297709989  , 0.195909927444122
de    , mapo_enesru_llama3_8b_npo_checkpoint-2 , 14.534161490683232 , 1.2398659446007245 , community,       1698,    116,         687,       2,     805, 14.534161490683232 ,      12.217804747949316  , 0.15141700060442442
de    , mapo_enesru_llama3_8b_npo_checkpoint-3 , 16.273291925465838 , 1.2988216925231948 , community,       1712,    130,         673,       2,     805, 16.273291925465838 ,      13.756686007656679  , 0.2160474791528508
de    , mapo_enesru_llama3_8b_npo_checkpoint-4 , 14.658385093167702 , 1.2442699890049944 , community,       1728,    117,         686,       2,     805, 14.658385093167702 ,      13.022265986259224  , 0.18450127304568031
de    , mapo_enesru_llama3_8b_npo_checkpoint-5 , 14.906832298136646 , 1.2529856882586228 , community,       1715,    119,         684,       2,     805, 14.906832298136646 ,      13.171414411266033  , 0.19540544435753607
de    , mapo_enesru_llama3_8b_npo_checkpoint-10, 14.96894409937888  , 1.2566833928173373 , community,       1784,    120,         684,       1,     805, 14.96894409937888  ,      11.979340012080797  , 0.17996478352118173
de    , mapo_enesru_llama3_8b_npo_checkpoint-20,  3.1055900621118013, 0.6117773598552487 , community,       3065,     25,         780,       0,     805,  3.1055900621118013,       1.056808849718744  , 0.03895221276968545
de    , mapo_enesru_llama3_8b_npo_checkpoint-30,  3.1055900621118013, 0.6117773598552487 , community,       4357,     25,         780,       0,     805,  3.1055900621118013,       0.939292666261898  , 0.025283070268280403
de    , mapo_enesru_llama3_8b_npo              ,  2.484472049689441 , 0.5489413189456964 , community,       4591,     20,         785,       0,     805,  2.484472049689441 ,       0.6499020230382654 , 0.035232272609007464
en    , mapo_enesru_llama3_8b_w-reinforce      , 20.0               , 1.4079504262688258 , community,       1593,    160,         643,       2,     805, 20.0               ,      20.66296910714797   , 0.36735556116288764
en    , mapo_enesru_llama3_8b_dpo              , 20.80745341614907  , 1.4275533351091618 , community,       1579,    166,         636,       3,     805, 20.80745341614907  ,      21.806299531083074  , 0.3540832664515555
en    , mapo_enesru_llama3_8b_ppo              , 10.49689440993789  , 1.0756161479375739 , community,       1285,     83,         719,       3,     805, 10.49689440993789  ,      14.170708933464892  , 0.3067669700985325
en    , mapo_enesru_llama3_8b_sft              ,  7.080745341614906 , 0.8960355048881721 , community,        987,     55,         746,       4,     805,  7.080745341614906 ,      12.241964794348668  , 0.27406491597383337
en    , mapo_enesru_llama3_8b_npo_checkpoint-1 , 20.80745341614907  , 1.4275533351091618 , community,       1640,    166,         636,       3,     805, 20.80745341614907  ,      20.450928899609565  , 0.30294535971178554
en    , mapo_enesru_llama3_8b_npo_checkpoint-2 , 20.062111801242235 , 1.4082230431713711 , community,       1658,    160,         642,       3,     805, 20.062111801242235 ,      20.018900520123882  , 0.28608548227399566
en    , mapo_enesru_llama3_8b_npo_checkpoint-3 , 19.006211180124225 , 1.378117314044517  , community,       1650,    151,         650,       4,     805, 19.006211180124225 ,      19.012276025079455  , 0.313874323163736
en    , mapo_enesru_llama3_8b_npo_checkpoint-4 , 20.372670807453417 , 1.4150044409806855 , community,       1695,    162,         639,       4,     805, 20.372670807453417 ,      20.390203394207507  , 0.3058493272487396
en    , mapo_enesru_llama3_8b_npo_checkpoint-5 , 21.366459627329192 , 1.442905609874731  , community,       1650,    171,         632,       2,     805, 21.366459627329192 ,      21.70495927241118   , 0.2836718906996708
en    , mapo_enesru_llama3_8b_npo_checkpoint-10, 22.981366459627328 , 1.4785241571536185 , community,       1746,    183,         618,       4,     805, 22.981366459627328 ,      22.592335824301436  , 0.3138876102248997
en    , mapo_enesru_llama3_8b_npo_checkpoint-20, 27.45341614906832  , 1.573905509568754  , community,       3045,    221,         584,       0,     805, 27.45341614906832  ,      15.9570154651239    , 0.18097125468247532
en    , mapo_enesru_llama3_8b_npo_checkpoint-30, 18.757763975155278 , 1.3767447944570357 , community,       4103,    151,         654,       0,     805, 18.757763975155278 ,       9.926669207115738  , 0.028152283565444098
en    , mapo_enesru_llama3_8b_npo              , 13.41614906832298  , 1.2019997076849351 , community,       4516,    108,         697,       0,     805, 13.41614906832298  ,       5.871601822411838  , 0.021113972023061867
es    , mapo_enesru_llama3_8b_w-reinforce      , 17.080745341614907 , 1.325795116107079  , community,       1575,    137,         667,       1,     805, 17.080745341614907 ,      16.7485481489329    , 0.19326319217861193
es    , mapo_enesru_llama3_8b_dpo              , 15.838509316770185 , 1.2831067436358385 , community,       1585,    126,         676,       3,     805, 15.838509316770185 ,      14.777793208531698  , 0.2619534057293819
es    , mapo_enesru_llama3_8b_ppo              , 10.434782608695652 , 1.0637332481577493 , community,       1176,     80,         717,       8,     805, 10.434782608695652 ,      14.624932120138576  , 0.266472237473695
es    , mapo_enesru_llama3_8b_sft              ,  8.944099378881988 , 0.9948746038488202 , community,       1031,     69,         730,       6,     805,  8.944099378881988 ,      13.43467135957958   , 0.3040579871334245
es    , mapo_enesru_llama3_8b_npo_checkpoint-1 , 16.832298136645964 , 1.3180709007126323 , community,       1644,    135,         669,       1,     805, 16.832298136645964 ,      15.497133409804286  , 0.22843253993952112
es    , mapo_enesru_llama3_8b_npo_checkpoint-2 , 16.211180124223603 , 1.298300679121844  , community,       1638,    130,         674,       1,     805, 16.211180124223603 ,      15.459187301996344  , 0.24454724258478935
es    , mapo_enesru_llama3_8b_npo_checkpoint-3 , 16.77018633540373  , 1.3146553866647148 , community,       1675,    134,         669,       2,     805, 16.77018633540373  ,      15.080336293353005  , 0.22228085497247818
es    , mapo_enesru_llama3_8b_npo_checkpoint-4 , 16.70807453416149  , 1.314169861081437  , community,       1670,    134,         670,       1,     805, 16.70807453416149  ,      15.196673380675612  , 0.23468205718167462
es    , mapo_enesru_llama3_8b_npo_checkpoint-5 , 15.590062111801242 , 1.2778492621982984 , community,       1679,    125,         679,       1,     805, 15.590062111801242 ,      14.304300322942087  , 0.2512623170329396
es    , mapo_enesru_llama3_8b_npo_checkpoint-10, 16.52173913043478  , 1.3067918965835803 , community,       1680,    132,         671,       2,     805, 16.52173913043478  ,      14.23779995701085   , 0.19586413807959388
es    , mapo_enesru_llama3_8b_npo_checkpoint-20,  4.3478260869565215, 0.7192096071185938 , community,       3092,     35,         770,       0,     805,  4.3478260869565215,       1.5787017040151978 , 0.04888423445635599
es    , mapo_enesru_llama3_8b_npo_checkpoint-30,  1.8633540372670807, 0.4769087277979783 , community,       4282,     15,         790,       0,     805,  1.8633540372670807,       0.46225926840600207, 0.019033139977273614
es    , mapo_enesru_llama3_8b_npo              ,  1.3664596273291925, 0.40943285434083054, community,       4646,     11,         794,       0,     805,  1.3664596273291925,       0.34205044990609945, 0.019172132662314736
fr    , mapo_enesru_llama3_8b_w-reinforce      , 17.32919254658385  , 1.3305170366329355 , community,       1642,    138,         664,       3,     805, 17.32919254658385  ,      14.391267341618377  , 0.2734496257745083
fr    , mapo_enesru_llama3_8b_dpo              , 18.32298136645963  , 1.3600783378008872 , community,       1628,    146,         656,       3,     805, 18.32298136645963  ,      16.19124358788813   , 0.2516091635977752
fr    , mapo_enesru_llama3_8b_ppo              , 11.428571428571429 , 1.1082010979332944 , community,       1274,     88,         709,       8,     805, 11.428571428571429 ,      14.74620060479657   , 0.27454487782291376
fr    , mapo_enesru_llama3_8b_sft              ,  9.006211180124224 , 0.9999883879181946 , community,       1098,     70,         730,       5,     805,  9.006211180124224 ,      12.508321831227457  , 0.26612692912023755
fr    , mapo_enesru_llama3_8b_npo_checkpoint-1 , 17.577639751552795 , 1.3380546628457124 , community,       1741,    140,         662,       3,     805, 17.577639751552795 ,      14.369741037020614  , 0.23676064696725113
fr    , mapo_enesru_llama3_8b_npo_checkpoint-2 , 17.577639751552795 , 1.3380546628457124 , community,       1763,    140,         662,       3,     805, 17.577639751552795 ,      15.219694730149424  , 0.23030722365004005
fr    , mapo_enesru_llama3_8b_npo_checkpoint-3 , 18.571428571428573 , 1.3672284343727181 , community,       1743,    148,         654,       3,     805, 18.571428571428573 ,      15.936300609347978  , 0.194207121719237
fr    , mapo_enesru_llama3_8b_npo_checkpoint-4 , 17.63975155279503  , 1.338481336735576  , community,       1757,    140,         661,       4,     805, 17.63975155279503  ,      15.271839697088568  , 0.20583670002533866
fr    , mapo_enesru_llama3_8b_npo_checkpoint-5 , 19.440993788819878 , 1.391530157989909  , community,       1768,    155,         647,       3,     805, 19.440993788819878 ,      16.6888231576936    , 0.2809278989786049
fr    , mapo_enesru_llama3_8b_npo_checkpoint-10, 18.26086956521739  , 1.3596972606782955 , community,       1778,    146,         657,       2,     805, 18.26086956521739  ,      15.012721877755405  , 0.2261501287877864
fr    , mapo_enesru_llama3_8b_npo_checkpoint-20,  3.7267080745341614, 0.6680170909540705 , community,       3063,     30,         775,       0,     805,  3.7267080745341614,       1.405040023245031  , 0.06429487451396677
fr    , mapo_enesru_llama3_8b_npo_checkpoint-30,  2.484472049689441 , 0.5489413189456964 , community,       4371,     20,         785,       0,     805,  2.484472049689441 ,       0.8543079755544772 , 0.026262559205743222
fr    , mapo_enesru_llama3_8b_npo              ,  1.8633540372670807, 0.4769087277979783 , community,       4702,     15,         790,       0,     805,  1.8633540372670807,       0.5622910155075688 , 0.025701062918364916
ru    , mapo_enesru_llama3_8b_w-reinforce      , 18.757763975155278 , 1.37393627241271   , community,       1571,    150,         653,       2,     805, 18.757763975155278 ,      13.721043826061988  , 0.22119604198229934
ru    , mapo_enesru_llama3_8b_dpo              , 19.68944099378882  , 1.4010321455881167 , community,       1529,    158,         646,       1,     805, 19.68944099378882  ,      15.153444712507854  , 0.24018429042436917
ru    , mapo_enesru_llama3_8b_ppo              ,  9.751552795031056 , 1.0406810625180496 , community,       1170,     77,         725,       3,     805,  9.751552795031056 ,      10.479561318667836  , 0.2556403359759943
ru    , mapo_enesru_llama3_8b_sft              ,  7.515527950310559 , 0.9235401714864819 , community,        991,     59,         743,       3,     805,  7.515527950310559 ,       9.047540072832861  , 0.25290232478219804
ru    , mapo_enesru_llama3_8b_npo_checkpoint-1 , 18.944099378881987 , 1.3805802400405636 , community,       1688,    152,         652,       1,     805, 18.944099378881987 ,      14.12722604680826   , 0.2264286747089658
ru    , mapo_enesru_llama3_8b_npo_checkpoint-2 , 19.68944099378882  , 1.4010321455881167 , community,       1616,    158,         646,       1,     805, 19.68944099378882  ,      14.480377819520946  , 0.2814680459805142
ru    , mapo_enesru_llama3_8b_npo_checkpoint-3 , 18.074534161490682 , 1.3556859441879359 , community,       1638,    145,         659,       1,     805, 18.074534161490682 ,      12.986174845558898  , 0.25767263393877265
ru    , mapo_enesru_llama3_8b_npo_checkpoint-4 , 17.82608695652174  , 1.3483607743743429 , community,       1610,    143,         661,       1,     805, 17.82608695652174  ,      13.026313027207495  , 0.23147497885095805
ru    , mapo_enesru_llama3_8b_npo_checkpoint-5 , 18.757763975155278 , 1.37393627241271   , community,       1637,    150,         653,       2,     805, 18.757763975155278 ,      13.098800345133164  , 0.22311129191080684
ru    , mapo_enesru_llama3_8b_npo_checkpoint-10, 19.06832298136646  , 1.3840445483732178 , community,       1694,    153,         651,       1,     805, 19.06832298136646  ,      13.754952071021535  , 0.2458184171301426
