source, model                           , win_rate          , standard_error    , mode     , avg_length, n_wins, n_wins_base, n_draws, n_total, discrete_win_rate , length_controlled_winrate, lc_standard_error
de    , icr_enesru_llama3_8b_w-reinforce, 22.60869565217392 , 1.4725959690493426, community,       1740,    181,         622,       2,     805, 22.60869565217392 ,        20.49816502552838 , 0.3298784925211379
de    , icr_enesru_llama3_8b_dpo        , 21.55             , 1.45              , community,       1690,    173,         631,       1,     805, 21.55             ,        19.30             , 0.29
de    , icr_enesru_llama3_8b_ppo        , 15.962732919254657, 1.2902036456615986, community,       1696,    128,         676,       1,     805, 15.962732919254657,        14.32158512694539 , 0.24386638108267483
de    , icr_enesru_llama3_8b_sft        , 15.403726708074531, 1.2730940658042815, community,       2126,    124,         681,       0,     805, 15.403726708074531,        12.947406651569116, 0.2238413248378767
de    , icr_enesru_llama3_8b_npo        ,  0.00             , 0.00              , community,       8166,      0,         805,       0,     805,  0.00             ,         0.00             , 0.00
en    , icr_enesru_llama3_8b_w-reinforce, 24.099378881987576, 1.5057710895420586, community,       1712,    193,         610,       2,     805, 24.099378881987576,        23.47128330189873 , 0.3261770932997561
en    , icr_enesru_llama3_8b_dpo        , 21.24             , 1.44              , community,       1667,    170,         633,       2,     805, 21.24             ,        21.53             , 0.34
en    , icr_enesru_llama3_8b_ppo        , 20.18633540372671 , 1.4142310698763103, community,       1726,    162,         642,       1,     805, 20.18633540372671 ,        20.279763813615084, 0.4213929033054111
en    , icr_enesru_llama3_8b_sft        , 16.956521739130434, 1.3219459096391208, community,       1784,    136,         668,       1,     805, 16.956521739130434,        17.09559653829075 , 0.3270930154837151
en    , icr_enesru_llama3_8b_npo        ,  0.00             , 0.00              , community,       3108,      0,         805,       0,     805,  0.00             ,         0.00             , 0.00
es    , icr_enesru_llama3_8b_w-reinforce, 20.99378881987578 , 1.4336175812315448, community,       1583,    168,         635,       2,     805, 20.99378881987578 ,        20.52720670663685 , 0.3094204098984788
es    , icr_enesru_llama3_8b_dpo        , 21.93             , 1.46              , community,       1634,    176,         628,       1,     805, 21.93             ,        21.72             , 0.28
es    , icr_enesru_llama3_8b_ppo        , 15.093167701863356, 1.2609754322964777, community,       1609,    121,         683,       1,     805, 15.093167701863356,        14.480052400425784, 0.19099457320133525
es    , icr_enesru_llama3_8b_sft        , 14.720496894409935, 1.2480088970695928, community,       1994,    118,         686,       1,     805, 14.720496894409935,        12.53649152141856 , 0.2572136507205932
es    , icr_enesru_llama3_8b_npo        ,  0.00             , 0.00              , community,       8475,      0,         805,       0,     805,  0.00             ,         0.00             , 0.00
fr    , icr_enesru_llama3_8b_w-reinforce, 23.60248447204969 , 1.4949999558342888, community,       1741,    189,         614,       2,     805, 23.60248447204969 ,        20.60413347248593 , 0.2970703449051714
fr    , icr_enesru_llama3_8b_dpo        , 22.86             , 1.48              , community,       1720,    183,         620,       2,     805, 22.86             ,        20.80             , 0.34
fr    , icr_enesru_llama3_8b_ppo        , 16.459627329192546, 1.306288755306555 , community,       1752,    132,         672,       1,     805, 16.459627329192546,        14.926188700245104, 0.2754900425109898
fr    , icr_enesru_llama3_8b_sft        , 14.285714285714285, 1.2340977508305147, community,       2381,    115,         690,       0,     805, 14.285714285714285,        11.97007664239555 , 0.2209502190660444
fr    , icr_enesru_llama3_8b_npo        ,  0.12             , 0.12              , community,       6875,      1,         804,       0,     805,  0.12             ,         0.06             , 0.00
ru    , icr_enesru_llama3_8b_w-reinforce, 25.279503105590063, 1.5315063647639968, community,       1683,    203,         601,       1,     805, 25.279503105590063,        22.321760278192624, 0.266192049202373
ru    , icr_enesru_llama3_8b_dpo        , 26.40             , 1.55              , community,       1648,    212,         592,       1,     805, 26.40             ,        21.93             , 0.28
ru    , icr_enesru_llama3_8b_ppo        , 18.26086956521739 , 1.3625351331651139, community,       1524,    147,         658,       0,     805, 18.26086956521739 ,        13.994394736858975, 0.24796889021886578
ru    , icr_enesru_llama3_8b_sft        , 15.403726708074533, 1.2730940658042815, community,       2048,    124,         681,       0,     805, 15.403726708074533,        12.308538157530204, 0.18014637239537096
ru    , icr_enesru_llama3_8b_npo        ,  0.00             , 0.00              , community,        926,      0,         805,       0,     805,  0.00             ,         0.00             , 0.00
