source, model                               , win_rate           , standard_error     , mode     , avg_length, n_wins, n_wins_base, n_draws, n_total, discrete_win_rate  , length_controlled_winrate, lc_standard_error
de    , lacomsa_enesru_llama3_8b_w-reinforce, 17.267080745341616 , 1.3329707204687145 , community,       1743,    139,         666,       0,     805, 17.267080745341616 ,    15.037068147420213    , 0.16387157226949797
de    , lacomsa_enesru_llama3_8b_dpo        , 17.080745341614907 , 1.325795116107079  , community,       1706,    137,         667,       1,     805, 17.080745341614907 ,    14.700963014086785    , 0.20697092011904733
de    , lacomsa_enesru_llama3_8b_ppo        , 15.77639751552795  , 1.2855613371106336 , community,       2047,    127,         678,       0,     805, 15.77639751552795  ,    13.571996031266668    , 0.22362799856452034
de    , lacomsa_enesru_llama3_8b_sft        , 17.950310559006212 , 1.3520354181685712 , community,       2103,    144,         660,       1,     805, 17.950310559006212 ,    15.55390394347286     , 0.2027425946154936
de    , lacomsa_enesru_llama3_8b_npo        ,  0.2484472049689441, 0.17556941648256044, community,       5241,      2,         803,       0,     805,  0.2484472049689441,     0.1126136347072084   , 0.006777863377556818
en    , lacomsa_enesru_llama3_8b_w-reinforce, 20.372670807453417 , 1.4177316094410377 , community,       1657,    163,         640,       2,     805, 20.372670807453417 ,    20.110392804862272    , 0.3644150063318787
en    , lacomsa_enesru_llama3_8b_dpo        , 20.496894409937887 , 1.4209500274881885 , community,       1655,    164,         639,       2,     805, 20.496894409937887 ,    20.142365410915257    , 0.3780688505792213
en    , lacomsa_enesru_llama3_8b_ppo        , 20.0               , 1.4079504262688256 , community,       1907,    160,         643,       2,     805, 20.0               ,    19.36581624302171     , 0.36754682331679833
en    , lacomsa_enesru_llama3_8b_sft        , 18.198757763975156 , 1.3593125467422102 , community,       1875,    146,         658,       1,     805, 18.198757763975156 ,    18.059443799417107    , 0.37947670071325
en    , lacomsa_enesru_llama3_8b_npo        ,  0.2484472049689441, 0.1755694164825605 , community,       4796,      2,         803,       0,     805,  0.2484472049689441,     0.1276444537025591   , 0.009339116241527352
es    , lacomsa_enesru_llama3_8b_w-reinforce, 16.645962732919255 , 1.310736860221661  , community,       1688,    133,         670,       2,     805, 16.645962732919255 ,    14.571800804848923    , 0.1896316101619806
es    , lacomsa_enesru_llama3_8b_dpo        , 16.024844720496894 , 1.2907427976415242 , community,       1657,    128,         675,       2,     805, 16.024844720496894 ,    14.414662489825595    , 0.23038273641966178
es    , lacomsa_enesru_llama3_8b_ppo        , 16.08695652173913  , 1.2942659092147824 , community,       1900,    129,         675,       1,     805, 16.08695652173913  ,    13.814740501222328    , 0.23041926875215793
es    , lacomsa_enesru_llama3_8b_sft        , 18.26086956521739  , 1.3596972606782953 , community,       1811,    146,         657,       2,     805, 18.26086956521739  ,    16.756912813169336    , 0.2893630498066771
es    , lacomsa_enesru_llama3_8b_npo        ,  0.5590062111801243, 0.25549323849199546, community,       4069,      4,         800,       1,     805,  0.5590062111801243,     0.30584405033231077  , 0.018531827782077105
fr    , lacomsa_enesru_llama3_8b_w-reinforce, 20.248447204968944 , 1.411758873519214  , community,       1753,    161,         640,       4,     805, 20.248447204968944 ,    16.48476665447098     , 0.3084193795331539
fr    , lacomsa_enesru_llama3_8b_dpo        , 19.751552795031056 , 1.3985640652386344 , community,       1743,    157,         644,       4,     805, 19.751552795031056 ,    16.212845342146938    , 0.2752277967251296
fr    , lacomsa_enesru_llama3_8b_ppo        , 18.4472049689441   , 1.3636651098302899 , community,       2049,    147,         655,       3,     805, 18.4472049689441   ,    15.594199837481312    , 0.21396991951328947
fr    , lacomsa_enesru_llama3_8b_sft        , 17.32919254658385  , 1.3334170139846357 , community,       2050,    139,         665,       1,     805, 17.32919254658385  ,    15.480417000560792    , 0.23040143970838614
fr    , lacomsa_enesru_llama3_8b_npo        ,  0.6211180124223602, 0.27708058182948475, community,       4050,      5,         800,       0,     805,  0.6211180124223602,     0.3505598707255502   , 0.014417848748521502
ru    , lacomsa_enesru_llama3_8b_w-reinforce, 18.695652173913043 , 1.3735834933977957 , community,       1649,    150,         654,       1,     805, 18.695652173913043 ,    13.292000364352438    , 0.16445808945009568
ru    , lacomsa_enesru_llama3_8b_dpo        , 19.006211180124225 , 1.3837116853216573 , community,       1677,    153,         652,       0,     805, 19.006211180124225 ,    13.838860390796489    , 0.23285127577158896
ru    , lacomsa_enesru_llama3_8b_ppo        , 18.198757763975156 , 1.3593125467422102 , community,       1907,    146,         658,       1,     805, 18.198757763975156 ,    13.782077526230532    , 0.23718112487107973
ru    , lacomsa_enesru_llama3_8b_sft        , 20.248447204968944 , 1.4172204534886825 , community,       1776,    163,         642,       0,     805, 20.248447204968944 ,    16.096582691158854    , 0.2344271529375394
ru    , lacomsa_enesru_llama3_8b_npo        ,  0.0               , 0.0                , community,       2952,      0,         805,       0,     805,  0.0               ,     0.0001758042505879285, 1.290915821849927e-05
