source, model                            , win_rate           , standard_error     , mode     , avg_length, n_wins, n_wins_base, n_draws, n_total, discrete_win_rate  , length_controlled_winrate, lc_standard_error
de    , mapo_enesru_llama3_8b_w-reinforce, 17.82608695652174  , 1.3483607743743429 , community,       1717,    143,         661,       1,     805, 17.82608695652174  ,      16.908856772147747  , 0.2572860083267967
de    , mapo_enesru_llama3_8b_dpo        , 17.82608695652174  , 1.3483607743743429 , community,       1717,    143,         661,       1,     805, 17.82608695652174  ,      16.908856772147747  , 0.2572860083267967
de    , mapo_enesru_llama3_8b_ppo        , 11.614906832298137 , 1.1248371094459442 , community,       1257,     92,         710,       3,     805, 11.614906832298137 ,      14.667941206713708  , 0.2497386847897049
de    , mapo_enesru_llama3_8b_sft        ,  7.329192546583851 , 0.9149062774155093 , community,        992,     58,         745,       2,     805,  7.329192546583851 ,      10.62279979484825   , 0.23568319961035142
de    , mapo_enesru_llama3_8b_npo        ,  2.484472049689441 , 0.5489413189456964 , community,       4591,     20,         785,       0,     805,  2.484472049689441 ,       0.6499020230382654 , 0.035232272609007464
en    , mapo_enesru_llama3_8b_w-reinforce, 20.0               , 1.4079504262688258 , community,       1593,    160,         643,       2,     805, 20.0               ,      20.66296910714797   , 0.36735556116288764
en    , mapo_enesru_llama3_8b_dpo        , 20.0               , 1.4079504262688258 , community,       1593,    160,         643,       2,     805, 20.0               ,      20.66296910714797   , 0.36735556116288764
en    , mapo_enesru_llama3_8b_ppo        , 10.49689440993789  , 1.0756161479375739 , community,       1285,     83,         719,       3,     805, 10.49689440993789  ,      14.170708933464892  , 0.3067669700985325
en    , mapo_enesru_llama3_8b_sft        ,  7.080745341614906 , 0.8960355048881721 , community,        987,     55,         746,       4,     805,  7.080745341614906 ,      12.241964794348668  , 0.27406491597383337
en    , mapo_enesru_llama3_8b_npo        , 13.41614906832298  , 1.2019997076849351 , community,       4516,    108,         697,       0,     805, 13.41614906832298  ,       5.871601822411838  , 0.021113972023061867
es    , mapo_enesru_llama3_8b_w-reinforce, 17.080745341614907 , 1.325795116107079  , community,       1575,    137,         667,       1,     805, 17.080745341614907 ,      16.7485481489329    , 0.19326319217861193
es    , mapo_enesru_llama3_8b_dpo        , 17.080745341614907 , 1.325795116107079  , community,       1575,    137,         667,       1,     805, 17.080745341614907 ,      16.7485481489329    , 0.19326319217861193
es    , mapo_enesru_llama3_8b_ppo        , 10.434782608695652 , 1.0637332481577493 , community,       1176,     80,         717,       8,     805, 10.434782608695652 ,      14.624932120138576  , 0.266472237473695
es    , mapo_enesru_llama3_8b_sft        ,  8.944099378881988 , 0.9948746038488202 , community,       1031,     69,         730,       6,     805,  8.944099378881988 ,      13.43467135957958   , 0.3040579871334245
es    , mapo_enesru_llama3_8b_npo        ,  1.3664596273291925, 0.40943285434083054, community,       4646,     11,         794,       0,     805,  1.3664596273291925,       0.34205044990609945, 0.019172132662314736
fr    , mapo_enesru_llama3_8b_w-reinforce, 17.32919254658385  , 1.3305170366329355 , community,       1642,    138,         664,       3,     805, 17.32919254658385  ,      14.391267341618377  , 0.2734496257745083
fr    , mapo_enesru_llama3_8b_dpo        , 17.32919254658385  , 1.3305170366329355 , community,       1642,    138,         664,       3,     805, 17.32919254658385  ,      14.391267341618377  , 0.2734496257745083
fr    , mapo_enesru_llama3_8b_ppo        , 11.428571428571429 , 1.1082010979332944 , community,       1274,     88,         709,       8,     805, 11.428571428571429 ,      14.74620060479657   , 0.27454487782291376
fr    , mapo_enesru_llama3_8b_sft        ,  9.006211180124224 , 0.9999883879181946 , community,       1098,     70,         730,       5,     805,  9.006211180124224 ,      12.508321831227457  , 0.26612692912023755
fr    , mapo_enesru_llama3_8b_npo        ,  1.8633540372670807, 0.4769087277979783 , community,       4702,     15,         790,       0,     805,  1.8633540372670807,       0.5622910155075688 , 0.025701062918364916
ru    , mapo_enesru_llama3_8b_w-reinforce, 18.757763975155278 , 1.37393627241271   , community,       1571,    150,         653,       2,     805, 18.757763975155278 ,      13.721043826061988  , 0.22119604198229934
ru    , mapo_enesru_llama3_8b_dpo        , 18.757763975155278 , 1.37393627241271   , community,       1571,    150,         653,       2,     805, 18.757763975155278 ,      13.721043826061988  , 0.22119604198229934
ru    , mapo_enesru_llama3_8b_ppo        ,  9.751552795031056 , 1.0406810625180496 , community,       1170,     77,         725,       3,     805,  9.751552795031056 ,      10.479561318667836  , 0.2556403359759943
ru    , mapo_enesru_llama3_8b_sft        ,  7.515527950310559 , 0.9235401714864819 , community,        991,     59,         743,       3,     805,  7.515527950310559 ,       9.047540072832861  , 0.25290232478219804
ru    , mapo_enesru_llama3_8b_npo        ,  1.1180124223602486, 0.3708120885962266 , community,       4479,      9,         796,       0,     805,  1.1180124223602486,       0.2868902930011138 , 0.013793524708135113
