source, model                                     , method , model_type       , length_controlled_winrate, baseline, improvement
de    , icr_enesru_llama3_8b_npo_checkpoint-1     , icr    , npo_checkpoint-1 ,    12.46403              ,    12.86, -0.39597000000000016
de    , icr_enesru_llama3_8b_npo_checkpoint-2     , icr    , npo_checkpoint-2 ,    12.67829              ,    12.86, -0.18170999999999893
de    , icr_enesru_llama3_8b_npo_checkpoint-3     , icr    , npo_checkpoint-3 ,    12.01791              ,    12.86, -0.8420899999999989
de    , icr_enesru_llama3_8b_npo_checkpoint-4     , icr    , npo_checkpoint-4 ,    12.221                ,    12.86, -0.6389999999999993
de    , icr_enesru_llama3_8b_npo_checkpoint-5     , icr    , npo_checkpoint-5 ,    15.26157              ,    12.86, 2.4015700000000013
de    , icr_enesru_llama3_8b_npo_checkpoint-10    , icr    , npo_checkpoint-10,    14.03344              ,    12.86, 1.1734400000000011
de    , icr_enesru_llama3_8b_npo_checkpoint-20    , icr    , npo_checkpoint-20,     4.29036              ,    12.86, -8.56964
de    , icr_enesru_llama3_8b_npo_checkpoint-30    , icr    , npo_checkpoint-30,     0.000124             ,    12.86, -12.859876
de    , icr_enesru_llama3_8b_npo_150426           , icr    , npo              ,     0.0                  ,    12.86, -12.86
en    , icr_enesru_llama3_8b_npo_checkpoint-1     , icr    , npo_checkpoint-1 ,    21.51858              ,    23.8 , -2.2814200000000007
en    , icr_enesru_llama3_8b_npo_checkpoint-2     , icr    , npo_checkpoint-2 ,    20.20841              ,    23.8 , -3.59159
en    , icr_enesru_llama3_8b_npo_checkpoint-3     , icr    , npo_checkpoint-3 ,    22.28919              ,    23.8 , -1.5108099999999993
en    , icr_enesru_llama3_8b_npo_checkpoint-4     , icr    , npo_checkpoint-4 ,    23.6051               ,    23.8 , -0.19490000000000052
en    , icr_enesru_llama3_8b_npo_checkpoint-5     , icr    , npo_checkpoint-5 ,    20.2145               ,    23.8 , -3.5854999999999997
en    , icr_enesru_llama3_8b_npo_checkpoint-10    , icr    , npo_checkpoint-10,    21.43446              ,    23.8 , -2.3655399999999993
en    , icr_enesru_llama3_8b_npo_checkpoint-20    , icr    , npo_checkpoint-20,     7.844861             ,    23.8 , -15.955139
en    , icr_enesru_llama3_8b_npo_checkpoint-30    , icr    , npo_checkpoint-30,     0.000198             ,    23.8 , -23.799802
en    , icr_enesru_llama3_8b_npo_150426           , icr    , npo              ,     0.0                  ,    23.8 , -23.8
es    , icr_enesru_llama3_8b_npo_checkpoint-1     , icr    , npo_checkpoint-1 ,    13.73458              ,    15.33, -1.5954200000000007
es    , icr_enesru_llama3_8b_npo_checkpoint-2     , icr    , npo_checkpoint-2 ,    13.88582              ,    15.33, -1.4441799999999994
es    , icr_enesru_llama3_8b_npo_checkpoint-3     , icr    , npo_checkpoint-3 ,    14.8913               ,    15.33, -0.43870000000000076
es    , icr_enesru_llama3_8b_npo_checkpoint-4     , icr    , npo_checkpoint-4 ,    14.62712              ,    15.33, -0.7028800000000004
es    , icr_enesru_llama3_8b_npo_checkpoint-5     , icr    , npo_checkpoint-5 ,    13.90501              ,    15.33, -1.4249899999999993
es    , icr_enesru_llama3_8b_npo_checkpoint-10    , icr    , npo_checkpoint-10,    16.38524              ,    15.33, 1.0552399999999995
es    , icr_enesru_llama3_8b_npo_checkpoint-20    , icr    , npo_checkpoint-20,     6.350135             ,    15.33, -8.979865
es    , icr_enesru_llama3_8b_npo_checkpoint-30    , icr    , npo_checkpoint-30,     0.000119             ,    15.33, -15.329881
es    , icr_enesru_llama3_8b_npo_150426           , icr    , npo              ,     0.0                  ,    15.33, -15.33
fr    , icr_enesru_llama3_8b_npo_checkpoint-1     , icr    , npo_checkpoint-1 ,    14.75887              ,    16.39, -1.6311300000000006
fr    , icr_enesru_llama3_8b_npo_checkpoint-2     , icr    , npo_checkpoint-2 ,    16.21798              ,    16.39, -0.17201999999999984
fr    , icr_enesru_llama3_8b_npo_checkpoint-3     , icr    , npo_checkpoint-3 ,    16.15995              ,    16.39, -0.2300500000000021
fr    , icr_enesru_llama3_8b_npo_checkpoint-4     , icr    , npo_checkpoint-4 ,    15.12395              ,    16.39, -1.26605
fr    , icr_enesru_llama3_8b_npo_checkpoint-5     , icr    , npo_checkpoint-5 ,    15.1418               ,    16.39, -1.2482000000000006
fr    , icr_enesru_llama3_8b_npo_checkpoint-10    , icr    , npo_checkpoint-10,    18.34087              ,    16.39, 1.9508699999999983
fr    , icr_enesru_llama3_8b_npo_checkpoint-20    , icr    , npo_checkpoint-20,     6.384518             ,    16.39, -10.005482
fr    , icr_enesru_llama3_8b_npo_checkpoint-30    , icr    , npo_checkpoint-30,     0.00012              ,    16.39, -16.38988
fr    , icr_enesru_llama3_8b_npo_150426           , icr    , npo              ,     0.06                 ,    16.39, -16.330000000000002
ru    , icr_enesru_llama3_8b_npo_checkpoint-1     , icr    , npo_checkpoint-1 ,    11.27638              ,    14.77, -3.49362
ru    , icr_enesru_llama3_8b_npo_checkpoint-2     , icr    , npo_checkpoint-2 ,    12.61436              ,    14.77, -2.15564
ru    , icr_enesru_llama3_8b_npo_checkpoint-3     , icr    , npo_checkpoint-3 ,    13.07095              ,    14.77, -1.6990499999999997
ru    , icr_enesru_llama3_8b_npo_checkpoint-4     , icr    , npo_checkpoint-4 ,    13.96064              ,    14.77, -0.8093599999999999
