source,model,method,model_type,win_rate,baseline,improvement
de,icr_enesru_llama3_8b_npo_checkpoint-1,icr,npo_checkpoint-1,15.03106,12.86,2.1710600000000007
de,icr_enesru_llama3_8b_npo_checkpoint-2,icr,npo_checkpoint-2,14.53416,12.86,1.6741600000000005
de,icr_enesru_llama3_8b_npo_checkpoint-3,icr,npo_checkpoint-3,14.78261,12.86,1.9226100000000006
de,icr_enesru_llama3_8b_npo_checkpoint-4,icr,npo_checkpoint-4,15.03106,12.86,2.1710600000000007
de,icr_enesru_llama3_8b_npo_checkpoint-5,icr,npo_checkpoint-5,18.38509,12.86,5.525090000000002
de,icr_enesru_llama3_8b_npo_checkpoint-10,icr,npo_checkpoint-10,16.21118,12.86,3.3511799999999994
de,icr_enesru_llama3_8b_npo_checkpoint-20,icr,npo_checkpoint-20,6.832298,12.86,-6.027702
de,icr_enesru_llama3_8b_npo_checkpoint-30,icr,npo_checkpoint-30,0.0,12.86,-12.86
de,icr_enesru_llama3_8b_npo_150426,icr,npo,0.0,12.86,-12.86
en,icr_enesru_llama3_8b_npo_checkpoint-1,icr,npo_checkpoint-1,21.18012,23.8,-2.619880000000002
en,icr_enesru_llama3_8b_npo_checkpoint-2,icr,npo_checkpoint-2,20.31056,23.8,-3.489440000000002
en,icr_enesru_llama3_8b_npo_checkpoint-3,icr,npo_checkpoint-3,21.49068,23.8,-2.3093199999999996
en,icr_enesru_llama3_8b_npo_checkpoint-4,icr,npo_checkpoint-4,22.98137,23.8,-0.8186300000000024
en,icr_enesru_llama3_8b_npo_checkpoint-5,icr,npo_checkpoint-5,19.75155,23.8,-4.048449999999999
en,icr_enesru_llama3_8b_npo_checkpoint-10,icr,npo_checkpoint-10,21.92547,23.8,-1.87453
en,icr_enesru_llama3_8b_npo_checkpoint-20,icr,npo_checkpoint-20,12.42236,23.8,-11.377640000000001
en,icr_enesru_llama3_8b_npo_checkpoint-30,icr,npo_checkpoint-30,0.0,23.8,-23.8
en,icr_enesru_llama3_8b_npo_150426,icr,npo,0.0,23.8,-23.8
es,icr_enesru_llama3_8b_npo_checkpoint-1,icr,npo_checkpoint-1,15.09317,15.33,-0.23682999999999943
es,icr_enesru_llama3_8b_npo_checkpoint-2,icr,npo_checkpoint-2,15.96273,15.33,0.6327300000000005
es,icr_enesru_llama3_8b_npo_checkpoint-3,icr,npo_checkpoint-3,16.27329,15.33,0.9432899999999993
es,icr_enesru_llama3_8b_npo_checkpoint-4,icr,npo_checkpoint-4,15.71429,15.33,0.38429
es,icr_enesru_llama3_8b_npo_checkpoint-5,icr,npo_checkpoint-5,15.09317,15.33,-0.23682999999999943
es,icr_enesru_llama3_8b_npo_checkpoint-10,icr,npo_checkpoint-10,18.38509,15.33,3.0550900000000016
es,icr_enesru_llama3_8b_npo_checkpoint-20,icr,npo_checkpoint-20,11.11801,15.33,-4.21199
es,icr_enesru_llama3_8b_npo_checkpoint-30,icr,npo_checkpoint-30,0.0,15.33,-15.33
es,icr_enesru_llama3_8b_npo_150426,icr,npo,0.0,15.33,-15.33
fr,icr_enesru_llama3_8b_npo_checkpoint-1,icr,npo_checkpoint-1,17.76398,16.39,1.3739799999999995
fr,icr_enesru_llama3_8b_npo_checkpoint-2,icr,npo_checkpoint-2,18.57143,16.39,2.181429999999999
fr,icr_enesru_llama3_8b_npo_checkpoint-3,icr,npo_checkpoint-3,18.57143,16.39,2.181429999999999
fr,icr_enesru_llama3_8b_npo_checkpoint-4,icr,npo_checkpoint-4,18.19876,16.39,1.8087599999999995
fr,icr_enesru_llama3_8b_npo_checkpoint-5,icr,npo_checkpoint-5,17.3913,16.39,1.0013000000000005
fr,icr_enesru_llama3_8b_npo_checkpoint-10,icr,npo_checkpoint-10,21.67702,16.39,5.287019999999998
fr,icr_enesru_llama3_8b_npo_checkpoint-20,icr,npo_checkpoint-20,10.62112,16.39,-5.768880000000001
fr,icr_enesru_llama3_8b_npo_checkpoint-30,icr,npo_checkpoint-30,0.0,16.39,-16.39
fr,icr_enesru_llama3_8b_npo_150426,icr,npo,0.12,16.39,-16.27
ru,icr_enesru_llama3_8b_npo_checkpoint-1,icr,npo_checkpoint-1,16.8323,14.77,2.0623000000000005
ru,icr_enesru_llama3_8b_npo_checkpoint-2,icr,npo_checkpoint-2,16.3354,14.77,1.5654000000000003
ru,icr_enesru_llama3_8b_npo_checkpoint-3,icr,npo_checkpoint-3,18.57143,14.77,3.80143
ru,icr_enesru_llama3_8b_npo_checkpoint-4,icr,npo_checkpoint-4,18.9441,14.77,4.174099999999999
ru,icr_enesru_llama3_8b_npo_checkpoint-5,icr,npo_checkpoint-5,18.50932,14.77,3.7393199999999993
ru,icr_enesru_llama3_8b_npo_checkpoint-10,icr,npo_checkpoint-10,19.56522,14.77,4.7952200000000005
ru,icr_enesru_llama3_8b_npo_checkpoint-20,icr,npo_checkpoint-20,5.341615,14.77,-9.428384999999999
ru,icr_enesru_llama3_8b_npo_checkpoint-30,icr,npo_checkpoint-30,0.0,14.77,-14.77
ru,icr_enesru_llama3_8b_npo_150426,icr,npo,0.0,14.77,-14.77
de,lacomsa_enesru_llama3_8b_npo_checkpoint-1,lacomsa,npo_checkpoint-1,16.024844720496894,12.86,3.1648447204968946
de,lacomsa_enesru_llama3_8b_npo_checkpoint-2,lacomsa,npo_checkpoint-2,15.031055900621118,12.86,2.171055900621118
de,lacomsa_enesru_llama3_8b_npo_checkpoint-3,lacomsa,npo_checkpoint-3,15.403726708074533,12.86,2.5437267080745336
de,lacomsa_enesru_llama3_8b_npo_checkpoint-4,lacomsa,npo_checkpoint-4,16.149068322981368,12.86,3.289068322981368
de,lacomsa_enesru_llama3_8b_npo_checkpoint-5,lacomsa,npo_checkpoint-5,15.15527950310559,12.86,2.29527950310559
de,lacomsa_enesru_llama3_8b_npo_checkpoint-10,lacomsa,npo_checkpoint-10,14.906832298136646,12.86,2.0468322981366462
de,lacomsa_enesru_llama3_8b_npo_checkpoint-20,lacomsa,npo_checkpoint-20,15.46583850931677,12.86,2.6058385093167704
de,lacomsa_enesru_llama3_8b_npo_checkpoint-30,lacomsa,npo_checkpoint-30,0.7453416149068323,12.86,-12.114658385093167
de,lacomsa_enesru_llama3_8b_npo,lacomsa,npo,0.2484472049689441,12.86,-12.611552795031056
en,lacomsa_enesru_llama3_8b_npo_checkpoint-1,lacomsa,npo_checkpoint-1,20.80745341614907,23.8,-2.992546583850931
en,lacomsa_enesru_llama3_8b_npo_checkpoint-2,lacomsa,npo_checkpoint-2,19.751552795031056,23.8,-4.048447204968944
en,lacomsa_enesru_llama3_8b_npo_checkpoint-3,lacomsa,npo_checkpoint-3,19.440993788819878,23.8,-4.359006211180123
en,lacomsa_enesru_llama3_8b_npo_checkpoint-4,lacomsa,npo_checkpoint-4,21.73913043478261,23.8,-2.0608695652173914
en,lacomsa_enesru_llama3_8b_npo_checkpoint-5,lacomsa,npo_checkpoint-5,19.937888198757765,23.8,-3.8621118012422357
en,lacomsa_enesru_llama3_8b_npo_checkpoint-10,lacomsa,npo_checkpoint-10,21.677018633540374,23.8,-2.1229813664596264
en,lacomsa_enesru_llama3_8b_npo_checkpoint-20,lacomsa,npo_checkpoint-20,18.4472049689441,23.8,-5.352795031055901
en,lacomsa_enesru_llama3_8b_npo_checkpoint-30,lacomsa,npo_checkpoint-30,1.1180124223602486,23.8,-22.681987577639752
en,lacomsa_enesru_llama3_8b_npo,lacomsa,npo,0.2484472049689441,23.8,-23.551552795031057
es,lacomsa_enesru_llama3_8b_npo_checkpoint-1,lacomsa,npo_checkpoint-1,16.832298136645964,15.33,1.5022981366459636
es,lacomsa_enesru_llama3_8b_npo_checkpoint-2,lacomsa,npo_checkpoint-2,16.70807453416149,15.33,1.37807453416149
es,lacomsa_enesru_llama3_8b_npo_checkpoint-3,lacomsa,npo_checkpoint-3,15.65217391304348,15.33,0.3221739130434802
