source,model,method,model_type,win_rate,baseline,improvement
de,icr_enesru_llama3_8b_npo_checkpoint-1,icr,npo_checkpoint-1,15.03106,15.28,-0.24893999999999927
de,icr_enesru_llama3_8b_npo_checkpoint-2,icr,npo_checkpoint-2,14.53416,15.28,-0.7458399999999994
de,icr_enesru_llama3_8b_npo_checkpoint-3,icr,npo_checkpoint-3,14.78261,15.28,-0.49738999999999933
de,icr_enesru_llama3_8b_npo_checkpoint-4,icr,npo_checkpoint-4,15.03106,15.28,-0.24893999999999927
de,icr_enesru_llama3_8b_npo_checkpoint-5,icr,npo_checkpoint-5,18.38509,15.28,3.1050900000000023
de,icr_enesru_llama3_8b_npo_checkpoint-10,icr,npo_checkpoint-10,16.21118,15.28,0.9311799999999995
de,icr_enesru_llama3_8b_npo_checkpoint-20,icr,npo_checkpoint-20,6.832298,15.28,-8.447702
de,icr_enesru_llama3_8b_npo_checkpoint-30,icr,npo_checkpoint-30,0.0,15.28,-15.28
de,icr_enesru_llama3_8b_npo,icr,npo,0.0,15.28,-15.28
en,icr_enesru_llama3_8b_npo_checkpoint-1,icr,npo_checkpoint-1,21.18012,22.61,-1.4298800000000007
en,icr_enesru_llama3_8b_npo_checkpoint-2,icr,npo_checkpoint-2,20.31056,22.61,-2.2994400000000006
en,icr_enesru_llama3_8b_npo_checkpoint-3,icr,npo_checkpoint-3,21.49068,22.61,-1.1193199999999983
en,icr_enesru_llama3_8b_npo_checkpoint-4,icr,npo_checkpoint-4,22.98137,22.61,0.37136999999999887
en,icr_enesru_llama3_8b_npo_checkpoint-5,icr,npo_checkpoint-5,19.75155,22.61,-2.8584499999999977
en,icr_enesru_llama3_8b_npo_checkpoint-10,icr,npo_checkpoint-10,21.92547,22.61,-0.6845299999999988
en,icr_enesru_llama3_8b_npo_checkpoint-20,icr,npo_checkpoint-20,12.42236,22.61,-10.18764
en,icr_enesru_llama3_8b_npo_checkpoint-30,icr,npo_checkpoint-30,0.0,22.61,-22.61
en,icr_enesru_llama3_8b_npo,icr,npo,0.0,22.61,-22.61
es,icr_enesru_llama3_8b_npo_checkpoint-1,icr,npo_checkpoint-1,15.09317,16.21,-1.1168300000000002
es,icr_enesru_llama3_8b_npo_checkpoint-2,icr,npo_checkpoint-2,15.96273,16.21,-0.24727000000000032
es,icr_enesru_llama3_8b_npo_checkpoint-3,icr,npo_checkpoint-3,16.27329,16.21,0.06328999999999851
es,icr_enesru_llama3_8b_npo_checkpoint-4,icr,npo_checkpoint-4,15.71429,16.21,-0.49571000000000076
es,icr_enesru_llama3_8b_npo_checkpoint-5,icr,npo_checkpoint-5,15.09317,16.21,-1.1168300000000002
es,icr_enesru_llama3_8b_npo_checkpoint-10,icr,npo_checkpoint-10,18.38509,16.21,2.175090000000001
es,icr_enesru_llama3_8b_npo_checkpoint-20,icr,npo_checkpoint-20,11.11801,16.21,-5.091990000000001
es,icr_enesru_llama3_8b_npo_checkpoint-30,icr,npo_checkpoint-30,0.0,16.21,-16.21
es,icr_enesru_llama3_8b_npo,icr,npo,0.0,16.21,-16.21
fr,icr_enesru_llama3_8b_npo_checkpoint-1,icr,npo_checkpoint-1,17.76398,18.88,-1.116019999999999
fr,icr_enesru_llama3_8b_npo_checkpoint-2,icr,npo_checkpoint-2,18.57143,18.88,-0.30856999999999957
fr,icr_enesru_llama3_8b_npo_checkpoint-3,icr,npo_checkpoint-3,18.57143,18.88,-0.30856999999999957
fr,icr_enesru_llama3_8b_npo_checkpoint-4,icr,npo_checkpoint-4,18.19876,18.88,-0.681239999999999
fr,icr_enesru_llama3_8b_npo_checkpoint-5,icr,npo_checkpoint-5,17.3913,18.88,-1.488699999999998
fr,icr_enesru_llama3_8b_npo_checkpoint-10,icr,npo_checkpoint-10,21.67702,18.88,2.79702
fr,icr_enesru_llama3_8b_npo_checkpoint-20,icr,npo_checkpoint-20,10.62112,18.88,-8.25888
fr,icr_enesru_llama3_8b_npo_checkpoint-30,icr,npo_checkpoint-30,0.0,18.88,-18.88
fr,icr_enesru_llama3_8b_npo,icr,npo,0.12,18.88,-18.759999999999998
ru,icr_enesru_llama3_8b_npo_checkpoint-1,icr,npo_checkpoint-1,16.8323,19.32,-2.4877000000000002
ru,icr_enesru_llama3_8b_npo_checkpoint-2,icr,npo_checkpoint-2,16.3354,19.32,-2.9846000000000004
